c(d:s)(CV_Vd_n1207_ac_des) X,c(d:s)(CV_Vd_n1207_ac_des) Y,c(d:s)(CV_Vd_n1227_ac_des) X,c(d:s)(CV_Vd_n1227_ac_des) Y,c(d:s)(CV_Vd_n1247_ac_des) X,c(d:s)(CV_Vd_n1247_ac_des) Y,c(d:s)(CV_Vd_n1267_ac_des) X,c(d:s)(CV_Vd_n1267_ac_des) Y,c(d:s)(CV_Vd_n1287_ac_des) X,c(d:s)(CV_Vd_n1287_ac_des) Y,c(d:s)(CV_Vd_n1307_ac_des) X,c(d:s)(CV_Vd_n1307_ac_des) Y,c(d:s)(CV_Vd_n1327_ac_des) X,c(d:s)(CV_Vd_n1327_ac_des) Y,c(d:s)(CV_Vd_n1347_ac_des) X,c(d:s)(CV_Vd_n1347_ac_des) Y,c(d:s)(CV_Vd_n1367_ac_des) X,c(d:s)(CV_Vd_n1367_ac_des) Y,c(d:s)(CV_Vd_n1387_ac_des) X,c(d:s)(CV_Vd_n1387_ac_des) Y,c(d:s)(CV_Vd_n1407_ac_des) X,c(d:s)(CV_Vd_n1407_ac_des) Y,c(d:s)(CV_Vd_n1427_ac_des) X,c(d:s)(CV_Vd_n1427_ac_des) Y,c(d:s)(CV_Vd_n1447_ac_des) X,c(d:s)(CV_Vd_n1447_ac_des) Y,c(d:s)(CV_Vd_n1467_ac_des) X,c(d:s)(CV_Vd_n1467_ac_des) Y,c(d:s)(CV_Vd_n1487_ac_des) X,c(d:s)(CV_Vd_n1487_ac_des) Y,c(d:s)(CV_Vd_n1507_ac_des) X,c(d:s)(CV_Vd_n1507_ac_des) Y,c(d:s)(CV_Vd_n1527_ac_des) X,c(d:s)(CV_Vd_n1527_ac_des) Y,c(d:s)(CV_Vd_n1547_ac_des) X,c(d:s)(CV_Vd_n1547_ac_des) Y,c(d:s)(CV_Vd_n1567_ac_des) X,c(d:s)(CV_Vd_n1567_ac_des) Y,c(d:s)(CV_Vd_n1587_ac_des) X,c(d:s)(CV_Vd_n1587_ac_des) Y,c(d:s)(CV_Vd_n1607_ac_des) X,c(d:s)(CV_Vd_n1607_ac_des) Y,c(d:s)(CV_Vd_n1627_ac_des) X,c(d:s)(CV_Vd_n1627_ac_des) Y,c(d:s)(CV_Vd_n1647_ac_des) X,c(d:s)(CV_Vd_n1647_ac_des) Y,c(d:s)(CV_Vd_n1667_ac_des) X,c(d:s)(CV_Vd_n1667_ac_des) Y,c(d:s)(CV_Vd_n1687_ac_des) X,c(d:s)(CV_Vd_n1687_ac_des) Y,c(d:s)(CV_Vd_n1707_ac_des) X,c(d:s)(CV_Vd_n1707_ac_des) Y,c(d:s)(CV_Vd_n1727_ac_des) X,c(d:s)(CV_Vd_n1727_ac_des) Y,c(d:s)(CV_Vd_n1747_ac_des) X,c(d:s)(CV_Vd_n1747_ac_des) Y,c(d:s)(CV_Vd_n1767_ac_des) X,c(d:s)(CV_Vd_n1767_ac_des) Y,c(d:s)(CV_Vd_n1787_ac_des) X,c(d:s)(CV_Vd_n1787_ac_des) Y,c(d:s)(CV_Vd_n1807_ac_des) X,c(d:s)(CV_Vd_n1807_ac_des) Y,c(d:s)(CV_Vd_n1827_ac_des) X,c(d:s)(CV_Vd_n1827_ac_des) Y,c(d:s)(CV_Vd_n1847_ac_des) X,c(d:s)(CV_Vd_n1847_ac_des) Y,c(d:s)(CV_Vd_n1867_ac_des) X,c(d:s)(CV_Vd_n1867_ac_des) Y,c(d:s)(CV_Vd_n1887_ac_des) X,c(d:s)(CV_Vd_n1887_ac_des) Y,c(d:s)(CV_Vd_n1907_ac_des) X,c(d:s)(CV_Vd_n1907_ac_des) Y,c(d:s)(CV_Vd_n1927_ac_des) X,c(d:s)(CV_Vd_n1927_ac_des) Y,c(d:s)(CV_Vd_n1947_ac_des) X,c(d:s)(CV_Vd_n1947_ac_des) Y,c(d:s)(CV_Vd_n1967_ac_des) X,c(d:s)(CV_Vd_n1967_ac_des) Y,c(d:s)(CV_Vd_n1987_ac_des) X,c(d:s)(CV_Vd_n1987_ac_des) Y,c(d:s)(CV_Vd_n2007_ac_des) X,c(d:s)(CV_Vd_n2007_ac_des) Y,c(d:s)(CV_Vd_n2027_ac_des) X,c(d:s)(CV_Vd_n2027_ac_des) Y,c(d:s)(CV_Vd_n2047_ac_des) X,c(d:s)(CV_Vd_n2047_ac_des) Y,c(d:s)(CV_Vd_n2067_ac_des) X,c(d:s)(CV_Vd_n2067_ac_des) Y
0,-1.4686678e-18,0,-1.4657143e-18,0,-1.4685217e-18,0,-1.468452e-18,0,-1.4683936e-18,0,-1.4683432e-18,0,-1.4682872e-18,0,-1.4682316e-18,0,-1.4681795e-18,0,-1.4681234e-18,0,-1.4680712e-18,0,-1.4680259e-18,0,-1.4679815e-18,0,-1.4679307e-18,0,-1.4678841e-18,0,-1.4678321e-18,0,-1.467784e-18,0,-1.4677347e-18,0,-1.4676877e-18,0,-1.4676518e-18,0,-1.4676102e-18,0,-1.467585e-18,0,-1.4675634e-18,0,-1.4675169e-18,0,-1.4674965e-18,0,-1.4674825e-18,0,-1.4674268e-18,0,-1.4673974e-18,0,-1.4673818e-18,0,-1.4673554e-18,0,-1.4673589e-18,0,-1.467322e-18,0,-1.4673362e-18,0,-1.4672688e-18,0,-1.467286e-18,0,-1.4671968e-18,0,-1.4671817e-18,0,-1.4671189e-18,0,-1.4669588e-18,0,-1.467197e-18,0,-1.4671438e-18,0,-1.4671732e-18,0,-1.4671217e-18,0,-1.4671038e-18
0.0015,-1.4686897e-18,0.0015,-1.4662926e-18,0.0015,-1.4685479e-18,0.0015,-1.4684752e-18,0.0015,-1.4684166e-18,0.0015,-1.4683652e-18,0.0015,-1.468314e-18,0.0015,-1.4682566e-18,0.0015,-1.4682024e-18,0.0015,-1.468148e-18,0.006,-1.4681589e-18,0.0015,-1.468049e-18,0.006,-1.4680552e-18,0.006,-1.4680074e-18,0.00075,-1.4678962e-18,0.000375,-1.4678384e-18,0.000375,-1.4677916e-18,0.000375,-1.4677349e-18,0.0015,-1.4677101e-18,0.0015,-1.4676704e-18,0.0015,-1.4676356e-18,0.0015,-1.4676028e-18,0.003,-1.4675906e-18,0.000375,-1.4675332e-18,0.000375,-1.4674983e-18,0.000375,-1.4674753e-18,0.000375,-1.4674266e-18,0.000375,-1.4673896e-18,0.0001875,-1.4674169e-18,0.0001875,-1.4673873e-18,0.000375,-1.4673365e-18,0.000375,-1.4673443e-18,0.000375,-1.4673407e-18,0.0001875,-1.4672867e-18,0.0001875,-1.4672845e-18,0.0001875,-1.467224e-18,0.0001875,-1.4671861e-18,0.0001875,-1.4670739e-18,0.0001875,-1.4669992e-18,0.0001875,-1.4671843e-18,0.0001875,-1.4671655e-18,0.0001875,-1.4671114e-18,0.000375,-1.4671856e-18,0.000375,-1.467145e-18
0.00322,-1.4687246e-18,0.00322,-1.4661905e-18,0.00322,-1.4685758e-18,0.00322,-1.4685007e-18,0.00322,-1.4684417e-18,0.00322,-1.4683911e-18,0.00322,-1.4683398e-18,0.00324,-1.4682833e-18,0.00324,-1.4682266e-18,0.00324,-1.4681732e-18,0.012,-1.4682354e-18,0.00324,-1.4680748e-18,0.012,-1.4681449e-18,0.012,-1.468108e-18,0.00117,-1.4679061e-18,0.000805,-1.4678439e-18,0.000805,-1.4678023e-18,0.000805,-1.4677402e-18,0.00322,-1.4677126e-18,0.00322,-1.4676852e-18,0.00322,-1.4676459e-18,0.00322,-1.4676102e-18,0.00644,-1.4676249e-18,0.000805,-1.4675268e-18,0.0008,-1.4675037e-18,0.0008,-1.4674597e-18,0.00079,-1.4674525e-18,0.000400625,-1.4673879e-18,0.000405,-1.4674061e-18,0.000405,-1.4673719e-18,0.000805,-1.4673422e-18,0.000805,-1.4673598e-18,0.000795,-1.467325e-18,0.0004025,-1.4672974e-18,0.0004025,-1.4672656e-18,0.0004025,-1.467216e-18,0.0004025,-1.4671506e-18,0.0004025,-1.4670707e-18,0.0004025,-1.4670196e-18,0.0004025,-1.4671896e-18,0.000405,-1.4671859e-18,0.000405,-1.4671289e-18,0.000785,-1.4672088e-18,0.000795,-1.4671561e-18
0.0052610667,-1.468752e-18,0.0052610667,-1.4686686e-18,0.0052610667,-1.4686143e-18,0.0052610667,-1.4685273e-18,0.0052610667,-1.4684726e-18,0.0052610667,-1.468421e-18,0.0052610667,-1.4683705e-18,0.0053048,-1.4683146e-18,0.0053048,-1.4682585e-18,0.0053048,-1.4682046e-18,0.018,-1.468314e-18,0.0053048,-1.468107e-18,0.018,-1.4681979e-18,0.018,-1.4686227e-18,0.0012015,-1.467903e-18,0.001321,-1.4678507e-18,0.001321,-1.4678016e-18,0.001321,-1.4677528e-18,0.0052610667,-1.4677521e-18,0.0052610667,-1.4677137e-18,0.0052610667,-1.4676716e-18,0.0052610667,-1.4676395e-18,0.010522133,-1.4676706e-18,0.001321,-1.467534e-18,0.001055,-1.4674973e-18,0.00131,-1.4674695e-18,0.001039,-1.4674259e-18,0.00040086523,-1.4674484e-18,0.000666,-1.4673668e-18,0.000666,-1.4673805e-18,0.001321,-1.4673753e-18,0.0013152667,-1.4673261e-18,0.001299,-1.4673182e-18,0.0006605,-1.4672814e-18,0.0006605,-1.4672653e-18,0.0006605,-1.4672438e-18,0.0006605,-1.4671757e-18,0.0006605,-1.4670699e-18,0.0006605,-1.4670232e-18,0.0006605,-1.4671685e-18,0.000666,-1.4672095e-18,0.000666,-1.4671912e-18,0.0012606,-1.4672123e-18,0.000921,-1.4671519e-18
0.0076831324,-1.468784e-18,0.0076831324,-1.468707e-18,0.0076831324,-1.4686435e-18,0.0076831324,-1.4685675e-18,0.0076831324,-1.4685086e-18,0.0076831324,-1.4684547e-18,0.0076831324,-1.4684001e-18,0.0077550293,-1.468348e-18,0.0077550293,-1.4682903e-18,0.0077550293,-1.4682385e-18,0.024,-1.4683307e-18,0.0077550293,-1.4681376e-18,0.024,-1.4682434e-18,0.024,-1.4681717e-18,0.0012017953,-1.4679023e-18,0.0019402,-1.4678636e-18,0.0019402,-1.4678137e-18,0.0019402,-1.4677633e-18,0.0076831324,-1.467775e-18,0.0076831324,-1.4677209e-18,0.0076831324,-1.4677004e-18,0.0076831324,-1.4676643e-18,0.015366265,-1.4677303e-18,0.0019402,-1.4675411e-18,0.001208,-1.4675109e-18,0.0019084,-1.4674804e-18,0.0011137,-1.4674574e-18,-,-,0.00097572,-1.4674172e-18,0.00097572,-1.4673805e-18,0.00191956,-1.4673479e-18,0.0019207831,-1.4673322e-18,0.00189708,-1.4673436e-18,0.0009701,-1.4673213e-18,0.0009701,-1.4672494e-18,0.0009701,-1.4672199e-18,0.0009701,-1.4671986e-18,0.00096322,-1.4671096e-18,0.0009701,-1.4670429e-18,0.0009701,-1.4671856e-18,0.00097572,-1.4671705e-18,0.00097572,-1.46721e-18,0.0018249787,-1.4671725e-18,0.00099576,-1.4671577e-18
0.010557317,-1.4688211e-18,0.010557317,-1.4687574e-18,0.010557317,-1.4687073e-18,0.010557317,-1.4686125e-18,0.010557317,-1.4685493e-18,0.010557317,-1.4684941e-18,0.010557317,-1.4684411e-18,0.010662635,-1.4683898e-18,0.010662635,-1.468329e-18,0.010662635,-1.4682783e-18,0.03,-1.4683832e-18,0.010662635,-1.4681736e-18,0.03,-1.46828e-18,0.03,-1.4682211e-18,-,-,0.00268324,-1.4678731e-18,0.00268324,-1.4678169e-18,0.00268324,-1.4677703e-18,0.010557317,-1.4678087e-18,0.010557317,-1.4677649e-18,0.010557317,-1.4677352e-18,0.010557317,-1.4677016e-18,0.021114634,-1.46781e-18,0.00268324,-1.4675546e-18,0.00136304,-1.4675139e-18,0.002602544,-1.4674958e-18,0.0011193025,-1.4674349e-18,-,-,0.0013432544,-1.4674112e-18,0.0013432544,-1.4673929e-18,0.0026298512,-1.4673585e-18,0.0026393293,-1.4673712e-18,0.0026068016,-1.4673329e-18,0.001333364,-1.4672836e-18,0.001333364,-1.4672543e-18,0.001333364,-1.4672584e-18,0.001333364,-1.467194e-18,0.0013184115,-1.4671309e-18,0.001333364,-1.4670252e-18,0.001337492,-1.4671958e-18,0.0013432544,-1.4672009e-18,0.0013432544,-1.4671375e-18,0.0025022331,-1.4672216e-18,0.00099716175,-1.467191e-18
0.013968016,-1.4688913e-18,0.013968016,-1.4688236e-18,0.013968016,-1.4688111e-18,0.013968016,-1.4686651e-18,0.013968016,-1.4685997e-18,0.013968016,-1.4685425e-18,0.013968016,-1.4684862e-18,0.014112993,-1.4684296e-18,0.014112993,-1.4683677e-18,0.014112993,-1.4683119e-18,0.036,-1.4683587e-18,0.014112993,-1.4682014e-18,0.036,-1.4682473e-18,0.036,-1.4681774e-18,-,-,0.003574888,-1.4678811e-18,0.003574888,-1.4678249e-18,0.0035649808,-1.467782e-18,0.013968016,-1.4678513e-18,0.013968016,-1.4678132e-18,0.013968016,-1.467781e-18,0.013968016,-1.467745e-18,0.027114634,-1.4679238e-18,0.003129064,-1.4675554e-18,0.001549088,-1.4675189e-18,0.0034355168,-1.467524e-18,0.0011194075,-1.467468e-18,-,-,0.0017842957,-1.4674265e-18,0.0017842957,-1.4673991e-18,0.0034727301,-1.4673906e-18,0.0034920041,-1.467403e-18,0.0034490046,-1.4673596e-18,0.0017595938,-1.4673231e-18,0.0017547502,-1.4672748e-18,0.0017595938,-1.4672315e-18,0.0017595938,-1.4671872e-18,0.0017304336,-1.4670932e-18,0.0017595938,-1.4670436e-18,0.0017734638,-1.4672366e-18,0.0017842957,-1.4671979e-18,0.0017842957,-1.4671882e-18,0.0032878482,-1.4671783e-18,0.00099716832,-1.4671479e-18
0.018015379,-1.4690523e-18,0.018015379,-1.4688907e-18,0.018015379,-1.468796e-18,0.018015379,-1.4687116e-18,0.018015379,-1.4686377e-18,0.018015379,-1.4685728e-18,0.018015379,-1.4685172e-18,0.018207419,-1.4684763e-18,0.018207419,-1.4684224e-18,0.018207419,-1.4683694e-18,0.042,-1.4686574e-18,0.018207419,-1.4682646e-18,0.042,-1.4682775e-18,0.042,-1.4682028e-18,-,-,0.0046448656,-1.4678965e-18,0.0041098768,-1.467834e-18,0.0040940253,-1.467786e-18,0.018015379,-1.4679465e-18,0.018015379,-1.4679047e-18,0.018015379,-1.4678635e-18,0.018015379,-1.4678241e-18,0.033114634,-1.4680451e-18,0.0032628112,-1.4675599e-18,0.0016607168,-1.4675164e-18,0.0044017652,-1.4675197e-18,-,-,-,-,0.0022959036,-1.467382e-18,0.0022959036,-1.4673653e-18,0.0044729464,-1.4674187e-18,0.0045038449,-1.4673798e-18,0.0044484188,-1.4673728e-18,0.0022597033,-1.4673245e-18,0.0022604137,-1.4673137e-18,0.0022540203,-1.4672494e-18,0.0022540203,-1.4672047e-18,0.0022248601,-1.4671713e-18,0.0022597033,-1.4670281e-18,0.00229663,-1.4672111e-18,0.0022959036,-1.4672067e-18,0.0023017841,-1.4671752e-18,0.0042201114,-1.467205e-18,-,-
0.02281825,-1.4692468e-18,0.02281825,-1.4689688e-18,0.02281825,-1.4688742e-18,0.02281825,-1.4687829e-18,0.02281825,-1.4687088e-18,0.02281825,-1.4686286e-18,0.02281825,-1.4685532e-18,0.023066137,-1.4684988e-18,0.023066137,-1.4684445e-18,0.023066137,-1.4683858e-18,0.048,-1.468754e-18,0.023066137,-1.4682741e-18,0.048,-1.4686348e-18,0.048,-1.4685805e-18,-,-,0.0059288387,-1.4679142e-18,0.0047447302,-1.4678447e-18,0.004169855,-1.4677874e-18,0.02281825,-1.4679171e-18,0.02281825,-1.4679268e-18,0.02281825,-1.4678968e-18,0.02281825,-1.4678741e-18,0.039114634,-1.4681416e-18,0.0032828733,-1.467556e-18,0.0017842527,-1.4675046e-18,0.0055483801,-1.4675365e-18,-,-,-,-,0.002909833,-1.4674502e-18,0.0029030116,-1.4674087e-18,0.0056598697,-1.4674199e-18,0.0057045626,-1.467368e-18,0.0056343903,-1.4673918e-18,0.0028464986,-1.4673176e-18,0.0028469834,-1.4673178e-18,0.0028473321,-1.4672393e-18,0.0028473321,-1.4672526e-18,0.0027918025,-1.4671377e-18,0.0028464986,-1.4670108e-18,0.0029104784,-1.4672153e-18,0.0029030116,-1.4672001e-18,0.0029020707,-1.4671707e-18,0.0053263972,-1.4671977e-18,-,-
0.028517657,-1.4693868e-18,0.028517657,-1.4690677e-18,0.028517657,-1.4689656e-18,0.028517657,-1.4688683e-18,0.028517657,-1.468783e-18,0.028517657,-1.4687016e-18,0.028517657,-1.4686104e-18,0.028831816,-1.4685408e-18,0.028831816,-1.4684761e-18,0.028831816,-1.4684377e-18,0.054,-1.4688373e-18,0.028831816,-1.4683129e-18,0.054,-1.4687197e-18,0.054,-1.4686584e-18,-,-,0.0074524868,-1.467936e-18,0.0054980895,-1.4678531e-18,0.0042598396,-1.4677877e-18,0.028517657,-1.4680032e-18,0.028517657,-1.4679836e-18,0.028517657,-1.4679976e-18,0.028517657,-1.4679769e-18,0.045114634,-1.4681209e-18,0.0032887582,-1.4675545e-18,0.0019324957,-1.4675179e-18,0.0069090297,-1.4675555e-18,-,-,-,-,0.0036219912,-1.4674442e-18,0.0036315412,-1.4673899e-18,0.007068352,-1.467445e-18,0.0071294142,-1.4673939e-18,0.0070417431,-1.4673918e-18,0.0035271811,-1.4673425e-18,0.003543046,-1.4673264e-18,0.0035355738,-1.4672674e-18,0.0035355738,-1.4671822e-18,0.0034494557,-1.4671333e-18,0.003535005,-1.4670686e-18,0.0036307271,-1.467236e-18,0.0036315412,-1.467207e-18,0.0036144108,-1.4671859e-18,0.0066391896,-1.4672193e-18,-,-
0.034517657,-1.4690328e-18,0.034517657,-1.4691792e-18,0.034517657,-1.4690633e-18,0.034517657,-1.4689531e-18,0.034517657,-1.4688667e-18,0.034517657,-1.4687647e-18,0.034517657,-1.4686539e-18,0.034831816,-1.4685354e-18,0.034831816,-1.4684577e-18,0.034831816,-1.4684215e-18,0.06,-1.4689204e-18,0.034831816,-1.4683082e-18,0.06,-1.468792e-18,0.06,-1.4687524e-18,-,-,0.0092605492,-1.4679556e-18,0.0057240973,-1.4678551e-18,0.0043138303,-1.4677896e-18,0.034517657,-1.4679595e-18,0.034517657,-1.4680031e-18,0.034517657,-1.4680237e-18,0.034517657,-1.4680793e-18,0.051114634,-1.4681866e-18,0.0032904452,-1.4675512e-18,0.0020214415,-1.4675131e-18,0.0085236672,-1.467552e-18,-,-,-,-,0.0044670856,-1.467434e-18,0.0044766356,-1.4674212e-18,0.0087397511,-1.4674282e-18,0.0088202382,-1.4674158e-18,0.0087118018,-1.4674193e-18,0.0043349243,-1.4673338e-18,0.0043690404,-1.4673255e-18,0.0043522873,-1.4672854e-18,0.0043522873,-1.4672324e-18,0.0042298708,-1.46718e-18,0.0043428525,-1.4670548e-18,0.004475819,-1.4672462e-18,0.0044863493,-1.4671402e-18,0.004459721,-1.4672136e-18,0.0081970365,-1.4672673e-18,-,-
0.040517657,-1.4691039e-18,0.040517657,-1.4692731e-18,0.040517657,-1.4691284e-18,0.040517657,-1.4690398e-18,0.040517657,-1.4689443e-18,0.040517657,-1.468842e-18,0.040517657,-1.4687167e-18,0.040831816,-1.4685458e-18,0.040831816,-1.4687725e-18,0.040831816,-1.4687053e-18,0.066,-1.4690058e-18,0.040831816,-1.4685983e-18,0.066,-1.4688728e-18,0.066,-1.4688175e-18,-,-,0.011406117,-1.4679837e-18,0.0059922932,-1.4678585e-18,0.0043764596,-1.4677908e-18,0.040517657,-1.4679635e-18,0.040517657,-1.4680071e-18,0.040517657,-1.4680985e-18,0.040517657,-1.4681551e-18,0.057114634,-1.4682465e-18,0.00329094,-1.4675586e-18,0.0020347834,-1.4675171e-18,0.010439704,-1.467579e-18,-,-,-,-,0.0054699309,-1.4674589e-18,0.0054794809,-1.4674396e-18,0.010723145,-1.4675021e-18,0.010826683,-1.4674337e-18,0.010693605,-1.4674476e-18,0.0052934462,-1.4673714e-18,0.0053492203,-1.467338e-18,0.005321454,-1.4672898e-18,0.005321454,-1.4672534e-18,0.0051559634,-1.4672013e-18,0.005290727,-1.4670823e-18,0.0054673934,-1.4672573e-18,0.0054779267,-1.4671496e-18,0.0054628225,-1.467194e-18,0.010045682,-1.4672749e-18,-,-
