c(d:s)(CV_Vd_n1191_ac_des) X,c(d:s)(CV_Vd_n1191_ac_des) Y,c(d:s)(CV_Vd_n1217_ac_des) X,c(d:s)(CV_Vd_n1217_ac_des) Y,c(d:s)(CV_Vd_n1237_ac_des) X,c(d:s)(CV_Vd_n1237_ac_des) Y,c(d:s)(CV_Vd_n1257_ac_des) X,c(d:s)(CV_Vd_n1257_ac_des) Y,c(d:s)(CV_Vd_n1277_ac_des) X,c(d:s)(CV_Vd_n1277_ac_des) Y,c(d:s)(CV_Vd_n1297_ac_des) X,c(d:s)(CV_Vd_n1297_ac_des) Y,c(d:s)(CV_Vd_n1317_ac_des) X,c(d:s)(CV_Vd_n1317_ac_des) Y,c(d:s)(CV_Vd_n1337_ac_des) X,c(d:s)(CV_Vd_n1337_ac_des) Y,c(d:s)(CV_Vd_n1357_ac_des) X,c(d:s)(CV_Vd_n1357_ac_des) Y,c(d:s)(CV_Vd_n1377_ac_des) X,c(d:s)(CV_Vd_n1377_ac_des) Y,c(d:s)(CV_Vd_n1397_ac_des) X,c(d:s)(CV_Vd_n1397_ac_des) Y,c(d:s)(CV_Vd_n1417_ac_des) X,c(d:s)(CV_Vd_n1417_ac_des) Y,c(d:s)(CV_Vd_n1437_ac_des) X,c(d:s)(CV_Vd_n1437_ac_des) Y,c(d:s)(CV_Vd_n1457_ac_des) X,c(d:s)(CV_Vd_n1457_ac_des) Y,c(d:s)(CV_Vd_n1477_ac_des) X,c(d:s)(CV_Vd_n1477_ac_des) Y,c(d:s)(CV_Vd_n1497_ac_des) X,c(d:s)(CV_Vd_n1497_ac_des) Y,c(d:s)(CV_Vd_n1517_ac_des) X,c(d:s)(CV_Vd_n1517_ac_des) Y,c(d:s)(CV_Vd_n1537_ac_des) X,c(d:s)(CV_Vd_n1537_ac_des) Y,c(d:s)(CV_Vd_n1557_ac_des) X,c(d:s)(CV_Vd_n1557_ac_des) Y,c(d:s)(CV_Vd_n1577_ac_des) X,c(d:s)(CV_Vd_n1577_ac_des) Y,c(d:s)(CV_Vd_n1597_ac_des) X,c(d:s)(CV_Vd_n1597_ac_des) Y,c(d:s)(CV_Vd_n1617_ac_des) X,c(d:s)(CV_Vd_n1617_ac_des) Y,c(d:s)(CV_Vd_n1637_ac_des) X,c(d:s)(CV_Vd_n1637_ac_des) Y,c(d:s)(CV_Vd_n1657_ac_des) X,c(d:s)(CV_Vd_n1657_ac_des) Y,c(d:s)(CV_Vd_n1677_ac_des) X,c(d:s)(CV_Vd_n1677_ac_des) Y,c(d:s)(CV_Vd_n1697_ac_des) X,c(d:s)(CV_Vd_n1697_ac_des) Y,c(d:s)(CV_Vd_n1717_ac_des) X,c(d:s)(CV_Vd_n1717_ac_des) Y,c(d:s)(CV_Vd_n1737_ac_des) X,c(d:s)(CV_Vd_n1737_ac_des) Y,c(d:s)(CV_Vd_n1757_ac_des) X,c(d:s)(CV_Vd_n1757_ac_des) Y,c(d:s)(CV_Vd_n1777_ac_des) X,c(d:s)(CV_Vd_n1777_ac_des) Y,c(d:s)(CV_Vd_n1797_ac_des) X,c(d:s)(CV_Vd_n1797_ac_des) Y,c(d:s)(CV_Vd_n1817_ac_des) X,c(d:s)(CV_Vd_n1817_ac_des) Y,c(d:s)(CV_Vd_n1837_ac_des) X,c(d:s)(CV_Vd_n1837_ac_des) Y,c(d:s)(CV_Vd_n1857_ac_des) X,c(d:s)(CV_Vd_n1857_ac_des) Y,c(d:s)(CV_Vd_n1877_ac_des) X,c(d:s)(CV_Vd_n1877_ac_des) Y,c(d:s)(CV_Vd_n1897_ac_des) X,c(d:s)(CV_Vd_n1897_ac_des) Y,c(d:s)(CV_Vd_n1917_ac_des) X,c(d:s)(CV_Vd_n1917_ac_des) Y,c(d:s)(CV_Vd_n1937_ac_des) X,c(d:s)(CV_Vd_n1937_ac_des) Y,c(d:s)(CV_Vd_n1957_ac_des) X,c(d:s)(CV_Vd_n1957_ac_des) Y,c(d:s)(CV_Vd_n1977_ac_des) X,c(d:s)(CV_Vd_n1977_ac_des) Y,c(d:s)(CV_Vd_n1997_ac_des) X,c(d:s)(CV_Vd_n1997_ac_des) Y,c(d:s)(CV_Vd_n2017_ac_des) X,c(d:s)(CV_Vd_n2017_ac_des) Y,c(d:s)(CV_Vd_n2037_ac_des) X,c(d:s)(CV_Vd_n2037_ac_des) Y,c(d:s)(CV_Vd_n2057_ac_des) X,c(d:s)(CV_Vd_n2057_ac_des) Y
0,-5.4109844e-19,0,-5.411679e-19,0,-5.4180818e-19,0,-5.4141559e-19,0,-5.4327567e-19,0,-5.4269875e-19,0,-5.4260583e-19,0,-5.4261628e-19,0,-5.4139361e-19,0,-5.4164794e-19,0,-5.4139605e-19,0,-5.4133747e-19,0,-5.4130303e-19,0,-5.4135477e-19,0,-5.4136693e-19,0,-5.4150055e-19,0,-5.4146725e-19,0,-5.4147285e-19,0,-5.414981e-19,0,-5.4153044e-19,0,-5.4158854e-19,0,-5.4166745e-19,0,-5.4177798e-19,0,-5.417865e-19,0,-5.4184569e-19,0,-5.4188115e-19,0,-5.4176805e-19,0,-5.4186092e-19,0,-5.4182652e-19,0,-5.4177824e-19,0,-5.4185953e-19,0,-5.4215778e-19,0,-5.4185003e-19,0,-5.4188069e-19,0,-5.418721e-19,0,-5.4194501e-19,0,-5.4191927e-19,0,-5.4192965e-19,0,-5.4196311e-19,0,-5.4201579e-19,0,-5.4193382e-19,0,-5.4205567e-19,0,-5.4280843e-19,0,-5.4350547e-19
-0.006,-5.4134581e-19,-0.006,-5.4130061e-19,-0.006,-5.4149595e-19,-0.003,-5.4175124e-19,-0.006,-5.4297714e-19,-0.006,-5.4141088e-19,-0.006,-5.4140351e-19,-0.006,-5.4146238e-19,-0.003,-5.414408e-19,-0.003,-5.4163671e-19,-0.003,-5.4144151e-19,-0.006,-5.4161745e-19,-0.006,-5.4133792e-19,-0.006,-5.4157091e-19,-0.006,-5.4142711e-19,-0.006,-5.4158821e-19,-0.006,-5.4157946e-19,-0.006,-5.4171242e-19,-0.006,-5.4163157e-19,-0.006,-5.4166963e-19,-0.006,-5.4148759e-19,-0.0015,-5.4163736e-19,-0.006,-5.4155076e-19,-0.006,-5.4168307e-19,-0.006,-5.4175133e-19,-0.006,-5.4180268e-19,-0.003,-5.4183576e-19,-0.003,-5.4182705e-19,-0.003,-5.4188305e-19,-0.003,-5.4191399e-19,-0.006,-5.4196665e-19,-0.003,-5.4189263e-19,-0.003,-5.4189639e-19,-0.003,-5.4192934e-19,-0.003,-5.4194592e-19,-0.003,-5.4195811e-19,-0.003,-5.4200253e-19,-0.003,-5.4201211e-19,-0.003,-5.4202436e-19,-0.003,-5.4207537e-19,-0.003,-5.4207767e-19,-0.003,-5.42123e-19,-0.003,-5.426514e-19,-0.003,-5.4315582e-19
-0.012,-5.4166397e-19,-0.012,-5.413758e-19,-0.012,-5.4160455e-19,-0.00648,-5.4141753e-19,-0.012,-5.4160704e-19,-0.012,-5.4160483e-19,-0.012,-5.4155516e-19,-0.012,-5.4180075e-19,-0.00648,-5.4148456e-19,-0.00648,-5.4168397e-19,-0.00648,-5.4151186e-19,-0.012,-5.416727e-19,-0.012,-5.4150867e-19,-0.012,-5.4155488e-19,-0.012,-5.4170157e-19,-0.012,-5.4169041e-19,-0.012,-5.4156481e-19,-0.012,-5.4173124e-19,-0.012,-5.4177096e-19,-0.012,-5.4183959e-19,-0.012,-5.4191317e-19,-0.00324,-5.4163236e-19,-0.012,-5.4183956e-19,-0.012,-5.4184335e-19,-0.012,-5.4190825e-19,-0.012,-5.4149292e-19,-0.00648,-5.4184181e-19,-0.00648,-5.4190213e-19,-0.00648,-5.4191726e-19,-0.00648,-5.418882e-19,-0.012,-5.4210002e-19,-0.00648,-5.4194675e-19,-0.00648,-5.4196897e-19,-0.00648,-5.4200216e-19,-0.00648,-5.4201419e-19,-0.00648,-5.4203336e-19,-0.00648,-5.4207517e-19,-0.00648,-5.4209752e-19,-0.00648,-5.420579e-19,-0.00644,-5.4212065e-19,-0.00648,-5.4212912e-19,-0.00648,-5.4213094e-19,-0.00644,-5.4227567e-19,-0.00644,-5.4242944e-19
-0.018,-5.4124883e-19,-0.018,-5.414288e-19,-0.018,-5.4167857e-19,-0.0106096,-5.4093632e-19,-0.018,-5.4208697e-19,-0.018,-5.4184173e-19,-0.018,-5.4266914e-19,-0.018,-5.4265188e-19,-0.0106096,-5.4171208e-19,-0.0106096,-5.4176717e-19,-0.0106096,-5.4249446e-19,-0.018,-5.4185224e-19,-0.018,-5.4181886e-19,-0.018,-5.4169942e-19,-0.018,-5.4184331e-19,-0.018,-5.4195218e-19,-0.018,-5.4186694e-19,-0.018,-5.4197829e-19,-0.018,-5.4182206e-19,-0.018,-5.419109e-19,-0.018,-5.4197158e-19,-0.0053048,-5.4154875e-19,-0.018,-5.4195016e-19,-0.018,-5.4197296e-19,-0.018,-5.4204276e-19,-0.018,-5.4199652e-19,-0.0105632,-5.416068e-19,-0.0105632,-5.4174592e-19,-0.0105632,-5.4186695e-19,-0.0105632,-5.4192846e-19,-0.018,-5.4214661e-19,-0.0105632,-5.4202805e-19,-0.0105632,-5.4205817e-19,-0.0105632,-5.4206738e-19,-0.0105632,-5.4210744e-19,-0.0105632,-5.4212341e-19,-0.0105632,-5.4214468e-19,-0.0105632,-5.4217553e-19,-0.0105632,-5.4219201e-19,-0.010476267,-5.422072e-19,-0.0105632,-5.422393e-19,-0.0105632,-5.422636e-19,-0.010476267,-5.4229457e-19,-0.010476267,-5.4229461e-19
-0.024,-5.4185855e-19,-0.024,-5.4145726e-19,-0.024,-5.4146664e-19,-0.013059829,-5.4157996e-19,-0.024,-5.40983e-19,-0.024,-5.4087318e-19,-0.024,-5.4169771e-19,-0.024,-5.4108665e-19,-0.015510059,-5.4407323e-19,-0.015510059,-5.4183405e-19,-0.015510059,-5.4198174e-19,-0.024,-5.418686e-19,-0.024,-5.419619e-19,-0.024,-5.4140194e-19,-0.024,-5.4187782e-19,-0.024,-5.4199919e-19,-0.024,-5.4224209e-19,-0.024,-5.4205216e-19,-0.024,-5.4208263e-19,-0.024,-5.4201316e-19,-0.024,-5.4189941e-19,-0.0077550293,-5.4136756e-19,-0.024,-5.4260314e-19,-0.024,-5.4233829e-19,-0.024,-5.4151908e-19,-0.024,-5.4203205e-19,-0.015354155,-5.4098953e-19,-0.015354155,-5.414852e-19,-0.015354155,-5.4196972e-19,-0.015354155,-5.4193539e-19,-0.024,-5.4298088e-19,-0.015354155,-5.4211791e-19,-0.015354155,-5.4215307e-19,-0.015354155,-5.421741e-19,-0.015354155,-5.4219411e-19,-0.015354155,-5.4220937e-19,-0.015354155,-5.4224972e-19,-0.015354155,-5.4223101e-19,-0.015354155,-5.4225304e-19,-0.015212153,-5.4230959e-19,-0.015354155,-5.42333e-19,-0.015354155,-5.4243227e-19,-0.015212153,-5.4246711e-19,-0.015212153,-5.4240816e-19
-0.03,-5.4127638e-19,-0.03,-5.4233071e-19,-0.03,-5.4232695e-19,-0.015967435,-5.4171493e-19,-0.03,-5.4251406e-19,-0.03,-5.4242036e-19,-0.03,-5.4237724e-19,-0.03,-5.4339093e-19,-0.02132527,-5.4333348e-19,-0.02132527,-5.4195141e-19,-0.02132527,-5.4200903e-19,-0.03,-5.4321839e-19,-0.03,-5.4224204e-19,-0.03,-5.4215105e-19,-0.03,-5.4199814e-19,-0.03,-5.4223686e-19,-0.03,-5.4193291e-19,-0.03,-5.4262601e-19,-0.03,-5.4224163e-19,-0.03,-5.4221698e-19,-0.03,-5.418359e-19,-0.010662635,-5.417832e-19,-0.03,-5.4214681e-19,-0.03,-5.4140435e-19,-0.03,-5.4123219e-19,-0.03,-5.4227232e-19,-0.020975541,-5.4212488e-19,-0.020975541,-5.4213587e-19,-0.020975541,-5.4231581e-19,-0.020975541,-5.420687e-19,-0.03,-5.4253201e-19,-0.020975541,-5.4223525e-19,-0.020975541,-5.4226777e-19,-0.020975541,-5.4227931e-19,-0.020975541,-5.4229813e-19,-0.020975541,-5.4231134e-19,-0.020975541,-5.4236075e-19,-0.020975541,-5.42348e-19,-0.020975541,-5.4245196e-19,-0.020768926,-5.4223417e-19,-0.020975541,-5.4226196e-19,-0.020975541,-5.4236237e-19,-0.020768926,-5.4241213e-19,-0.020768926,-5.4243876e-19
-0.036,-5.4085018e-19,-0.036,-5.4266321e-19,-0.036,-5.4225964e-19,-0.019417793,-5.4181103e-19,-0.036,-5.431222e-19,-0.036,-5.4341706e-19,-0.036,-5.431737e-19,-0.036,-5.4239547e-19,-0.02732527,-5.4209894e-19,-0.02732527,-5.4313351e-19,-0.02732527,-5.4226658e-19,-0.036,-5.4279294e-19,-0.036,-5.4227004e-19,-0.036,-5.429802e-19,-0.036,-5.423038e-19,-0.036,-5.4221752e-19,-0.036,-5.4236282e-19,-0.036,-5.4229168e-19,-0.036,-5.4257957e-19,-0.036,-5.4215652e-19,-0.036,-5.4234059e-19,-0.014112993,-5.4184756e-19,-0.036,-5.4241791e-19,-0.036,-5.4248459e-19,-0.036,-5.4238079e-19,-0.036,-5.4236026e-19,-0.026975541,-5.4223248e-19,-0.026975541,-5.4222543e-19,-0.026975541,-5.4068581e-19,-0.026975541,-5.4306444e-19,-0.036,-5.4254379e-19,-0.026975541,-5.4234784e-19,-0.026975541,-5.4236067e-19,-0.026975541,-5.4238095e-19,-0.026975541,-5.4239822e-19,-0.026975541,-5.4239307e-19,-0.026975541,-5.4248253e-19,-0.026975541,-5.4243743e-19,-0.026975541,-5.4243641e-19,-0.026768926,-5.4232443e-19,-0.026975541,-5.4237569e-19,-0.026975541,-5.4245584e-19,-0.026768926,-5.4253664e-19,-0.026768926,-5.4263635e-19
-0.042,-5.4227311e-19,-0.042,-5.4283085e-19,-0.042,-5.4249322e-19,-0.023512219,-5.4192541e-19,-0.042,-5.4321782e-19,-0.042,-5.4246097e-19,-0.042,-5.4254946e-19,-0.042,-5.4261354e-19,-0.03332527,-5.4221701e-19,-0.03332527,-5.4539997e-19,-0.03332527,-5.4256656e-19,-0.042,-5.428432e-19,-0.042,-5.4409351e-19,-0.042,-5.426576e-19,-0.042,-5.4225524e-19,-0.042,-5.4242668e-19,-0.042,-5.4250124e-19,-0.042,-5.4187978e-19,-0.042,-5.4248133e-19,-0.042,-5.4279464e-19,-0.042,-5.4242091e-19,-0.018207419,-5.4193049e-19,-0.042,-5.4240133e-19,-0.042,-5.4267539e-19,-0.042,-5.4258265e-19,-0.042,-5.4263342e-19,-0.032975541,-5.4228423e-19,-0.032975541,-5.4229569e-19,-0.032975541,-5.4022118e-19,-0.032975541,-5.4139645e-19,-0.042,-5.4267491e-19,-0.032975541,-5.4246249e-19,-0.032975541,-5.4248298e-19,-0.032975541,-5.4251911e-19,-0.032975541,-5.4252875e-19,-0.032975541,-5.4256054e-19,-0.032975541,-5.4259812e-19,-0.032975541,-5.425869e-19,-0.032975541,-5.4254057e-19,-0.032768926,-5.4261779e-19,-0.032975541,-5.4258121e-19,-0.032975541,-5.4254746e-19,-0.032768926,-5.4246297e-19,-0.032768926,-5.4265633e-19
-0.048,-5.4251699e-19,-0.048,-5.4322307e-19,-0.048,-5.4262724e-19,-0.028370937,-5.4435329e-19,-0.048,-5.4256027e-19,-0.048,-5.4366716e-19,-0.048,-5.427016e-19,-0.048,-5.4276882e-19,-0.03932527,-5.4214844e-19,-0.03932527,-5.4255261e-19,-0.03932527,-5.4268158e-19,-0.048,-5.4297189e-19,-0.048,-5.4372066e-19,-0.048,-5.4246263e-19,-0.048,-5.4239551e-19,-0.048,-5.4260393e-19,-0.048,-5.4198068e-19,-0.048,-5.4241355e-19,-0.048,-5.4250198e-19,-0.048,-5.4264218e-19,-0.048,-5.425799e-19,-0.023066137,-5.4203621e-19,-0.048,-5.4259686e-19,-0.048,-5.4241426e-19,-0.048,-5.4268632e-19,-0.048,-5.4265865e-19,-0.038975541,-5.4240108e-19,-0.038975541,-5.4246227e-19,-0.038975541,-5.4255413e-19,-0.038975541,-5.4252984e-19,-0.048,-5.4280785e-19,-0.038975541,-5.4256082e-19,-0.038975541,-5.425975e-19,-0.038975541,-5.4262887e-19,-0.038975541,-5.4267362e-19,-0.038975541,-5.4267923e-19,-0.038975541,-5.4276704e-19,-0.038975541,-5.4275883e-19,-0.038975541,-5.4246781e-19,-0.038768926,-5.4249454e-19,-0.038975541,-5.4227214e-19,-0.038975541,-5.4213484e-19,-0.038768926,-5.4200038e-19,-0.038768926,-5.4236116e-19
-0.054,-5.4274821e-19,-0.054,-5.4291172e-19,-0.054,-5.4292479e-19,-0.034136616,-5.4216747e-19,-0.054,-5.4271452e-19,-0.054,-5.4272785e-19,-0.054,-5.4290784e-19,-0.054,-5.4297383e-19,-0.04532527,-5.4229921e-19,-0.04532527,-5.4282644e-19,-0.04532527,-5.4284994e-19,-0.054,-5.4309322e-19,-0.054,-5.4356475e-19,-0.054,-5.4266268e-19,-0.054,-5.4321537e-19,-0.054,-5.4262542e-19,-0.054,-5.413993e-19,-0.054,-5.4264751e-19,-0.054,-5.4266671e-19,-0.054,-5.4255549e-19,-0.054,-5.4270982e-19,-0.028831816,-5.4219964e-19,-0.054,-5.4269846e-19,-0.054,-5.4285551e-19,-0.054,-5.426593e-19,-0.054,-5.4307027e-19,-0.044975541,-5.4244805e-19,-0.044975541,-5.4258779e-19,-0.044975541,-5.4274261e-19,-0.044975541,-5.427295e-19,-0.054,-5.4303655e-19,-0.044975541,-5.4271419e-19,-0.044975541,-5.4271271e-19,-0.044975541,-5.4273833e-19,-0.044975541,-5.4277284e-19,-0.044975541,-5.427917e-19,-0.044975541,-5.4286058e-19,-0.044975541,-5.4283609e-19,-0.044975541,-5.4237488e-19,-0.044768926,-5.4202881e-19,-0.044975541,-5.4191366e-19,-0.044975541,-5.4279252e-19,-0.044768926,-5.4244482e-19,-0.044768926,-5.4231915e-19
