c(g:d)(CV_Vd_n1207_ac_des) X,c(g:d)(CV_Vd_n1207_ac_des) Y,c(g:d)(CV_Vd_n1227_ac_des) X,c(g:d)(CV_Vd_n1227_ac_des) Y,c(g:d)(CV_Vd_n1247_ac_des) X,c(g:d)(CV_Vd_n1247_ac_des) Y,c(g:d)(CV_Vd_n1267_ac_des) X,c(g:d)(CV_Vd_n1267_ac_des) Y,c(g:d)(CV_Vd_n1287_ac_des) X,c(g:d)(CV_Vd_n1287_ac_des) Y,c(g:d)(CV_Vd_n1307_ac_des) X,c(g:d)(CV_Vd_n1307_ac_des) Y,c(g:d)(CV_Vd_n1327_ac_des) X,c(g:d)(CV_Vd_n1327_ac_des) Y,c(g:d)(CV_Vd_n1347_ac_des) X,c(g:d)(CV_Vd_n1347_ac_des) Y,c(g:d)(CV_Vd_n1367_ac_des) X,c(g:d)(CV_Vd_n1367_ac_des) Y,c(g:d)(CV_Vd_n1387_ac_des) X,c(g:d)(CV_Vd_n1387_ac_des) Y,c(g:d)(CV_Vd_n1407_ac_des) X,c(g:d)(CV_Vd_n1407_ac_des) Y,c(g:d)(CV_Vd_n1427_ac_des) X,c(g:d)(CV_Vd_n1427_ac_des) Y,c(g:d)(CV_Vd_n1447_ac_des) X,c(g:d)(CV_Vd_n1447_ac_des) Y,c(g:d)(CV_Vd_n1467_ac_des) X,c(g:d)(CV_Vd_n1467_ac_des) Y,c(g:d)(CV_Vd_n1487_ac_des) X,c(g:d)(CV_Vd_n1487_ac_des) Y,c(g:d)(CV_Vd_n1507_ac_des) X,c(g:d)(CV_Vd_n1507_ac_des) Y,c(g:d)(CV_Vd_n1527_ac_des) X,c(g:d)(CV_Vd_n1527_ac_des) Y,c(g:d)(CV_Vd_n1547_ac_des) X,c(g:d)(CV_Vd_n1547_ac_des) Y,c(g:d)(CV_Vd_n1567_ac_des) X,c(g:d)(CV_Vd_n1567_ac_des) Y,c(g:d)(CV_Vd_n1587_ac_des) X,c(g:d)(CV_Vd_n1587_ac_des) Y,c(g:d)(CV_Vd_n1607_ac_des) X,c(g:d)(CV_Vd_n1607_ac_des) Y,c(g:d)(CV_Vd_n1627_ac_des) X,c(g:d)(CV_Vd_n1627_ac_des) Y,c(g:d)(CV_Vd_n1647_ac_des) X,c(g:d)(CV_Vd_n1647_ac_des) Y,c(g:d)(CV_Vd_n1667_ac_des) X,c(g:d)(CV_Vd_n1667_ac_des) Y,c(g:d)(CV_Vd_n1687_ac_des) X,c(g:d)(CV_Vd_n1687_ac_des) Y,c(g:d)(CV_Vd_n1707_ac_des) X,c(g:d)(CV_Vd_n1707_ac_des) Y,c(g:d)(CV_Vd_n1727_ac_des) X,c(g:d)(CV_Vd_n1727_ac_des) Y,c(g:d)(CV_Vd_n1747_ac_des) X,c(g:d)(CV_Vd_n1747_ac_des) Y,c(g:d)(CV_Vd_n1767_ac_des) X,c(g:d)(CV_Vd_n1767_ac_des) Y,c(g:d)(CV_Vd_n1787_ac_des) X,c(g:d)(CV_Vd_n1787_ac_des) Y,c(g:d)(CV_Vd_n1807_ac_des) X,c(g:d)(CV_Vd_n1807_ac_des) Y,c(g:d)(CV_Vd_n1827_ac_des) X,c(g:d)(CV_Vd_n1827_ac_des) Y,c(g:d)(CV_Vd_n1847_ac_des) X,c(g:d)(CV_Vd_n1847_ac_des) Y,c(g:d)(CV_Vd_n1867_ac_des) X,c(g:d)(CV_Vd_n1867_ac_des) Y,c(g:d)(CV_Vd_n1887_ac_des) X,c(g:d)(CV_Vd_n1887_ac_des) Y,c(g:d)(CV_Vd_n1907_ac_des) X,c(g:d)(CV_Vd_n1907_ac_des) Y,c(g:d)(CV_Vd_n1927_ac_des) X,c(g:d)(CV_Vd_n1927_ac_des) Y,c(g:d)(CV_Vd_n1947_ac_des) X,c(g:d)(CV_Vd_n1947_ac_des) Y,c(g:d)(CV_Vd_n1967_ac_des) X,c(g:d)(CV_Vd_n1967_ac_des) Y,c(g:d)(CV_Vd_n1987_ac_des) X,c(g:d)(CV_Vd_n1987_ac_des) Y,c(g:d)(CV_Vd_n2007_ac_des) X,c(g:d)(CV_Vd_n2007_ac_des) Y,c(g:d)(CV_Vd_n2027_ac_des) X,c(g:d)(CV_Vd_n2027_ac_des) Y,c(g:d)(CV_Vd_n2047_ac_des) X,c(g:d)(CV_Vd_n2047_ac_des) Y,c(g:d)(CV_Vd_n2067_ac_des) X,c(g:d)(CV_Vd_n2067_ac_des) Y
0,-1.1701289e-17,0,-1.1642103e-17,0,-1.1558589e-17,0,-1.1475847e-17,0,-1.1395412e-17,0,-1.1317156e-17,0,-1.1241093e-17,0,-1.1167214e-17,0,-1.1095491e-17,0,-1.1025931e-17,0,-1.0958509e-17,0,-1.089323e-17,0,-1.0830094e-17,0,-1.0769096e-17,0,-1.0710217e-17,0,-1.0653433e-17,0,-1.059873e-17,0,-1.0546093e-17,0,-1.0495481e-17,0,-1.044686e-17,0,-1.0400195e-17,0,-1.0355399e-17,0,-1.0312493e-17,0,-1.0271388e-17,0,-1.0232035e-17,0,-1.0194354e-17,0,-1.0158315e-17,0,-1.0123858e-17,0,-1.0090939e-17,0,-1.0059496e-17,0,-1.0029442e-17,0,-1.0000774e-17,0,-9.973368e-18,0,-9.9472181e-18,0,-9.9222204e-18,0,-9.898373e-18,0,-9.8755042e-18,0,-9.8537176e-18,0,-9.8329524e-18,0,-9.8130617e-18,0,-9.7937441e-18,0,-9.7757127e-18,0,-9.7581898e-18,0,-9.7411985e-18
0.0015,-1.1710021e-17,0.0015,-1.1523973e-17,0.0015,-1.1566917e-17,0.0015,-1.1483966e-17,0.0015,-1.1403312e-17,0.0015,-1.1324846e-17,0.0015,-1.1248571e-17,0.0015,-1.1174472e-17,0.0015,-1.1102528e-17,0.0015,-1.1032757e-17,0.006,-1.0985044e-17,0.0015,-1.0899626e-17,0.006,-1.0854936e-17,0.006,-1.0793082e-17,0.00075,-1.0713072e-17,0.000375,-1.0654812e-17,0.000375,-1.0600068e-17,0.000375,-1.0547379e-17,0.0015,-1.0500411e-17,0.0015,-1.04516e-17,0.0015,-1.0404727e-17,0.0015,-1.0359769e-17,0.003,-1.0320877e-17,0.000375,-1.0272388e-17,0.000375,-1.0232997e-17,0.000375,-1.0195267e-17,0.000375,-1.0159186e-17,0.000375,-1.0124696e-17,0.0001875,-1.0091343e-17,0.0001875,-1.0059882e-17,0.000375,-1.0030174e-17,0.000375,-1.000146e-17,0.000375,-9.97404e-18,0.0001875,-9.9475324e-18,0.0001875,-9.922525e-18,0.0001875,-9.8986638e-18,0.0001875,-9.875788e-18,0.0001875,-9.8540285e-18,0.0001875,-9.8332742e-18,0.0001875,-9.8132802e-18,0.0001875,-9.7941002e-18,0.0001875,-9.7760175e-18,0.000375,-9.7586478e-18,0.000375,-9.7417563e-18
0.00322,-1.172008e-17,0.00322,-1.1525481e-17,0.00322,-1.1576523e-17,0.00322,-1.1493292e-17,0.00322,-1.1412399e-17,0.00322,-1.1333686e-17,0.00322,-1.1257163e-17,0.00324,-1.1182912e-17,0.00324,-1.111072e-17,0.00324,-1.1040682e-17,0.012,-1.1011961e-17,0.00324,-1.0907059e-17,0.012,-1.088007e-17,0.012,-1.0817258e-17,0.00117,-1.0714693e-17,0.000805,-1.0656401e-17,0.000805,-1.0601592e-17,0.000805,-1.0548845e-17,0.00322,-1.0506107e-17,0.00322,-1.0457044e-17,0.00322,-1.0409972e-17,0.00322,-1.0364783e-17,0.00644,-1.0330519e-17,0.000805,-1.0273544e-17,0.0008,-1.0234076e-17,0.0008,-1.0196309e-17,0.00079,-1.0160151e-17,0.000400625,-1.0124755e-17,0.000405,-1.0091795e-17,0.000405,-1.0060315e-17,0.000805,-1.003101e-17,0.000805,-1.0002251e-17,0.000795,-9.974763e-18,0.0004025,-9.947896e-18,0.0004025,-9.9228814e-18,0.0004025,-9.898972e-18,0.0004025,-9.8760943e-18,0.0004025,-9.8542972e-18,0.0004025,-9.8335984e-18,0.0004025,-9.8135756e-18,0.000405,-9.7941338e-18,0.000405,-9.7762837e-18,0.000785,-9.759068e-18,0.000795,-9.7420234e-18
0.0052610667,-1.1732077e-17,0.0052610667,-1.1673689e-17,0.0052610667,-1.1587919e-17,0.0052610667,-1.1504409e-17,0.0052610667,-1.1423216e-17,0.0052610667,-1.1344222e-17,0.0052610667,-1.1267401e-17,0.0053048,-1.1192964e-17,0.0053048,-1.112048e-17,0.0053048,-1.1050144e-17,0.018,-1.1039272e-17,0.0053048,-1.0915911e-17,0.018,-1.0905703e-17,0.018,-1.0841748e-17,0.0012015,-1.071481e-17,0.001321,-1.0658298e-17,0.001321,-1.0603423e-17,0.001321,-1.0550614e-17,0.0052610667,-1.0512863e-17,0.0052610667,-1.0463554e-17,0.0052610667,-1.0416214e-17,0.0052610667,-1.0370768e-17,0.010522133,-1.0342116e-17,0.001321,-1.0274906e-17,0.001055,-1.0234727e-17,0.00131,-1.0197567e-17,0.001039,-1.0160754e-17,0.00040086523,-1.0124752e-17,0.000666,-1.0092364e-17,0.000666,-1.006085e-17,0.001321,-1.0032007e-17,0.0013152667,-1.0003191e-17,0.001299,-9.975663e-18,0.0006605,-9.9483275e-18,0.0006605,-9.9232768e-18,0.0006605,-9.8993469e-18,0.0006605,-9.8765414e-18,0.0006605,-9.8546227e-18,0.0006605,-9.8339513e-18,0.0006605,-9.8139582e-18,0.000666,-9.7945639e-18,0.000666,-9.7765677e-18,0.0012606,-9.7595589e-18,0.000921,-9.7421812e-18
0.0076831324,-1.1746417e-17,0.0076831324,-1.1687694e-17,0.0076831324,-1.1601523e-17,0.0076831324,-1.1517658e-17,0.0076831324,-1.1436102e-17,0.0076831324,-1.1356762e-17,0.0076831324,-1.1279594e-17,0.0077550293,-1.1204954e-17,0.0077550293,-1.1132116e-17,0.0077550293,-1.1061425e-17,0.024,-1.1066942e-17,0.0077550293,-1.0926497e-17,0.024,-1.093167e-17,0.024,-1.086724e-17,0.0012017953,-1.0714818e-17,0.0019402,-1.0660616e-17,0.0019402,-1.0605637e-17,0.0019402,-1.0552733e-17,0.0076831324,-1.052095e-17,0.0076831324,-1.0471313e-17,0.0076831324,-1.0423663e-17,0.0076831324,-1.0377939e-17,0.015366265,-1.035604e-17,0.0019402,-1.0276559e-17,0.001208,-1.0235121e-17,0.0019084,-1.0199025e-17,0.0011137,-1.016094e-17,-,-,0.00097572,-1.0093025e-17,0.00097572,-1.0061481e-17,0.00191956,-1.0033193e-17,0.0019207831,-1.000431e-17,0.00189708,-9.9767101e-18,0.0009701,-9.9488421e-18,0.0009701,-9.9237838e-18,0.0009701,-9.8998274e-18,0.0009701,-9.8769553e-18,0.00096322,-9.8550539e-18,0.0009701,-9.8343375e-18,0.0009701,-9.8143938e-18,0.00097572,-9.7953371e-18,0.00097572,-9.7769472e-18,0.0018249787,-9.760143e-18,0.00099576,-9.7422462e-18
0.010557317,-1.1763541e-17,0.010557317,-1.170439e-17,0.010557317,-1.1617728e-17,0.010557317,-1.1533449e-17,0.010557317,-1.145147e-17,0.010557317,-1.1371716e-17,0.010557317,-1.1294142e-17,0.010662635,-1.1219257e-17,0.010662635,-1.1145998e-17,0.010662635,-1.1074887e-17,0.03,-1.1094653e-17,0.010662635,-1.0939124e-17,0.03,-1.0957697e-17,0.03,-1.0892479e-17,-,-,0.00268324,-1.0663357e-17,0.00268324,-1.0608293e-17,0.00268324,-1.0555295e-17,0.010557317,-1.0530601e-17,0.010557317,-1.0480583e-17,0.010557317,-1.0432571e-17,0.010557317,-1.0386465e-17,0.021114634,-1.0372751e-17,0.00268324,-1.0278553e-17,0.00136304,-1.0235517e-17,0.002602544,-1.0200723e-17,0.0011193025,-1.0160948e-17,-,-,0.0013432544,-1.0093818e-17,0.0013432544,-1.0062236e-17,0.0026298512,-1.0034576e-17,0.0026393293,-1.0005653e-17,0.0026068016,-9.9779815e-18,0.001333364,-9.9494552e-18,0.001333364,-9.9243824e-18,0.001333364,-9.9003953e-18,0.001333364,-9.8774923e-18,0.0013184115,-9.8555613e-18,0.001333364,-9.834867e-18,0.001337492,-9.8149109e-18,0.0013432544,-9.7955858e-18,0.0013432544,-9.7773454e-18,0.0025022331,-9.760907e-18,0.00099716175,-9.7422627e-18
0.013968016,-1.1783856e-17,0.013968016,-1.1724321e-17,0.013968016,-1.1637033e-17,0.013968016,-1.155228e-17,0.013968016,-1.1469794e-17,0.013968016,-1.1389572e-17,0.013968016,-1.131152e-17,0.014112993,-1.1236348e-17,0.014112993,-1.1162594e-17,0.014112993,-1.109099e-17,0.036,-1.1122521e-17,0.014112993,-1.0954231e-17,0.036,-1.0984019e-17,0.036,-1.0917912e-17,-,-,0.003574888,-1.0666655e-17,0.003574888,-1.0611476e-17,0.0035649808,-1.0558313e-17,0.013968016,-1.0542148e-17,0.013968016,-1.049166e-17,0.013968016,-1.0443197e-17,0.013968016,-1.0396668e-17,0.027114634,-1.0390315e-17,0.003129064,-1.0279742e-17,0.001549088,-1.0235984e-17,0.0034355168,-1.0202755e-17,0.0011194075,-1.0160954e-17,-,-,0.0017842957,-1.0094755e-17,0.0017842957,-1.0063128e-17,0.0034727301,-1.0036201e-17,0.0034920041,-1.0007234e-17,0.0034490046,-9.9794657e-18,0.0017595938,-9.9501874e-18,0.0017547502,-9.9250574e-18,0.0017595938,-9.9010939e-18,0.0017595938,-9.8781294e-18,0.0017304336,-9.8561105e-18,0.0017595938,-9.8354782e-18,0.0017734638,-9.815535e-18,0.0017842957,-9.7961773e-18,0.0017842957,-9.7777612e-18,0.0032878482,-9.7619439e-18,0.00099716832,-9.7422582e-18
0.018015379,-1.1808135e-17,0.018015379,-1.1748163e-17,0.018015379,-1.1660224e-17,0.018015379,-1.1574794e-17,0.018015379,-1.1491688e-17,0.018015379,-1.1410891e-17,0.018015379,-1.1332277e-17,0.018207419,-1.1256788e-17,0.018207419,-1.118244e-17,0.018207419,-1.1110261e-17,0.042,-1.1151362e-17,0.018207419,-1.0972337e-17,0.042,-1.1010967e-17,0.042,-1.0943989e-17,-,-,0.0046448656,-1.0670642e-17,0.0041098768,-1.0613409e-17,0.0040940253,-1.056015e-17,0.018015379,-1.0555993e-17,0.018015379,-1.0504961e-17,0.018015379,-1.0455939e-17,0.018015379,-1.0408878e-17,0.033114634,-1.0408163e-17,0.0032628112,-1.0280113e-17,0.0016607168,-1.0236282e-17,0.0044017652,-1.0205147e-17,-,-,-,-,0.0022959036,-1.0095856e-17,0.0022959036,-1.0064184e-17,0.0044729464,-1.003818e-17,0.0045038449,-1.0009143e-17,0.0044484188,-9.9812503e-18,0.0022597033,-9.9510273e-18,0.0022604137,-9.9258581e-18,0.0022540203,-9.9019082e-18,0.0022540203,-9.8788444e-18,0.0022248601,-9.8568323e-18,0.0022597033,-9.8361512e-18,0.00229663,-9.8162482e-18,0.0022959036,-9.7971776e-18,0.0023017841,-9.7784591e-18,0.0042201114,-9.7629611e-18,-,-
0.02281825,-1.183721e-17,0.02281825,-1.1776694e-17,0.02281825,-1.1687906e-17,0.02281825,-1.1601713e-17,0.02281825,-1.1517877e-17,0.02281825,-1.1436362e-17,0.02281825,-1.1357076e-17,0.023066137,-1.1281228e-17,0.023066137,-1.1206217e-17,0.023066137,-1.1133334e-17,0.048,-1.1180284e-17,0.023066137,-1.0994028e-17,0.048,-1.1038171e-17,0.048,-1.0970331e-17,-,-,0.0059288387,-1.0675437e-17,0.0047447302,-1.0615678e-17,0.004169855,-1.0560399e-17,0.02281825,-1.057263e-17,0.02281825,-1.0520928e-17,0.02281825,-1.0471233e-17,0.02281825,-1.0423513e-17,0.039114634,-1.0426307e-17,0.0032828733,-1.0280157e-17,0.0017842527,-1.0236592e-17,0.0055483801,-1.0207966e-17,-,-,-,-,0.002909833,-1.009718e-17,0.0029030116,-1.0065416e-17,0.0056598697,-1.0040532e-17,0.0057045626,-1.0011401e-17,0.0056343903,-9.983379e-18,0.0028464986,-9.9520213e-18,0.0028469834,-9.9268045e-18,0.0028473321,-9.9028231e-18,0.0028473321,-9.8797019e-18,0.0027918025,-9.8576138e-18,0.0028464986,-9.8369645e-18,0.0029104784,-9.8171306e-18,0.0029030116,-9.7977226e-18,0.0029020707,-9.779192e-18,0.0053263972,-9.7643593e-18,-,-
0.028517657,-1.1872072e-17,0.028517657,-1.1810909e-17,0.028517657,-1.1721037e-17,0.028517657,-1.163386e-17,0.028517657,-1.1549129e-17,0.028517657,-1.1466737e-17,0.028517657,-1.1386579e-17,0.028831816,-1.131023e-17,0.028831816,-1.1234421e-17,0.028831816,-1.1160739e-17,0.054,-1.1209532e-17,0.028831816,-1.1019861e-17,0.054,-1.1065695e-17,0.054,-1.0996994e-17,-,-,0.0074524868,-1.0681154e-17,0.0054980895,-1.0618384e-17,0.0042598396,-1.0560713e-17,0.028517657,-1.0592565e-17,0.028517657,-1.0540084e-17,0.028517657,-1.048961e-17,0.028517657,-1.044107e-17,0.045114634,-1.0445203e-17,0.0032887582,-1.0280164e-17,0.0019324957,-1.0236973e-17,0.0069090297,-1.0211335e-17,-,-,-,-,0.0036219912,-1.0098686e-17,0.0036315412,-1.0066918e-17,0.007068352,-1.0043309e-17,0.0071294142,-1.0014106e-17,0.0070417431,-9.9859157e-18,0.0035271811,-9.95317e-18,0.003543046,-9.9279332e-18,0.0035355738,-9.9038581e-18,0.0035355738,-9.8808295e-18,0.0034494557,-9.858519e-18,0.003535005,-9.8378424e-18,0.0036307271,-9.8179324e-18,0.0036315412,-9.7986682e-18,0.0036144108,-9.7800568e-18,0.0066391896,-9.7659055e-18,-,-
