c(g:d)(CV_Vd_n1191_ac_des) X,c(g:d)(CV_Vd_n1191_ac_des) Y,c(g:d)(CV_Vd_n1217_ac_des) X,c(g:d)(CV_Vd_n1217_ac_des) Y,c(g:d)(CV_Vd_n1237_ac_des) X,c(g:d)(CV_Vd_n1237_ac_des) Y,c(g:d)(CV_Vd_n1257_ac_des) X,c(g:d)(CV_Vd_n1257_ac_des) Y,c(g:d)(CV_Vd_n1277_ac_des) X,c(g:d)(CV_Vd_n1277_ac_des) Y,c(g:d)(CV_Vd_n1297_ac_des) X,c(g:d)(CV_Vd_n1297_ac_des) Y,c(g:d)(CV_Vd_n1317_ac_des) X,c(g:d)(CV_Vd_n1317_ac_des) Y,c(g:d)(CV_Vd_n1337_ac_des) X,c(g:d)(CV_Vd_n1337_ac_des) Y,c(g:d)(CV_Vd_n1357_ac_des) X,c(g:d)(CV_Vd_n1357_ac_des) Y,c(g:d)(CV_Vd_n1377_ac_des) X,c(g:d)(CV_Vd_n1377_ac_des) Y,c(g:d)(CV_Vd_n1397_ac_des) X,c(g:d)(CV_Vd_n1397_ac_des) Y,c(g:d)(CV_Vd_n1417_ac_des) X,c(g:d)(CV_Vd_n1417_ac_des) Y,c(g:d)(CV_Vd_n1437_ac_des) X,c(g:d)(CV_Vd_n1437_ac_des) Y,c(g:d)(CV_Vd_n1457_ac_des) X,c(g:d)(CV_Vd_n1457_ac_des) Y,c(g:d)(CV_Vd_n1477_ac_des) X,c(g:d)(CV_Vd_n1477_ac_des) Y,c(g:d)(CV_Vd_n1497_ac_des) X,c(g:d)(CV_Vd_n1497_ac_des) Y,c(g:d)(CV_Vd_n1517_ac_des) X,c(g:d)(CV_Vd_n1517_ac_des) Y,c(g:d)(CV_Vd_n1537_ac_des) X,c(g:d)(CV_Vd_n1537_ac_des) Y,c(g:d)(CV_Vd_n1557_ac_des) X,c(g:d)(CV_Vd_n1557_ac_des) Y,c(g:d)(CV_Vd_n1577_ac_des) X,c(g:d)(CV_Vd_n1577_ac_des) Y,c(g:d)(CV_Vd_n1597_ac_des) X,c(g:d)(CV_Vd_n1597_ac_des) Y,c(g:d)(CV_Vd_n1617_ac_des) X,c(g:d)(CV_Vd_n1617_ac_des) Y,c(g:d)(CV_Vd_n1637_ac_des) X,c(g:d)(CV_Vd_n1637_ac_des) Y,c(g:d)(CV_Vd_n1657_ac_des) X,c(g:d)(CV_Vd_n1657_ac_des) Y,c(g:d)(CV_Vd_n1677_ac_des) X,c(g:d)(CV_Vd_n1677_ac_des) Y,c(g:d)(CV_Vd_n1697_ac_des) X,c(g:d)(CV_Vd_n1697_ac_des) Y,c(g:d)(CV_Vd_n1717_ac_des) X,c(g:d)(CV_Vd_n1717_ac_des) Y,c(g:d)(CV_Vd_n1737_ac_des) X,c(g:d)(CV_Vd_n1737_ac_des) Y,c(g:d)(CV_Vd_n1757_ac_des) X,c(g:d)(CV_Vd_n1757_ac_des) Y,c(g:d)(CV_Vd_n1777_ac_des) X,c(g:d)(CV_Vd_n1777_ac_des) Y,c(g:d)(CV_Vd_n1797_ac_des) X,c(g:d)(CV_Vd_n1797_ac_des) Y,c(g:d)(CV_Vd_n1817_ac_des) X,c(g:d)(CV_Vd_n1817_ac_des) Y,c(g:d)(CV_Vd_n1837_ac_des) X,c(g:d)(CV_Vd_n1837_ac_des) Y,c(g:d)(CV_Vd_n1857_ac_des) X,c(g:d)(CV_Vd_n1857_ac_des) Y,c(g:d)(CV_Vd_n1877_ac_des) X,c(g:d)(CV_Vd_n1877_ac_des) Y,c(g:d)(CV_Vd_n1897_ac_des) X,c(g:d)(CV_Vd_n1897_ac_des) Y,c(g:d)(CV_Vd_n1917_ac_des) X,c(g:d)(CV_Vd_n1917_ac_des) Y,c(g:d)(CV_Vd_n1937_ac_des) X,c(g:d)(CV_Vd_n1937_ac_des) Y,c(g:d)(CV_Vd_n1957_ac_des) X,c(g:d)(CV_Vd_n1957_ac_des) Y,c(g:d)(CV_Vd_n1977_ac_des) X,c(g:d)(CV_Vd_n1977_ac_des) Y,c(g:d)(CV_Vd_n1997_ac_des) X,c(g:d)(CV_Vd_n1997_ac_des) Y,c(g:d)(CV_Vd_n2017_ac_des) X,c(g:d)(CV_Vd_n2017_ac_des) Y,c(g:d)(CV_Vd_n2037_ac_des) X,c(g:d)(CV_Vd_n2037_ac_des) Y,c(g:d)(CV_Vd_n2057_ac_des) X,c(g:d)(CV_Vd_n2057_ac_des) Y
0,-1.3951457e-17,0,-1.3894833e-17,0,-1.3809697e-17,0,-1.3729895e-17,0,-1.3651342e-17,0,-1.3574555e-17,0,-1.350113e-17,0,-1.3429672e-17,0,-1.3360753e-17,0,-1.3294084e-17,0,-1.3229843e-17,0,-1.3168083e-17,0,-1.3108595e-17,0,-1.3051023e-17,0,-1.2995912e-17,0,-1.2942903e-17,0,-1.2892027e-17,0,-1.2843343e-17,0,-1.2796969e-17,0,-1.2752505e-17,0,-1.2710284e-17,0,-1.2670444e-17,0,-1.2631688e-17,0,-1.2595261e-17,0,-1.255999e-17,0,-1.2526765e-17,0,-1.2495357e-17,0,-1.2465256e-17,0,-1.2436715e-17,0,-1.2409522e-17,0,-1.2383735e-17,0,-1.2359152e-17,0,-1.2336834e-17,0,-1.2314583e-17,0,-1.2293376e-17,0,-1.2273185e-17,0,-1.225393e-17,0,-1.2235561e-17,0,-1.2217939e-17,0,-1.2201192e-17,0,-1.2185323e-17,0,-1.2169682e-17,0,-1.2155567e-17,0,-1.2141636e-17
-0.006,-1.3986825e-17,-0.006,-1.392888e-17,-0.006,-1.3844893e-17,-0.003,-1.3744983e-17,-0.006,-1.368124e-17,-0.006,-1.3605451e-17,-0.006,-1.3530626e-17,-0.006,-1.3458044e-17,-0.003,-1.3374452e-17,-0.003,-1.3307192e-17,-0.003,-1.3242466e-17,-0.006,-1.3192316e-17,-0.006,-1.3132237e-17,-0.006,-1.307364e-17,-0.006,-1.3015837e-17,-0.006,-1.296385e-17,-0.006,-1.2912592e-17,-0.006,-1.2862893e-17,-0.006,-1.2816215e-17,-0.006,-1.2771177e-17,-0.006,-1.2727432e-17,-0.0015,-1.2674318e-17,-0.006,-1.2646064e-17,-0.006,-1.2608967e-17,-0.006,-1.2573366e-17,-0.006,-1.2539582e-17,-0.003,-1.2501514e-17,-0.003,-1.2471325e-17,-0.003,-1.2442383e-17,-0.003,-1.2414934e-17,-0.006,-1.2393834e-17,-0.003,-1.2363993e-17,-0.003,-1.2341386e-17,-0.003,-1.2318897e-17,-0.003,-1.2297494e-17,-0.003,-1.2277087e-17,-0.003,-1.2257642e-17,-0.003,-1.2239084e-17,-0.003,-1.2221414e-17,-0.003,-1.2204506e-17,-0.003,-1.2188358e-17,-0.003,-1.2172643e-17,-0.003,-1.2157855e-17,-0.003,-1.2142481e-17
-0.012,-1.402116e-17,-0.012,-1.396328e-17,-0.012,-1.3877335e-17,-0.00648,-1.3764691e-17,-0.012,-1.3714032e-17,-0.012,-1.3635826e-17,-0.012,-1.3560133e-17,-0.012,-1.348661e-17,-0.00648,-1.339028e-17,-0.00648,-1.3322508e-17,-0.00648,-1.325724e-17,-0.012,-1.3217074e-17,-0.012,-1.3156025e-17,-0.012,-1.3097343e-17,-0.012,-1.303953e-17,-0.012,-1.2984843e-17,-0.012,-1.2932784e-17,-0.012,-1.288272e-17,-0.012,-1.283396e-17,-0.012,-1.2788677e-17,-0.012,-1.2745012e-17,-0.00324,-1.267861e-17,-0.012,-1.2663207e-17,-0.012,-1.2625187e-17,-0.012,-1.258887e-17,-0.012,-1.2552456e-17,-0.00648,-1.2508437e-17,-0.00648,-1.2478174e-17,-0.00648,-1.2448779e-17,-0.00648,-1.2420807e-17,-0.012,-1.2405135e-17,-0.00648,-1.2369547e-17,-0.00648,-1.2346716e-17,-0.00648,-1.2323968e-17,-0.00648,-1.230231e-17,-0.00648,-1.2281696e-17,-0.00648,-1.2262018e-17,-0.00648,-1.2243251e-17,-0.00648,-1.2225348e-17,-0.00644,-1.2208218e-17,-0.00648,-1.2191864e-17,-0.00648,-1.2176044e-17,-0.00644,-1.2159689e-17,-0.00644,-1.2145083e-17
-0.018,-1.4054922e-17,-0.018,-1.399815e-17,-0.018,-1.3912411e-17,-0.0106096,-1.3786618e-17,-0.018,-1.37453e-17,-0.018,-1.3666791e-17,-0.018,-1.3589268e-17,-0.018,-1.3515226e-17,-0.0106096,-1.3409202e-17,-0.0106096,-1.3340842e-17,-0.0106096,-1.3274619e-17,-0.018,-1.3242205e-17,-0.018,-1.3180008e-17,-0.018,-1.3120537e-17,-0.018,-1.3062486e-17,-0.018,-1.3007211e-17,-0.018,-1.2953456e-17,-0.018,-1.2902546e-17,-0.018,-1.2852934e-17,-0.018,-1.2806826e-17,-0.018,-1.2762262e-17,-0.0053048,-1.2683653e-17,-0.018,-1.2678841e-17,-0.018,-1.2640042e-17,-0.018,-1.2603055e-17,-0.018,-1.2567871e-17,-0.0105632,-1.2517146e-17,-0.0105632,-1.2485885e-17,-0.0105632,-1.2456645e-17,-0.0105632,-1.2428176e-17,-0.018,-1.2415781e-17,-0.0105632,-1.2377283e-17,-0.0105632,-1.235305e-17,-0.0105632,-1.2329996e-17,-0.0105632,-1.2308046e-17,-0.0105632,-1.2287143e-17,-0.0105632,-1.2267207e-17,-0.0105632,-1.2248189e-17,-0.0105632,-1.2230042e-17,-0.010476267,-1.2212617e-17,-0.0105632,-1.2196121e-17,-0.0105632,-1.2180062e-17,-0.010476267,-1.2163807e-17,-0.010476267,-1.214999e-17
-0.024,-1.4091165e-17,-0.024,-1.4033471e-17,-0.024,-1.3944643e-17,-0.013059829,-1.3800438e-17,-0.024,-1.3776804e-17,-0.024,-1.369807e-17,-0.024,-1.362046e-17,-0.024,-1.3544956e-17,-0.015510059,-1.3432029e-17,-0.015510059,-1.3362843e-17,-0.015510059,-1.3296057e-17,-0.024,-1.3267197e-17,-0.024,-1.3204712e-17,-0.024,-1.3143488e-17,-0.024,-1.3084448e-17,-0.024,-1.3028311e-17,-0.024,-1.2975454e-17,-0.024,-1.2922356e-17,-0.024,-1.2872904e-17,-0.024,-1.2825179e-17,-0.024,-1.2779172e-17,-0.0077550293,-1.2689687e-17,-0.024,-1.2694821e-17,-0.024,-1.2655292e-17,-0.024,-1.2617567e-17,-0.024,-1.258159e-17,-0.015354155,-1.2528615e-17,-0.015354155,-1.2495808e-17,-0.015354155,-1.2466292e-17,-0.015354155,-1.2437442e-17,-0.024,-1.2426511e-17,-0.015354155,-1.2385211e-17,-0.015354155,-1.2360611e-17,-0.015354155,-1.2337175e-17,-0.015354155,-1.2314886e-17,-0.015354155,-1.2293657e-17,-0.015354155,-1.2273421e-17,-0.015354155,-1.2254082e-17,-0.015354155,-1.2235654e-17,-0.015212153,-1.221788e-17,-0.015354155,-1.220116e-17,-0.015354155,-1.2184942e-17,-0.015212153,-1.2169175e-17,-0.015212153,-1.2155147e-17
-0.03,-1.4125334e-17,-0.03,-1.4069006e-17,-0.03,-1.3980251e-17,-0.015967435,-1.3816493e-17,-0.03,-1.3810277e-17,-0.03,-1.3729493e-17,-0.03,-1.3650865e-17,-0.03,-1.3574689e-17,-0.02132527,-1.3458198e-17,-0.02132527,-1.3389283e-17,-0.02132527,-1.3321626e-17,-0.03,-1.3291881e-17,-0.03,-1.3229265e-17,-0.03,-1.3167494e-17,-0.03,-1.3107575e-17,-0.03,-1.3051425e-17,-0.03,-1.2996565e-17,-0.03,-1.2942778e-17,-0.03,-1.2892324e-17,-0.03,-1.2843793e-17,-0.03,-1.2797308e-17,-0.010662635,-1.269951e-17,-0.03,-1.2710985e-17,-0.03,-1.2670629e-17,-0.03,-1.2632185e-17,-0.03,-1.2595872e-17,-0.020975541,-1.2540821e-17,-0.020975541,-1.2508841e-17,-0.020975541,-1.2478243e-17,-0.020975541,-1.2449024e-17,-0.03,-1.2437373e-17,-0.020975541,-1.2394709e-17,-0.020975541,-1.2369614e-17,-0.020975541,-1.2345742e-17,-0.020975541,-1.2323029e-17,-0.020975541,-1.2301397e-17,-0.020975541,-1.2280728e-17,-0.020975541,-1.2261086e-17,-0.020975541,-1.2242267e-17,-0.020768926,-1.222406e-17,-0.020975541,-1.2207151e-17,-0.020975541,-1.2190815e-17,-0.020768926,-1.2174938e-17,-0.020768926,-1.2159695e-17
-0.036,-1.4167408e-17,-0.036,-1.4105147e-17,-0.036,-1.4015888e-17,-0.019417793,-1.3835528e-17,-0.036,-1.3843991e-17,-0.036,-1.376183e-17,-0.036,-1.3680504e-17,-0.036,-1.360484e-17,-0.02732527,-1.3487498e-17,-0.02732527,-1.3416915e-17,-0.02732527,-1.3348262e-17,-0.036,-1.3319756e-17,-0.036,-1.3253046e-17,-0.036,-1.3190542e-17,-0.036,-1.31314e-17,-0.036,-1.3073198e-17,-0.036,-1.3017217e-17,-0.036,-1.2963657e-17,-0.036,-1.2911409e-17,-0.036,-1.2862877e-17,-0.036,-1.2815867e-17,-0.014112993,-1.2708871e-17,-0.036,-1.2727711e-17,-0.036,-1.2686553e-17,-0.036,-1.2647351e-17,-0.036,-1.2609952e-17,-0.026975541,-1.2554017e-17,-0.026975541,-1.2520576e-17,-0.026975541,-1.2489884e-17,-0.026975541,-1.2460008e-17,-0.036,-1.2448544e-17,-0.026975541,-1.2404974e-17,-0.026975541,-1.2379381e-17,-0.026975541,-1.2355024e-17,-0.026975541,-1.2331854e-17,-0.026975541,-1.2309805e-17,-0.026975541,-1.2288811e-17,-0.026975541,-1.2268842e-17,-0.026975541,-1.224963e-17,-0.026768926,-1.2231119e-17,-0.026975541,-1.2213857e-17,-0.026975541,-1.219701e-17,-0.026768926,-1.2180831e-17,-0.026768926,-1.216591e-17
-0.042,-1.4204871e-17,-0.042,-1.4141801e-17,-0.042,-1.4051551e-17,-0.023512219,-1.3858182e-17,-0.042,-1.3877474e-17,-0.042,-1.3794265e-17,-0.042,-1.3713552e-17,-0.042,-1.3635365e-17,-0.03332527,-1.3516382e-17,-0.03332527,-1.3444945e-17,-0.03332527,-1.3375318e-17,-0.042,-1.3346546e-17,-0.042,-1.3279696e-17,-0.042,-1.3216239e-17,-0.042,-1.3155142e-17,-0.042,-1.3095933e-17,-0.042,-1.3039268e-17,-0.042,-1.2984644e-17,-0.042,-1.2932481e-17,-0.042,-1.2880687e-17,-0.042,-1.2834119e-17,-0.018207419,-1.2720096e-17,-0.042,-1.2745012e-17,-0.042,-1.2702686e-17,-0.042,-1.2662869e-17,-0.042,-1.26246e-17,-0.032975541,-1.2567471e-17,-0.032975541,-1.2533993e-17,-0.032975541,-1.2502085e-17,-0.032975541,-1.2471754e-17,-0.042,-1.2459865e-17,-0.032975541,-1.2415445e-17,-0.032975541,-1.2389331e-17,-0.032975541,-1.2364479e-17,-0.032975541,-1.2340867e-17,-0.032975541,-1.2318373e-17,-0.032975541,-1.2296966e-17,-0.032975541,-1.227666e-17,-0.032975541,-1.2257117e-17,-0.032768926,-1.2238107e-17,-0.032975541,-1.2220397e-17,-0.032975541,-1.2203495e-17,-0.032768926,-1.2186948e-17,-0.032768926,-1.2171801e-17
-0.048,-1.4242872e-17,-0.048,-1.4179162e-17,-0.048,-1.4087467e-17,-0.028370937,-1.3883704e-17,-0.048,-1.3911374e-17,-0.048,-1.3827193e-17,-0.048,-1.3745431e-17,-0.048,-1.3666238e-17,-0.03932527,-1.3546169e-17,-0.03932527,-1.3473351e-17,-0.03932527,-1.3402819e-17,-0.048,-1.3373596e-17,-0.048,-1.3306001e-17,-0.048,-1.3241909e-17,-0.048,-1.3179664e-17,-0.048,-1.311945e-17,-0.048,-1.3061205e-17,-0.048,-1.3006291e-17,-0.048,-1.2952893e-17,-0.048,-1.2901966e-17,-0.048,-1.2853088e-17,-0.023066137,-1.2733703e-17,-0.048,-1.2761668e-17,-0.048,-1.2719142e-17,-0.048,-1.2678461e-17,-0.048,-1.2639539e-17,-0.038975541,-1.2581267e-17,-0.038975541,-1.2547096e-17,-0.038975541,-1.2514545e-17,-0.038975541,-1.248358e-17,-0.048,-1.2471667e-17,-0.038975541,-1.2426179e-17,-0.038975541,-1.2399509e-17,-0.038975541,-1.2374151e-17,-0.038975541,-1.2350061e-17,-0.038975541,-1.2327136e-17,-0.038975541,-1.2305313e-17,-0.038975541,-1.2284554e-17,-0.038975541,-1.226447e-17,-0.038768926,-1.2245185e-17,-0.038975541,-1.2227238e-17,-0.038975541,-1.2209844e-17,-0.038768926,-1.2193307e-17,-0.038768926,-1.2177642e-17
-0.054,-1.4280966e-17,-0.054,-1.4216845e-17,-0.054,-1.412381e-17,-0.034136616,-1.3917887e-17,-0.054,-1.3945656e-17,-0.054,-1.386045e-17,-0.054,-1.3777606e-17,-0.054,-1.3697513e-17,-0.04532527,-1.3576127e-17,-0.04532527,-1.350214e-17,-0.04532527,-1.3430639e-17,-0.054,-1.3401026e-17,-0.054,-1.3332629e-17,-0.054,-1.3267763e-17,-0.054,-1.3202373e-17,-0.054,-1.3142828e-17,-0.054,-1.308665e-17,-0.054,-1.3028089e-17,-0.054,-1.2973952e-17,-0.054,-1.292187e-17,-0.054,-1.2872407e-17,-0.028831816,-1.2750016e-17,-0.054,-1.277932e-17,-0.054,-1.2735954e-17,-0.054,-1.2694482e-17,-0.054,-1.2654407e-17,-0.044975541,-1.2595301e-17,-0.044975541,-1.2560479e-17,-0.044975541,-1.25273e-17,-0.044975541,-1.249568e-17,-0.054,-1.2483463e-17,-0.044975541,-1.2437119e-17,-0.044975541,-1.2409883e-17,-0.044975541,-1.2384057e-17,-0.044975541,-1.2359409e-17,-0.044975541,-1.23361e-17,-0.044975541,-1.2313865e-17,-0.044975541,-1.2292628e-17,-0.044975541,-1.2271899e-17,-0.044768926,-1.2252458e-17,-0.044975541,-1.2234353e-17,-0.044975541,-1.2216671e-17,-0.044768926,-1.2199907e-17,-0.044768926,-1.2183792e-17
