c(g:g)(CV_Vd_n1207_ac_des) X,c(g:g)(CV_Vd_n1207_ac_des) Y,c(g:g)(CV_Vd_n1227_ac_des) X,c(g:g)(CV_Vd_n1227_ac_des) Y,c(g:g)(CV_Vd_n1247_ac_des) X,c(g:g)(CV_Vd_n1247_ac_des) Y,c(g:g)(CV_Vd_n1267_ac_des) X,c(g:g)(CV_Vd_n1267_ac_des) Y,c(g:g)(CV_Vd_n1287_ac_des) X,c(g:g)(CV_Vd_n1287_ac_des) Y,c(g:g)(CV_Vd_n1307_ac_des) X,c(g:g)(CV_Vd_n1307_ac_des) Y,c(g:g)(CV_Vd_n1327_ac_des) X,c(g:g)(CV_Vd_n1327_ac_des) Y,c(g:g)(CV_Vd_n1347_ac_des) X,c(g:g)(CV_Vd_n1347_ac_des) Y,c(g:g)(CV_Vd_n1367_ac_des) X,c(g:g)(CV_Vd_n1367_ac_des) Y,c(g:g)(CV_Vd_n1387_ac_des) X,c(g:g)(CV_Vd_n1387_ac_des) Y,c(g:g)(CV_Vd_n1407_ac_des) X,c(g:g)(CV_Vd_n1407_ac_des) Y,c(g:g)(CV_Vd_n1427_ac_des) X,c(g:g)(CV_Vd_n1427_ac_des) Y,c(g:g)(CV_Vd_n1447_ac_des) X,c(g:g)(CV_Vd_n1447_ac_des) Y,c(g:g)(CV_Vd_n1467_ac_des) X,c(g:g)(CV_Vd_n1467_ac_des) Y,c(g:g)(CV_Vd_n1487_ac_des) X,c(g:g)(CV_Vd_n1487_ac_des) Y,c(g:g)(CV_Vd_n1507_ac_des) X,c(g:g)(CV_Vd_n1507_ac_des) Y,c(g:g)(CV_Vd_n1527_ac_des) X,c(g:g)(CV_Vd_n1527_ac_des) Y,c(g:g)(CV_Vd_n1547_ac_des) X,c(g:g)(CV_Vd_n1547_ac_des) Y,c(g:g)(CV_Vd_n1567_ac_des) X,c(g:g)(CV_Vd_n1567_ac_des) Y,c(g:g)(CV_Vd_n1587_ac_des) X,c(g:g)(CV_Vd_n1587_ac_des) Y,c(g:g)(CV_Vd_n1607_ac_des) X,c(g:g)(CV_Vd_n1607_ac_des) Y,c(g:g)(CV_Vd_n1627_ac_des) X,c(g:g)(CV_Vd_n1627_ac_des) Y,c(g:g)(CV_Vd_n1647_ac_des) X,c(g:g)(CV_Vd_n1647_ac_des) Y,c(g:g)(CV_Vd_n1667_ac_des) X,c(g:g)(CV_Vd_n1667_ac_des) Y,c(g:g)(CV_Vd_n1687_ac_des) X,c(g:g)(CV_Vd_n1687_ac_des) Y,c(g:g)(CV_Vd_n1707_ac_des) X,c(g:g)(CV_Vd_n1707_ac_des) Y,c(g:g)(CV_Vd_n1727_ac_des) X,c(g:g)(CV_Vd_n1727_ac_des) Y,c(g:g)(CV_Vd_n1747_ac_des) X,c(g:g)(CV_Vd_n1747_ac_des) Y,c(g:g)(CV_Vd_n1767_ac_des) X,c(g:g)(CV_Vd_n1767_ac_des) Y,c(g:g)(CV_Vd_n1787_ac_des) X,c(g:g)(CV_Vd_n1787_ac_des) Y,c(g:g)(CV_Vd_n1807_ac_des) X,c(g:g)(CV_Vd_n1807_ac_des) Y,c(g:g)(CV_Vd_n1827_ac_des) X,c(g:g)(CV_Vd_n1827_ac_des) Y,c(g:g)(CV_Vd_n1847_ac_des) X,c(g:g)(CV_Vd_n1847_ac_des) Y,c(g:g)(CV_Vd_n1867_ac_des) X,c(g:g)(CV_Vd_n1867_ac_des) Y,c(g:g)(CV_Vd_n1887_ac_des) X,c(g:g)(CV_Vd_n1887_ac_des) Y,c(g:g)(CV_Vd_n1907_ac_des) X,c(g:g)(CV_Vd_n1907_ac_des) Y,c(g:g)(CV_Vd_n1927_ac_des) X,c(g:g)(CV_Vd_n1927_ac_des) Y,c(g:g)(CV_Vd_n1947_ac_des) X,c(g:g)(CV_Vd_n1947_ac_des) Y,c(g:g)(CV_Vd_n1967_ac_des) X,c(g:g)(CV_Vd_n1967_ac_des) Y,c(g:g)(CV_Vd_n1987_ac_des) X,c(g:g)(CV_Vd_n1987_ac_des) Y,c(g:g)(CV_Vd_n2007_ac_des) X,c(g:g)(CV_Vd_n2007_ac_des) Y,c(g:g)(CV_Vd_n2027_ac_des) X,c(g:g)(CV_Vd_n2027_ac_des) Y,c(g:g)(CV_Vd_n2047_ac_des) X,c(g:g)(CV_Vd_n2047_ac_des) Y,c(g:g)(CV_Vd_n2067_ac_des) X,c(g:g)(CV_Vd_n2067_ac_des) Y
0,2.4873062e-17,0,2.4819379e-17,0,2.4734758e-17,0,2.465163e-17,0,2.4571799e-17,0,2.4493857e-17,0,2.4418532e-17,0,2.4344769e-17,0,2.4273004e-17,0,2.4203369e-17,0,2.4136325e-17,0,2.4071021e-17,0,2.4007769e-17,0,2.3946993e-17,0,2.3887871e-17,0,2.3830972e-17,0,2.3775758e-17,0,2.3723892e-17,0,2.3673334e-17,0,2.3624053e-17,0,2.3577419e-17,0,2.3532093e-17,0,2.348954e-17,0,2.3449003e-17,0,2.3409463e-17,0,2.3371009e-17,0,2.3335233e-17,0,2.3300755e-17,0,2.3268157e-17,0,2.3236971e-17,0,2.3206493e-17,0,2.317722e-17,0,2.3150248e-17,0,2.3124093e-17,0,2.3103189e-17,0,2.3084438e-17,0,2.3056613e-17,0,2.3029342e-17,0,2.2991605e-17,0,2.3032674e-17,0,2.2972744e-17,0,2.2960715e-17,0,2.2938615e-17,0,2.2929278e-17
0.0015,2.4889428e-17,0.0015,2.4836828e-17,0.0015,2.4752455e-17,0.0015,2.4668453e-17,0.0015,2.4588342e-17,0.0015,2.451041e-17,0.0015,2.4434852e-17,0.0015,2.4360739e-17,0.0015,2.4288888e-17,0.0015,2.4218864e-17,0.006,2.4197987e-17,0.0015,2.4086171e-17,0.006,2.40677e-17,0.006,2.4005858e-17,0.00075,2.3895582e-17,0.000375,2.383456e-17,0.000375,2.3779533e-17,0.000375,2.372714e-17,0.0015,2.368664e-17,0.0015,2.363703e-17,0.0015,2.3589987e-17,0.0015,2.3544994e-17,0.003,2.3514658e-17,0.000375,2.3450909e-17,0.000375,2.3411809e-17,0.000375,2.3374072e-17,0.000375,2.3337795e-17,0.000375,2.3304339e-17,0.0001875,2.3269127e-17,0.0001875,2.323944e-17,0.000375,2.320978e-17,0.000375,2.3180686e-17,0.000375,2.3152819e-17,0.0001875,2.3125795e-17,0.0001875,2.3102866e-17,0.0001875,2.308643e-17,0.0001875,2.3060166e-17,0.0001875,2.3024424e-17,0.0001875,2.2987641e-17,0.0001875,2.2992553e-17,0.0001875,2.2989363e-17,0.0001875,2.2943928e-17,0.000375,2.2945292e-17,0.000375,2.292315e-17
0.00322,2.4909508e-17,0.00322,2.4856396e-17,0.00322,2.477224e-17,0.00322,2.4688028e-17,0.00322,2.4607045e-17,0.00322,2.4529257e-17,0.00322,2.4453271e-17,0.00324,2.4379228e-17,0.00324,2.4307135e-17,0.00324,2.4236924e-17,0.012,2.4260273e-17,0.00324,2.4103782e-17,0.012,2.4128561e-17,0.012,2.4066455e-17,0.00117,2.3899263e-17,0.000805,2.3838291e-17,0.000805,2.3783442e-17,0.000805,2.3731106e-17,0.00322,2.3702451e-17,0.00322,2.3652779e-17,0.00322,2.3605413e-17,0.00322,2.3559738e-17,0.00644,2.3544037e-17,0.000805,2.3455152e-17,0.0008,2.3415593e-17,0.0008,2.3378108e-17,0.00079,2.3341581e-17,0.000400625,2.3304293e-17,0.000405,2.3271794e-17,0.000405,2.3239427e-17,0.000805,2.3213562e-17,0.000805,2.318289e-17,0.000795,2.3155442e-17,0.0004025,2.3127628e-17,0.0004025,2.3105078e-17,0.0004025,2.3086457e-17,0.0004025,2.3060858e-17,0.0004025,2.3027112e-17,0.0004025,2.2991812e-17,0.0004025,2.2993755e-17,0.000405,2.2976255e-17,0.000405,2.295613e-17,0.000785,2.2942269e-17,0.000795,2.2926117e-17
0.0052610667,2.4932789e-17,0.0052610667,2.4880494e-17,0.0052610667,2.4796402e-17,0.0052610667,2.4711066e-17,0.0052610667,2.4630103e-17,0.0052610667,2.4551873e-17,0.0052610667,2.4475248e-17,0.0053048,2.4401242e-17,0.0053048,2.4329064e-17,0.0053048,2.4258506e-17,0.018,2.4323312e-17,0.0053048,2.4124726e-17,0.018,2.4190066e-17,0.018,2.4128487e-17,0.0012015,2.3899462e-17,0.001321,2.3843185e-17,0.001321,2.3788328e-17,0.001321,2.3735952e-17,0.0052610667,2.3720948e-17,0.0052610667,2.3671365e-17,0.0052610667,2.3623377e-17,0.0052610667,2.3577896e-17,0.010522133,2.358046e-17,0.001321,2.3459104e-17,0.001055,2.3418472e-17,0.00131,2.3381591e-17,0.001039,2.3343905e-17,0.00040086523,2.3304246e-17,0.000666,2.3273735e-17,0.000666,2.3241506e-17,0.001321,2.321668e-17,0.0013152667,2.3186813e-17,0.001299,2.3159644e-17,0.0006605,2.3129456e-17,0.0006605,2.3106328e-17,0.0006605,2.3085924e-17,0.0006605,2.3067304e-17,0.0006605,2.3027866e-17,0.0006605,2.3001378e-17,0.0006605,2.2997001e-17,0.000666,2.2977952e-17,0.000666,2.2944877e-17,0.0012606,2.2956726e-17,0.000921,2.2926951e-17
0.0076831324,2.4960764e-17,0.0076831324,2.49091e-17,0.0076831324,2.4822531e-17,0.0076831324,2.4738201e-17,0.0076831324,2.4657366e-17,0.0076831324,2.4578681e-17,0.0076831324,2.4502085e-17,0.0077550293,2.4428017e-17,0.0077550293,2.4355121e-17,0.0077550293,2.428426e-17,0.024,2.4387055e-17,0.0077550293,2.4149811e-17,0.024,2.4252177e-17,0.024,2.41877e-17,0.0012017953,2.3899334e-17,0.0019402,2.3849228e-17,0.0019402,2.379398e-17,0.0019402,2.3741639e-17,0.0076831324,2.3743431e-17,0.0076831324,2.3693434e-17,0.0076831324,2.3645495e-17,0.0076831324,2.3599135e-17,0.015366265,2.3624422e-17,0.0019402,2.3464192e-17,0.001208,2.3420033e-17,0.0019084,2.3387193e-17,0.0011137,2.3343728e-17,-,-,0.00097572,2.3276336e-17,0.00097572,2.3244378e-17,0.00191956,2.3221449e-17,0.0019207831,2.3192302e-17,0.00189708,2.3163773e-17,0.0009701,2.3131745e-17,0.0009701,2.3109949e-17,0.0009701,2.3087889e-17,0.0009701,2.3069642e-17,0.00096322,2.3027642e-17,0.0009701,2.3004037e-17,0.0009701,2.2998081e-17,0.00097572,2.2980791e-17,0.00097572,2.295645e-17,0.0018249787,2.2944506e-17,0.00099576,2.2927924e-17
0.010557317,2.4994062e-17,0.010557317,2.4943054e-17,0.010557317,2.485538e-17,0.010557317,2.4771008e-17,0.010557317,2.4689455e-17,0.010557317,2.4610291e-17,0.010557317,2.4533114e-17,0.010662635,2.445897e-17,0.010662635,2.43859e-17,0.010662635,2.4314876e-17,0.03,2.4451371e-17,0.010662635,2.417952e-17,0.03,2.4314856e-17,0.03,2.4249962e-17,-,-,0.00268324,2.3856076e-17,0.00268324,2.3801462e-17,0.00268324,2.3748485e-17,0.010557317,2.3770514e-17,0.010557317,2.3719888e-17,0.010557317,2.367156e-17,0.010557317,2.3625138e-17,0.021114634,2.3677908e-17,0.00268324,2.3470292e-17,0.00136304,2.3420449e-17,0.002602544,2.3392466e-17,0.0011193025,2.3344383e-17,-,-,0.0013432544,2.3279074e-17,0.0013432544,2.3248228e-17,0.0026298512,2.3227088e-17,0.0026393293,2.3198362e-17,0.0026068016,2.3170553e-17,0.001333364,2.3133558e-17,0.001333364,2.3112216e-17,0.001333364,2.3087772e-17,0.001333364,2.3069672e-17,0.0013184115,2.3030762e-17,0.001333364,2.2999312e-17,0.001337492,2.3000944e-17,0.0013432544,2.2983896e-17,0.0013432544,2.2950735e-17,0.0025022331,2.2951227e-17,0.00099716175,2.2927327e-17
0.013968016,2.5034501e-17,0.013968016,2.4983571e-17,0.013968016,2.489513e-17,0.013968016,2.4810342e-17,0.013968016,2.4728306e-17,0.013968016,2.4648357e-17,0.013968016,2.4570799e-17,0.014112993,2.4496889e-17,0.014112993,2.4423149e-17,0.014112993,2.4351365e-17,0.036,2.4514784e-17,0.014112993,2.4215299e-17,0.036,2.4377149e-17,0.036,2.4311265e-17,-,-,0.003574888,2.3864686e-17,0.003574888,2.3809831e-17,0.0035649808,2.375613e-17,0.013968016,2.3802774e-17,0.013968016,2.3751779e-17,0.013968016,2.3703197e-17,0.013968016,2.3656207e-17,0.027114634,2.373464e-17,0.003129064,2.3475073e-17,0.001549088,2.3422008e-17,0.0034355168,2.3400101e-17,0.0011194075,2.3344448e-17,-,-,0.0017842957,2.3282684e-17,0.0017842957,2.325099e-17,0.0034727301,2.3235046e-17,0.0034920041,2.3204789e-17,0.0034490046,2.3176023e-17,0.0017595938,2.3137409e-17,0.0017547502,2.3114633e-17,0.0017595938,2.3091431e-17,0.0017595938,2.3078535e-17,0.0017304336,2.3033485e-17,0.0017595938,2.3003012e-17,0.0017734638,2.3004371e-17,0.0017842957,2.2985646e-17,0.0017842957,2.2967034e-17,0.0032878482,2.2955319e-17,0.00099716832,2.2927737e-17
0.018015379,2.5083298e-17,0.018015379,2.5032067e-17,0.018015379,2.4942687e-17,0.018015379,2.4857324e-17,0.018015379,2.4774056e-17,0.018015379,2.4693816e-17,0.018015379,2.4615678e-17,0.018207419,2.454117e-17,0.018207419,2.4467513e-17,0.018207419,2.4395569e-17,0.042,2.458444e-17,0.018207419,2.4257348e-17,0.042,2.4440496e-17,0.042,2.4373707e-17,-,-,0.0046448656,2.3875053e-17,0.0041098768,2.3814747e-17,0.0040940253,2.3761487e-17,0.018015379,2.3841092e-17,0.018015379,2.379009e-17,0.018015379,2.3741011e-17,0.018015379,2.3693994e-17,0.033114634,2.3793802e-17,0.0032628112,2.347527e-17,0.0016607168,2.3422692e-17,0.0044017652,2.3408386e-17,-,-,-,-,0.0022959036,2.328708e-17,0.0022959036,2.3254711e-17,0.0044729464,2.3241865e-17,0.0045038449,2.3212291e-17,0.0044484188,2.318427e-17,0.0022597033,2.3141978e-17,0.0022604137,2.3117457e-17,0.0022540203,2.3096911e-17,0.0022540203,2.3080474e-17,0.0022248601,2.304272e-17,0.0022597033,2.3003114e-17,0.00229663,2.3007322e-17,0.0022959036,2.2990302e-17,0.0023017841,2.2956218e-17,0.0042201114,2.2960461e-17,-,-
0.02281825,2.5139763e-17,0.02281825,2.509e-17,0.02281825,2.4999776e-17,0.02281825,2.4913552e-17,0.02281825,2.4829378e-17,0.02281825,2.4747787e-17,0.02281825,2.4668816e-17,0.023066137,2.4595289e-17,0.023066137,2.4520355e-17,0.023066137,2.4447347e-17,0.048,2.465201e-17,0.023066137,2.4308686e-17,0.048,2.4510194e-17,0.048,2.4442895e-17,-,-,0.0059288387,2.3887409e-17,0.0047447302,2.3820838e-17,0.004169855,2.3762113e-17,0.02281825,2.3887316e-17,0.02281825,2.3836113e-17,0.02281825,2.3786866e-17,0.02281825,2.3739502e-17,0.039114634,2.3855128e-17,0.0032828733,2.3475739e-17,0.0017842527,2.3424097e-17,0.0055483801,2.3417439e-17,-,-,-,-,0.002909833,2.3291712e-17,0.0029030116,2.325981e-17,0.0056598697,2.3251084e-17,0.0057045626,2.3222518e-17,0.0056343903,2.3193003e-17,0.0028464986,2.3145136e-17,0.0028469834,2.3121965e-17,0.0028473321,2.3100166e-17,0.0028473321,2.3083117e-17,0.0027918025,2.3049873e-17,0.0028464986,2.3019096e-17,0.0029104784,2.3012964e-17,0.0029030116,2.2995069e-17,0.0029020707,2.2959209e-17,0.0053263972,2.2965891e-17,-,-
0.028517657,2.5219588e-17,0.028517657,2.5159371e-17,0.028517657,2.5068098e-17,0.028517657,2.4980513e-17,0.028517657,2.4895675e-17,0.028517657,2.4813385e-17,0.028517657,2.4733451e-17,0.028831816,2.4659398e-17,0.028831816,2.4583693e-17,0.028831816,2.4510259e-17,0.054,2.472039e-17,0.028831816,2.4370208e-17,0.054,2.4576628e-17,0.054,2.450775e-17,-,-,0.0074524868,2.3902293e-17,0.0054980895,2.3827471e-17,0.0042598396,2.3763315e-17,0.028517657,2.3943139e-17,0.028517657,2.389062e-17,0.028517657,2.3842331e-17,0.028517657,2.3795025e-17,0.045114634,2.3900067e-17,0.0032887582,2.3476334e-17,0.0019324957,2.3425541e-17,0.0069090297,2.3429027e-17,-,-,-,-,0.0036219912,2.3297465e-17,0.0036315412,2.3266108e-17,0.007068352,2.3263014e-17,0.0071294142,2.3233416e-17,0.0070417431,2.3203953e-17,0.0035271811,2.3150739e-17,0.003543046,2.3125967e-17,0.0035355738,2.3102195e-17,0.0035355738,2.3088261e-17,0.0034494557,2.3052352e-17,0.003535005,2.3019282e-17,0.0036307271,2.3017739e-17,0.0036315412,2.2999118e-17,0.0036144108,2.2967744e-17,0.0066391896,2.29813e-17,-,-
