c(g:g)(CV_Vd_n1191_ac_des) X,c(g:g)(CV_Vd_n1191_ac_des) Y,c(g:g)(CV_Vd_n1217_ac_des) X,c(g:g)(CV_Vd_n1217_ac_des) Y,c(g:g)(CV_Vd_n1237_ac_des) X,c(g:g)(CV_Vd_n1237_ac_des) Y,c(g:g)(CV_Vd_n1257_ac_des) X,c(g:g)(CV_Vd_n1257_ac_des) Y,c(g:g)(CV_Vd_n1277_ac_des) X,c(g:g)(CV_Vd_n1277_ac_des) Y,c(g:g)(CV_Vd_n1297_ac_des) X,c(g:g)(CV_Vd_n1297_ac_des) Y,c(g:g)(CV_Vd_n1317_ac_des) X,c(g:g)(CV_Vd_n1317_ac_des) Y,c(g:g)(CV_Vd_n1337_ac_des) X,c(g:g)(CV_Vd_n1337_ac_des) Y,c(g:g)(CV_Vd_n1357_ac_des) X,c(g:g)(CV_Vd_n1357_ac_des) Y,c(g:g)(CV_Vd_n1377_ac_des) X,c(g:g)(CV_Vd_n1377_ac_des) Y,c(g:g)(CV_Vd_n1397_ac_des) X,c(g:g)(CV_Vd_n1397_ac_des) Y,c(g:g)(CV_Vd_n1417_ac_des) X,c(g:g)(CV_Vd_n1417_ac_des) Y,c(g:g)(CV_Vd_n1437_ac_des) X,c(g:g)(CV_Vd_n1437_ac_des) Y,c(g:g)(CV_Vd_n1457_ac_des) X,c(g:g)(CV_Vd_n1457_ac_des) Y,c(g:g)(CV_Vd_n1477_ac_des) X,c(g:g)(CV_Vd_n1477_ac_des) Y,c(g:g)(CV_Vd_n1497_ac_des) X,c(g:g)(CV_Vd_n1497_ac_des) Y,c(g:g)(CV_Vd_n1517_ac_des) X,c(g:g)(CV_Vd_n1517_ac_des) Y,c(g:g)(CV_Vd_n1537_ac_des) X,c(g:g)(CV_Vd_n1537_ac_des) Y,c(g:g)(CV_Vd_n1557_ac_des) X,c(g:g)(CV_Vd_n1557_ac_des) Y,c(g:g)(CV_Vd_n1577_ac_des) X,c(g:g)(CV_Vd_n1577_ac_des) Y,c(g:g)(CV_Vd_n1597_ac_des) X,c(g:g)(CV_Vd_n1597_ac_des) Y,c(g:g)(CV_Vd_n1617_ac_des) X,c(g:g)(CV_Vd_n1617_ac_des) Y,c(g:g)(CV_Vd_n1637_ac_des) X,c(g:g)(CV_Vd_n1637_ac_des) Y,c(g:g)(CV_Vd_n1657_ac_des) X,c(g:g)(CV_Vd_n1657_ac_des) Y,c(g:g)(CV_Vd_n1677_ac_des) X,c(g:g)(CV_Vd_n1677_ac_des) Y,c(g:g)(CV_Vd_n1697_ac_des) X,c(g:g)(CV_Vd_n1697_ac_des) Y,c(g:g)(CV_Vd_n1717_ac_des) X,c(g:g)(CV_Vd_n1717_ac_des) Y,c(g:g)(CV_Vd_n1737_ac_des) X,c(g:g)(CV_Vd_n1737_ac_des) Y,c(g:g)(CV_Vd_n1757_ac_des) X,c(g:g)(CV_Vd_n1757_ac_des) Y,c(g:g)(CV_Vd_n1777_ac_des) X,c(g:g)(CV_Vd_n1777_ac_des) Y,c(g:g)(CV_Vd_n1797_ac_des) X,c(g:g)(CV_Vd_n1797_ac_des) Y,c(g:g)(CV_Vd_n1817_ac_des) X,c(g:g)(CV_Vd_n1817_ac_des) Y,c(g:g)(CV_Vd_n1837_ac_des) X,c(g:g)(CV_Vd_n1837_ac_des) Y,c(g:g)(CV_Vd_n1857_ac_des) X,c(g:g)(CV_Vd_n1857_ac_des) Y,c(g:g)(CV_Vd_n1877_ac_des) X,c(g:g)(CV_Vd_n1877_ac_des) Y,c(g:g)(CV_Vd_n1897_ac_des) X,c(g:g)(CV_Vd_n1897_ac_des) Y,c(g:g)(CV_Vd_n1917_ac_des) X,c(g:g)(CV_Vd_n1917_ac_des) Y,c(g:g)(CV_Vd_n1937_ac_des) X,c(g:g)(CV_Vd_n1937_ac_des) Y,c(g:g)(CV_Vd_n1957_ac_des) X,c(g:g)(CV_Vd_n1957_ac_des) Y,c(g:g)(CV_Vd_n1977_ac_des) X,c(g:g)(CV_Vd_n1977_ac_des) Y,c(g:g)(CV_Vd_n1997_ac_des) X,c(g:g)(CV_Vd_n1997_ac_des) Y,c(g:g)(CV_Vd_n2017_ac_des) X,c(g:g)(CV_Vd_n2017_ac_des) Y,c(g:g)(CV_Vd_n2037_ac_des) X,c(g:g)(CV_Vd_n2037_ac_des) Y,c(g:g)(CV_Vd_n2057_ac_des) X,c(g:g)(CV_Vd_n2057_ac_des) Y
0,2.8604527e-17,0,2.8525454e-17,0,2.8451624e-17,0,2.8374608e-17,0,2.8293713e-17,0,2.8216748e-17,0,2.814259e-17,0,2.8070907e-17,0,2.8001724e-17,0,2.7933807e-17,0,2.7868746e-17,0,2.7805142e-17,0,2.7748761e-17,0,2.769113e-17,0,2.7636073e-17,0,2.7583375e-17,0,2.7532661e-17,0,2.7483947e-17,0,2.7437507e-17,0,2.7393023e-17,0,2.7350204e-17,0,2.7309918e-17,0,2.7271656e-17,0,2.7234802e-17,0,2.7200181e-17,0,2.7167775e-17,0,2.7134946e-17,0,2.7104825e-17,0,2.7076069e-17,0,2.7048802e-17,0,2.7028588e-17,0,2.6998876e-17,0,2.697537e-17,0,2.6953641e-17,0,2.693266e-17,0,2.6911649e-17,0,2.6892106e-17,0,2.6873094e-17,0,2.6855935e-17,0,2.683968e-17,0,2.6823217e-17,0,2.6794306e-17,0,2.677551e-17,0,2.6777978e-17
-0.006,2.8660276e-17,-0.006,2.8594793e-17,-0.006,2.8520623e-17,-0.003,2.8382749e-17,-0.006,2.8357135e-17,-0.006,2.8280563e-17,-0.006,2.8204162e-17,-0.006,2.8131678e-17,-0.003,2.8031747e-17,-0.003,2.7965407e-17,-0.003,2.7899503e-17,-0.006,2.786515e-17,-0.006,2.7799927e-17,-0.006,2.7748174e-17,-0.006,2.7691795e-17,-0.006,2.7639135e-17,-0.006,2.7585171e-17,-0.006,2.7537812e-17,-0.006,2.7491864e-17,-0.006,2.7445343e-17,-0.006,2.7402092e-17,-0.0015,2.7322925e-17,-0.006,2.7320867e-17,-0.006,2.7283718e-17,-0.006,2.7248095e-17,-0.006,2.7214248e-17,-0.003,2.7158529e-17,-0.003,2.7127902e-17,-0.003,2.7098781e-17,-0.003,2.7071408e-17,-0.006,2.706778e-17,-0.003,2.702063e-17,-0.003,2.6997143e-17,-0.003,2.6975033e-17,-0.003,2.6953137e-17,-0.003,2.6932792e-17,-0.003,2.6912804e-17,-0.003,2.6894275e-17,-0.003,2.6876345e-17,-0.003,2.6859161e-17,-0.003,2.6843156e-17,-0.003,2.6818398e-17,-0.003,2.6796594e-17,-0.003,2.6798084e-17
-0.012,2.8733988e-17,-0.012,2.8664683e-17,-0.012,2.8596289e-17,-0.00648,2.8438873e-17,-0.012,2.8416314e-17,-0.012,2.8343773e-17,-0.012,2.826883e-17,-0.012,2.8197858e-17,-0.00648,2.8064293e-17,-0.00648,2.8000649e-17,-0.00648,2.7934621e-17,-0.012,2.7924425e-17,-0.012,2.7860652e-17,-0.012,2.7804913e-17,-0.012,2.7753646e-17,-0.012,2.7690122e-17,-0.012,2.7644442e-17,-0.012,2.7587781e-17,-0.012,2.7544459e-17,-0.012,2.7498137e-17,-0.012,2.7456777e-17,-0.00324,2.7337367e-17,-0.012,2.7371937e-17,-0.012,2.7335563e-17,-0.012,2.7296924e-17,-0.012,2.726268e-17,-0.00648,2.7185637e-17,-0.00648,2.7154905e-17,-0.00648,2.712527e-17,-0.00648,2.7097756e-17,-0.012,2.7113724e-17,-0.00648,2.7046307e-17,-0.00648,2.7022312e-17,-0.00648,2.6999702e-17,-0.00648,2.6977624e-17,-0.00648,2.695698e-17,-0.00648,2.6937194e-17,-0.00648,2.6918179e-17,-0.00648,2.6900537e-17,-0.00644,2.6882216e-17,-0.00648,2.6867428e-17,-0.00648,2.684733e-17,-0.00644,2.6827263e-17,-0.00644,2.6821359e-17
-0.018,2.8802987e-17,-0.018,2.8728266e-17,-0.018,2.8658708e-17,-0.0106096,2.849104e-17,-0.018,2.8505812e-17,-0.018,2.8394272e-17,-0.018,2.8336566e-17,-0.018,2.826159e-17,-0.0106096,2.8111863e-17,-0.0106096,2.8042663e-17,-0.0106096,2.7976388e-17,-0.018,2.7986923e-17,-0.018,2.7923463e-17,-0.018,2.7865314e-17,-0.018,2.7807704e-17,-0.018,2.7751141e-17,-0.018,2.7699151e-17,-0.018,2.7647789e-17,-0.018,2.759821e-17,-0.018,2.7558162e-17,-0.018,2.7505487e-17,-0.0053048,2.7354884e-17,-0.018,2.7424194e-17,-0.018,2.7385284e-17,-0.018,2.7347338e-17,-0.018,2.7301458e-17,-0.0105632,2.7217973e-17,-0.0105632,2.7187106e-17,-0.0105632,2.7156877e-17,-0.0105632,2.7128848e-17,-0.018,2.715951e-17,-0.0105632,2.7076544e-17,-0.0105632,2.7051951e-17,-0.0105632,2.7028733e-17,-0.0105632,2.7006717e-17,-0.0105632,2.6985868e-17,-0.0105632,2.6966068e-17,-0.0105632,2.6946845e-17,-0.0105632,2.6928244e-17,-0.010476267,2.6910603e-17,-0.0105632,2.6894598e-17,-0.0105632,2.687868e-17,-0.010476267,2.6862932e-17,-0.010476267,2.6848371e-17
-0.024,2.8875227e-17,-0.024,2.8816045e-17,-0.024,2.8727639e-17,-0.013059829,2.8508836e-17,-0.024,2.8558923e-17,-0.024,2.8479706e-17,-0.024,2.8387758e-17,-0.024,2.8327051e-17,-0.015510059,2.8161872e-17,-0.015510059,2.8093788e-17,-0.015510059,2.8025689e-17,-0.024,2.8048801e-17,-0.024,2.7986421e-17,-0.024,2.7926595e-17,-0.024,2.7865965e-17,-0.024,2.7809336e-17,-0.024,2.7755904e-17,-0.024,2.7703978e-17,-0.024,2.7671656e-17,-0.024,2.7607913e-17,-0.024,2.7559445e-17,-0.0077550293,2.7375617e-17,-0.024,2.7476585e-17,-0.024,2.7436012e-17,-0.024,2.7399156e-17,-0.024,2.7362048e-17,-0.015354155,2.725669e-17,-0.015354155,2.722457e-17,-0.015354155,2.7194613e-17,-0.015354155,2.7165635e-17,-0.024,2.7205545e-17,-0.015354155,2.7112503e-17,-0.015354155,2.7087677e-17,-0.015354155,2.7063886e-17,-0.015354155,2.7041428e-17,-0.015354155,2.702131e-17,-0.015354155,2.699997e-17,-0.015354155,2.6980895e-17,-0.015354155,2.6962799e-17,-0.015212153,2.6944353e-17,-0.015354155,2.6928577e-17,-0.015354155,2.6909837e-17,-0.015212153,2.689755e-17,-0.015212153,2.6878312e-17
-0.03,2.8947563e-17,-0.03,2.888842e-17,-0.03,2.8813026e-17,-0.015967435,2.8550647e-17,-0.03,2.8642608e-17,-0.03,2.8547514e-17,-0.03,2.8475007e-17,-0.03,2.8393477e-17,-0.02132527,2.8223889e-17,-0.02132527,2.815518e-17,-0.02132527,2.8078006e-17,-0.03,2.810972e-17,-0.03,2.8045018e-17,-0.03,2.7979729e-17,-0.03,2.7924033e-17,-0.03,2.7857175e-17,-0.03,2.7808072e-17,-0.03,2.7767797e-17,-0.03,2.7712217e-17,-0.03,2.7660388e-17,-0.03,2.7605145e-17,-0.010662635,2.7400839e-17,-0.03,2.7527359e-17,-0.03,2.7489265e-17,-0.03,2.74494e-17,-0.03,2.7411884e-17,-0.020975541,2.7302411e-17,-0.020975541,2.7270164e-17,-0.020975541,2.7239655e-17,-0.020975541,2.7209578e-17,-0.03,2.725328e-17,-0.020975541,2.7154844e-17,-0.020975541,2.7129779e-17,-0.020975541,2.7105932e-17,-0.020975541,2.7083506e-17,-0.020975541,2.7061721e-17,-0.020975541,2.7041314e-17,-0.020975541,2.702172e-17,-0.020975541,2.7003139e-17,-0.020768926,2.6982267e-17,-0.020975541,2.6967893e-17,-0.020975541,2.6951266e-17,-0.020768926,2.6934487e-17,-0.020768926,2.6918538e-17
-0.036,2.9020354e-17,-0.036,2.8961324e-17,-0.036,2.8868583e-17,-0.019417793,2.8590526e-17,-0.036,2.8697682e-17,-0.036,2.861514e-17,-0.036,2.8537684e-17,-0.036,2.8461352e-17,-0.02732527,2.8286177e-17,-0.02732527,2.8219439e-17,-0.02732527,2.8142551e-17,-0.036,2.8175343e-17,-0.036,2.8108548e-17,-0.036,2.8044417e-17,-0.036,2.7985901e-17,-0.036,2.7926622e-17,-0.036,2.787219e-17,-0.036,2.7819572e-17,-0.036,2.7761214e-17,-0.036,2.7724359e-17,-0.036,2.7667282e-17,-0.014112993,2.7430664e-17,-0.036,2.7581144e-17,-0.036,2.7543161e-17,-0.036,2.7503639e-17,-0.036,2.746436e-17,-0.026975541,2.7351907e-17,-0.026975541,2.7319066e-17,-0.026975541,2.7287231e-17,-0.026975541,2.7258324e-17,-0.036,2.7301552e-17,-0.026975541,2.7202942e-17,-0.026975541,2.7176813e-17,-0.026975541,2.7152699e-17,-0.026975541,2.7128703e-17,-0.026975541,2.7106576e-17,-0.026975541,2.7085413e-17,-0.026975541,2.706596e-17,-0.026975541,2.7047244e-17,-0.026768926,2.7026494e-17,-0.026975541,2.7010458e-17,-0.026975541,2.6994848e-17,-0.026768926,2.6977259e-17,-0.026768926,2.6961959e-17
-0.042,2.9094213e-17,-0.042,2.9035279e-17,-0.042,2.894429e-17,-0.023512219,2.8637723e-17,-0.042,2.8768897e-17,-0.042,2.8681113e-17,-0.042,2.860849e-17,-0.042,2.8529481e-17,-0.03332527,2.8355192e-17,-0.03332527,2.8284324e-17,-0.03332527,2.821191e-17,-0.042,2.823918e-17,-0.042,2.8171771e-17,-0.042,2.8109088e-17,-0.042,2.8047081e-17,-0.042,2.7994055e-17,-0.042,2.7931212e-17,-0.042,2.7870528e-17,-0.042,2.7819088e-17,-0.042,2.7771774e-17,-0.042,2.7727122e-17,-0.018207419,2.7467656e-17,-0.042,2.7637943e-17,-0.042,2.761647e-17,-0.042,2.7555757e-17,-0.042,2.7520381e-17,-0.032975541,2.7402079e-17,-0.032975541,2.7368824e-17,-0.032975541,2.7336499e-17,-0.032975541,2.7306747e-17,-0.042,2.7350508e-17,-0.032975541,2.7249554e-17,-0.032975541,2.722344e-17,-0.032975541,2.7197873e-17,-0.032975541,2.717423e-17,-0.032975541,2.7151537e-17,-0.032975541,2.7131218e-17,-0.032975541,2.7112109e-17,-0.032975541,2.7092092e-17,-0.032768926,2.7071067e-17,-0.032975541,2.7054729e-17,-0.032975541,2.7037829e-17,-0.032768926,2.7023279e-17,-0.032768926,2.7007898e-17
-0.048,2.9167236e-17,-0.048,2.9110279e-17,-0.048,2.9014969e-17,-0.028370937,2.8694818e-17,-0.048,2.8840294e-17,-0.048,2.8758117e-17,-0.048,2.8678783e-17,-0.048,2.8600191e-17,-0.03932527,2.8414198e-17,-0.03932527,2.8349023e-17,-0.03932527,2.8279053e-17,-0.048,2.8305412e-17,-0.048,2.8242232e-17,-0.048,2.8169104e-17,-0.048,2.8109576e-17,-0.048,2.8048884e-17,-0.048,2.7989299e-17,-0.048,2.7937878e-17,-0.048,2.7887239e-17,-0.048,2.782894e-17,-0.048,2.7787139e-17,-0.023066137,2.7509358e-17,-0.048,2.7695771e-17,-0.048,2.7651638e-17,-0.048,2.7636732e-17,-0.048,2.7571258e-17,-0.038975541,2.745247e-17,-0.038975541,2.741871e-17,-0.038975541,2.7386127e-17,-0.038975541,2.735462e-17,-0.048,2.7402949e-17,-0.038975541,2.7296977e-17,-0.038975541,2.7270576e-17,-0.038975541,2.724602e-17,-0.038975541,2.7220501e-17,-0.038975541,2.7197654e-17,-0.038975541,2.7175592e-17,-0.038975541,2.7155843e-17,-0.038975541,2.7137105e-17,-0.038768926,2.7116172e-17,-0.038975541,2.7099919e-17,-0.038975541,2.7082353e-17,-0.038768926,2.7067854e-17,-0.038768926,2.7053076e-17
-0.054,2.924083e-17,-0.054,2.918611e-17,-0.054,2.9088275e-17,-0.034136616,2.8755172e-17,-0.054,2.8912473e-17,-0.054,2.8825881e-17,-0.054,2.8751332e-17,-0.054,2.8672014e-17,-0.04532527,2.8487451e-17,-0.04532527,2.8416264e-17,-0.04532527,2.8345254e-17,-0.054,2.8372998e-17,-0.054,2.8307459e-17,-0.054,2.8231812e-17,-0.054,2.8172123e-17,-0.054,2.8110331e-17,-0.054,2.8055756e-17,-0.054,2.8001771e-17,-0.054,2.7948852e-17,-0.054,2.7889144e-17,-0.054,2.7846706e-17,-0.028831816,2.7561361e-17,-0.054,2.7754595e-17,-0.054,2.7708307e-17,-0.054,2.7670191e-17,-0.054,2.7628469e-17,-0.044975541,2.7510067e-17,-0.044975541,2.7470638e-17,-0.044975541,2.7437811e-17,-0.044975541,2.7406436e-17,-0.054,2.7455509e-17,-0.044975541,2.7347589e-17,-0.044975541,2.7319827e-17,-0.044975541,2.7293896e-17,-0.044975541,2.726764e-17,-0.044975541,2.7245794e-17,-0.044975541,2.7223408e-17,-0.044975541,2.7202581e-17,-0.044975541,2.7183578e-17,-0.044768926,2.7163854e-17,-0.044975541,2.7146944e-17,-0.044975541,2.7131488e-17,-0.044768926,2.7111299e-17,-0.044768926,2.7094952e-17
