c(g:s)(CV_Vd_n1207_ac_des) X,c(g:s)(CV_Vd_n1207_ac_des) Y,c(g:s)(CV_Vd_n1227_ac_des) X,c(g:s)(CV_Vd_n1227_ac_des) Y,c(g:s)(CV_Vd_n1247_ac_des) X,c(g:s)(CV_Vd_n1247_ac_des) Y,c(g:s)(CV_Vd_n1267_ac_des) X,c(g:s)(CV_Vd_n1267_ac_des) Y,c(g:s)(CV_Vd_n1287_ac_des) X,c(g:s)(CV_Vd_n1287_ac_des) Y,c(g:s)(CV_Vd_n1307_ac_des) X,c(g:s)(CV_Vd_n1307_ac_des) Y,c(g:s)(CV_Vd_n1327_ac_des) X,c(g:s)(CV_Vd_n1327_ac_des) Y,c(g:s)(CV_Vd_n1347_ac_des) X,c(g:s)(CV_Vd_n1347_ac_des) Y,c(g:s)(CV_Vd_n1367_ac_des) X,c(g:s)(CV_Vd_n1367_ac_des) Y,c(g:s)(CV_Vd_n1387_ac_des) X,c(g:s)(CV_Vd_n1387_ac_des) Y,c(g:s)(CV_Vd_n1407_ac_des) X,c(g:s)(CV_Vd_n1407_ac_des) Y,c(g:s)(CV_Vd_n1427_ac_des) X,c(g:s)(CV_Vd_n1427_ac_des) Y,c(g:s)(CV_Vd_n1447_ac_des) X,c(g:s)(CV_Vd_n1447_ac_des) Y,c(g:s)(CV_Vd_n1467_ac_des) X,c(g:s)(CV_Vd_n1467_ac_des) Y,c(g:s)(CV_Vd_n1487_ac_des) X,c(g:s)(CV_Vd_n1487_ac_des) Y,c(g:s)(CV_Vd_n1507_ac_des) X,c(g:s)(CV_Vd_n1507_ac_des) Y,c(g:s)(CV_Vd_n1527_ac_des) X,c(g:s)(CV_Vd_n1527_ac_des) Y,c(g:s)(CV_Vd_n1547_ac_des) X,c(g:s)(CV_Vd_n1547_ac_des) Y,c(g:s)(CV_Vd_n1567_ac_des) X,c(g:s)(CV_Vd_n1567_ac_des) Y,c(g:s)(CV_Vd_n1587_ac_des) X,c(g:s)(CV_Vd_n1587_ac_des) Y,c(g:s)(CV_Vd_n1607_ac_des) X,c(g:s)(CV_Vd_n1607_ac_des) Y,c(g:s)(CV_Vd_n1627_ac_des) X,c(g:s)(CV_Vd_n1627_ac_des) Y,c(g:s)(CV_Vd_n1647_ac_des) X,c(g:s)(CV_Vd_n1647_ac_des) Y,c(g:s)(CV_Vd_n1667_ac_des) X,c(g:s)(CV_Vd_n1667_ac_des) Y,c(g:s)(CV_Vd_n1687_ac_des) X,c(g:s)(CV_Vd_n1687_ac_des) Y,c(g:s)(CV_Vd_n1707_ac_des) X,c(g:s)(CV_Vd_n1707_ac_des) Y,c(g:s)(CV_Vd_n1727_ac_des) X,c(g:s)(CV_Vd_n1727_ac_des) Y,c(g:s)(CV_Vd_n1747_ac_des) X,c(g:s)(CV_Vd_n1747_ac_des) Y,c(g:s)(CV_Vd_n1767_ac_des) X,c(g:s)(CV_Vd_n1767_ac_des) Y,c(g:s)(CV_Vd_n1787_ac_des) X,c(g:s)(CV_Vd_n1787_ac_des) Y,c(g:s)(CV_Vd_n1807_ac_des) X,c(g:s)(CV_Vd_n1807_ac_des) Y,c(g:s)(CV_Vd_n1827_ac_des) X,c(g:s)(CV_Vd_n1827_ac_des) Y,c(g:s)(CV_Vd_n1847_ac_des) X,c(g:s)(CV_Vd_n1847_ac_des) Y,c(g:s)(CV_Vd_n1867_ac_des) X,c(g:s)(CV_Vd_n1867_ac_des) Y,c(g:s)(CV_Vd_n1887_ac_des) X,c(g:s)(CV_Vd_n1887_ac_des) Y,c(g:s)(CV_Vd_n1907_ac_des) X,c(g:s)(CV_Vd_n1907_ac_des) Y,c(g:s)(CV_Vd_n1927_ac_des) X,c(g:s)(CV_Vd_n1927_ac_des) Y,c(g:s)(CV_Vd_n1947_ac_des) X,c(g:s)(CV_Vd_n1947_ac_des) Y,c(g:s)(CV_Vd_n1967_ac_des) X,c(g:s)(CV_Vd_n1967_ac_des) Y,c(g:s)(CV_Vd_n1987_ac_des) X,c(g:s)(CV_Vd_n1987_ac_des) Y,c(g:s)(CV_Vd_n2007_ac_des) X,c(g:s)(CV_Vd_n2007_ac_des) Y,c(g:s)(CV_Vd_n2027_ac_des) X,c(g:s)(CV_Vd_n2027_ac_des) Y,c(g:s)(CV_Vd_n2047_ac_des) X,c(g:s)(CV_Vd_n2047_ac_des) Y,c(g:s)(CV_Vd_n2067_ac_des) X,c(g:s)(CV_Vd_n2067_ac_des) Y
0,-1.1698934e-17,0,-1.1539353e-17,0,-1.1700003e-17,0,-1.1700163e-17,0,-1.1700262e-17,0,-1.1700337e-17,0,-1.1700429e-17,0,-1.1700544e-17,0,-1.1700675e-17,0,-1.1700796e-17,0,-1.1700908e-17,0,-1.1701028e-17,0,-1.1701144e-17,0,-1.1701255e-17,0,-1.1701353e-17,0,-1.1701463e-17,0,-1.170158e-17,0,-1.1701684e-17,0,-1.1701788e-17,0,-1.1701891e-17,0,-1.1701983e-17,0,-1.1702068e-17,0,-1.1702158e-17,0,-1.1702234e-17,0,-1.1702308e-17,0,-1.1702371e-17,0,-1.1702457e-17,0,-1.1702528e-17,0,-1.1702602e-17,0,-1.1702689e-17,0,-1.1702738e-17,0,-1.1702793e-17,0,-1.1702864e-17,0,-1.1702934e-17,0,-1.1703014e-17,0,-1.1703073e-17,0,-1.1703225e-17,0,-1.170349e-17,0,-1.1703546e-17,0,-1.1703308e-17,0,-1.1703375e-17,0,-1.1703508e-17,0,-1.170338e-17,0,-1.1703523e-17
0.0015,-1.1707684e-17,0.0015,-1.1579457e-17,0.0015,-1.1708715e-17,0.0015,-1.1708913e-17,0.0015,-1.1709015e-17,0.0015,-1.1709085e-17,0.0015,-1.170916e-17,0.0015,-1.170928e-17,0.0015,-1.1709414e-17,0.0015,-1.1709539e-17,0.006,-1.1736038e-17,0.0015,-1.1709769e-17,0.006,-1.1736291e-17,0.006,-1.173642e-17,0.00075,-1.1705708e-17,0.000375,-1.170365e-17,0.000375,-1.1703757e-17,0.000375,-1.170387e-17,0.0015,-1.1710538e-17,0.0015,-1.1710642e-17,0.0015,-1.1710736e-17,0.0015,-1.1710819e-17,0.003,-1.1719693e-17,0.000375,-1.1704423e-17,0.000375,-1.1704488e-17,0.000375,-1.1704554e-17,0.000375,-1.1704638e-17,0.000375,-1.1704723e-17,0.0001875,-1.1703698e-17,0.0001875,-1.1703787e-17,0.000375,-1.1704919e-17,0.000375,-1.1704978e-17,0.000375,-1.1705027e-17,0.0001875,-1.1704032e-17,0.0001875,-1.1704096e-17,0.0001875,-1.1704161e-17,0.0001875,-1.1704316e-17,0.0001875,-1.1704451e-17,0.0001875,-1.1704697e-17,0.0001875,-1.1704414e-17,0.0001875,-1.1704449e-17,0.0001875,-1.1704489e-17,0.000375,-1.1705674e-17,0.000375,-1.1705703e-17
0.00322,-1.1717736e-17,0.00322,-1.1583212e-17,0.00322,-1.1718748e-17,0.00322,-1.171897e-17,0.00322,-1.1719078e-17,0.00322,-1.1719148e-17,0.00322,-1.1719209e-17,0.00324,-1.1719451e-17,0.00324,-1.1719567e-17,0.00324,-1.1719702e-17,0.012,-1.1771614e-17,0.00324,-1.1719934e-17,0.012,-1.1771816e-17,0.012,-1.1771764e-17,0.00117,-1.1708165e-17,0.000805,-1.1706151e-17,0.000805,-1.170626e-17,0.000805,-1.1706363e-17,0.00322,-1.1720588e-17,0.00322,-1.1720699e-17,0.00322,-1.1720798e-17,0.00322,-1.1720887e-17,0.00644,-1.173992e-17,0.000805,-1.1706926e-17,0.0008,-1.1706964e-17,0.0008,-1.1707042e-17,0.00079,-1.1707073e-17,0.000400625,-1.1704865e-17,0.000405,-1.1704947e-17,0.000405,-1.1705037e-17,0.000805,-1.1707429e-17,0.000805,-1.1707477e-17,0.000795,-1.1707489e-17,0.0004025,-1.1705288e-17,0.0004025,-1.1705343e-17,0.0004025,-1.1705394e-17,0.0004025,-1.1705574e-17,0.0004025,-1.1705695e-17,0.0004025,-1.1705982e-17,0.0004025,-1.170567e-17,0.000405,-1.1705731e-17,0.000405,-1.1705816e-17,0.000785,-1.1707995e-17,0.000795,-1.1708159e-17
0.0052610667,-1.1729697e-17,0.0052610667,-1.1730647e-17,0.0052610667,-1.17307e-17,0.0052610667,-1.1730948e-17,0.0052610667,-1.1731063e-17,0.0052610667,-1.1731137e-17,0.0052610667,-1.1731198e-17,0.0053048,-1.1731555e-17,0.0053048,-1.1731688e-17,0.0053048,-1.1731806e-17,0.018,-1.180766e-17,0.0053048,-1.1732045e-17,0.018,-1.1807887e-17,0.018,-1.180766e-17,0.0012015,-1.1708336e-17,0.001321,-1.1709155e-17,0.001321,-1.1709273e-17,0.001321,-1.1709384e-17,0.0052610667,-1.1732578e-17,0.0052610667,-1.1732684e-17,0.0052610667,-1.1732789e-17,0.0052610667,-1.1732878e-17,0.010522133,-1.1764117e-17,0.001321,-1.1709936e-17,0.001055,-1.1708458e-17,0.00131,-1.1710019e-17,0.001039,-1.1708518e-17,0.00040086523,-1.1704871e-17,0.000666,-1.1706487e-17,0.000666,-1.1706561e-17,0.001321,-1.171045e-17,0.0013152667,-1.1710475e-17,0.001299,-1.1710445e-17,0.0006605,-1.1706797e-17,0.0006605,-1.1706852e-17,0.0006605,-1.1706905e-17,0.0006605,-1.1707065e-17,0.0006605,-1.1707194e-17,0.0006605,-1.1707537e-17,0.0006605,-1.170718e-17,0.000666,-1.1707263e-17,0.000666,-1.1707286e-17,0.0012606,-1.1710683e-17,0.000921,-1.1708888e-17
0.0076831324,-1.174399e-17,0.0076831324,-1.1744914e-17,0.0076831324,-1.1744955e-17,0.0076831324,-1.1745225e-17,0.0076831324,-1.174535e-17,0.0076831324,-1.1745429e-17,0.0076831324,-1.1745488e-17,0.0077550293,-1.1746017e-17,0.0077550293,-1.1746144e-17,0.0077550293,-1.1746258e-17,0.024,-1.1844236e-17,0.0077550293,-1.1746494e-17,0.024,-1.1844407e-17,0.024,-1.1844514e-17,0.0012017953,-1.170835e-17,0.0019402,-1.1712776e-17,0.0019402,-1.1712881e-17,0.0019402,-1.1712995e-17,0.0076831324,-1.1746875e-17,0.0076831324,-1.1746978e-17,0.0076831324,-1.1747076e-17,0.0076831324,-1.174717e-17,0.015366265,-1.1793098e-17,0.0019402,-1.1713563e-17,0.001208,-1.1709351e-17,0.0019084,-1.1713528e-17,0.0011137,-1.1708948e-17,-,-,0.00097572,-1.1708289e-17,0.00097572,-1.1708378e-17,0.00191956,-1.1713971e-17,0.0019207831,-1.1714008e-17,0.00189708,-1.1713939e-17,0.0009701,-1.1708602e-17,0.0009701,-1.1708654e-17,0.0009701,-1.1708702e-17,0.0009701,-1.1708893e-17,0.00096322,-1.1708901e-17,0.0009701,-1.1709218e-17,0.0009701,-1.1708978e-17,0.00097572,-1.1709053e-17,0.00097572,-1.1709101e-17,0.0018249787,-1.1714139e-17,0.00099576,-1.1709325e-17
0.010557317,-1.1761029e-17,0.010557317,-1.1761926e-17,0.010557317,-1.1761945e-17,0.010557317,-1.1762259e-17,0.010557317,-1.1762386e-17,0.010557317,-1.1762479e-17,0.010557317,-1.1762535e-17,0.010662635,-1.1763264e-17,0.010662635,-1.1763379e-17,0.010662635,-1.1763509e-17,0.03,-1.1881065e-17,0.010662635,-1.1763745e-17,0.03,-1.188122e-17,0.03,-1.1881294e-17,-,-,0.00268324,-1.171711e-17,0.00268324,-1.1717226e-17,0.00268324,-1.1717345e-17,0.010557317,-1.1763926e-17,0.010557317,-1.1764044e-17,0.010557317,-1.1764148e-17,0.010557317,-1.1764249e-17,0.021114634,-1.1827702e-17,0.00268324,-1.1717915e-17,0.00136304,-1.1710262e-17,0.002602544,-1.1717571e-17,0.0011193025,-1.1708984e-17,-,-,0.0013432544,-1.171044e-17,0.0013432544,-1.1710517e-17,0.0026298512,-1.1718132e-17,0.0026393293,-1.1718229e-17,0.0026068016,-1.1718101e-17,0.001333364,-1.1710725e-17,0.001333364,-1.1710779e-17,0.001333364,-1.1710829e-17,0.001333364,-1.1710999e-17,0.0013184115,-1.1711131e-17,0.001333364,-1.171151e-17,0.001337492,-1.1711135e-17,0.0013432544,-1.1711223e-17,0.0013432544,-1.171122e-17,0.0025022331,-1.1717994e-17,0.00099716175,-1.1709336e-17
0.013968016,-1.1781695e-17,0.013968016,-1.1782239e-17,0.013968016,-1.1782246e-17,0.013968016,-1.1782579e-17,0.013968016,-1.1782732e-17,0.013968016,-1.1782849e-17,0.013968016,-1.1782922e-17,0.014112993,-1.1783883e-17,0.014112993,-1.1784013e-17,0.014112993,-1.1784134e-17,0.036,-1.1919032e-17,0.014112993,-1.1784367e-17,0.036,-1.1918973e-17,0.036,-1.1919008e-17,-,-,0.003574888,-1.1722334e-17,0.003574888,-1.172244e-17,0.0035649808,-1.1722499e-17,0.013968016,-1.1784284e-17,0.013968016,-1.1784404e-17,0.013968016,-1.1784512e-17,0.013968016,-1.1784626e-17,0.027114634,-1.1864201e-17,0.003129064,-1.1720524e-17,0.001549088,-1.1711351e-17,0.0034355168,-1.1722467e-17,0.0011194075,-1.1708984e-17,-,-,0.0017842957,-1.1713021e-17,0.0017842957,-1.1713101e-17,0.0034727301,-1.172306e-17,0.0034920041,-1.1723217e-17,0.0034490046,-1.1723036e-17,0.0017595938,-1.1713215e-17,0.0017547502,-1.1713248e-17,0.0017595938,-1.171334e-17,0.0017595938,-1.1713475e-17,0.0017304336,-1.1713577e-17,0.0017595938,-1.1713859e-17,0.0017734638,-1.1713673e-17,0.0017842957,-1.1713803e-17,0.0017842957,-1.1713833e-17,0.0032878482,-1.1722725e-17,0.00099716832,-1.1709347e-17
0.018015379,-1.1805254e-17,0.018015379,-1.1806538e-17,0.018015379,-1.18067e-17,0.018015379,-1.1806885e-17,0.018015379,-1.1807043e-17,0.018015379,-1.1807197e-17,0.018015379,-1.1807309e-17,0.018207419,-1.180856e-17,0.018207419,-1.1808677e-17,0.018207419,-1.1808792e-17,0.042,-1.1955788e-17,0.018207419,-1.1809027e-17,0.042,-1.1957062e-17,0.042,-1.1956983e-17,-,-,0.0046448656,-1.1728619e-17,0.0041098768,-1.1725584e-17,0.0040940253,-1.1725612e-17,0.018015379,-1.1808599e-17,0.018015379,-1.1808697e-17,0.018015379,-1.1808799e-17,0.018015379,-1.1808878e-17,0.033114634,-1.1901251e-17,0.0032628112,-1.1721297e-17,0.0016607168,-1.1711993e-17,0.0044017652,-1.1728139e-17,-,-,-,-,0.0022959036,-1.1716012e-17,0.0022959036,-1.1716087e-17,0.0044729464,-1.172893e-17,0.0045038449,-1.1729185e-17,0.0044484188,-1.1728912e-17,0.0022597033,-1.1716139e-17,0.0022604137,-1.1716219e-17,0.0022540203,-1.1716257e-17,0.0022540203,-1.1716358e-17,0.0022248601,-1.1716431e-17,0.0022597033,-1.1716831e-17,0.00229663,-1.171674e-17,0.0022959036,-1.1716784e-17,0.0023017841,-1.1716946e-17,0.0042201114,-1.1728207e-17,-,-
0.02281825,-1.1833595e-17,0.02281825,-1.1835614e-17,0.02281825,-1.1835782e-17,0.02281825,-1.1835987e-17,0.02281825,-1.1836168e-17,0.02281825,-1.1836374e-17,0.02281825,-1.183656e-17,0.023066137,-1.1838208e-17,0.023066137,-1.18383e-17,0.023066137,-1.1838419e-17,0.048,-1.1994002e-17,0.023066137,-1.1838608e-17,0.048,-1.1994276e-17,0.048,-1.1994414e-17,-,-,0.0059288387,-1.1736164e-17,0.0047447302,-1.1729318e-17,0.004169855,-1.1726057e-17,0.02281825,-1.1837705e-17,0.02281825,-1.183781e-17,0.02281825,-1.183789e-17,0.02281825,-1.1837959e-17,0.039114634,-1.1938431e-17,0.0032828733,-1.1721422e-17,0.0017842527,-1.1712712e-17,0.0055483801,-1.1734895e-17,-,-,-,-,0.002909833,-1.1719607e-17,0.0029030116,-1.1719649e-17,0.0056598697,-1.1735923e-17,0.0057045626,-1.1736268e-17,0.0056343903,-1.1735915e-17,0.0028464986,-1.1719573e-17,0.0028469834,-1.1719648e-17,0.0028473321,-1.1719752e-17,0.0028473321,-1.1719798e-17,0.0027918025,-1.1719755e-17,0.0028464986,-1.1720163e-17,0.0029104784,-1.1720323e-17,0.0029030116,-1.1720363e-17,0.0029020707,-1.1720583e-17,0.0053263972,-1.1734627e-17,-,-
0.028517657,-1.1869085e-17,0.028517657,-1.1870506e-17,0.028517657,-1.1870616e-17,0.028517657,-1.1870789e-17,0.028517657,-1.1870972e-17,0.028517657,-1.187117e-17,0.028517657,-1.1871428e-17,0.028831816,-1.187355e-17,0.028831816,-1.1873642e-17,0.028831816,-1.1873752e-17,0.054,-1.2032685e-17,0.028831816,-1.1873888e-17,0.054,-1.2032983e-17,0.054,-1.203312e-17,-,-,0.0074524868,-1.1745166e-17,0.0054980895,-1.1733756e-17,0.0042598396,-1.1726571e-17,0.028517657,-1.1872552e-17,0.028517657,-1.1872616e-17,0.028517657,-1.1872644e-17,0.028517657,-1.1872691e-17,0.045114634,-1.197696e-17,0.0032887582,-1.1721457e-17,0.0019324957,-1.1713585e-17,0.0069090297,-1.1742907e-17,-,-,-,-,0.0036219912,-1.1723798e-17,0.0036315412,-1.1723935e-17,0.007068352,-1.174425e-17,0.0071294142,-1.1744667e-17,0.0070417431,-1.1744218e-17,0.0035271811,-1.1723565e-17,0.003543046,-1.1723746e-17,0.0035355738,-1.1723788e-17,0.0035355738,-1.1723844e-17,0.0034494557,-1.1723621e-17,0.003535005,-1.1724227e-17,0.0036307271,-1.1724564e-17,0.0036315412,-1.1724628e-17,0.0036144108,-1.1724501e-17,0.0066391896,-1.1742631e-17,-,-
