c(g:s)(CV_Vd_n1191_ac_des) X,c(g:s)(CV_Vd_n1191_ac_des) Y,c(g:s)(CV_Vd_n1217_ac_des) X,c(g:s)(CV_Vd_n1217_ac_des) Y,c(g:s)(CV_Vd_n1237_ac_des) X,c(g:s)(CV_Vd_n1237_ac_des) Y,c(g:s)(CV_Vd_n1257_ac_des) X,c(g:s)(CV_Vd_n1257_ac_des) Y,c(g:s)(CV_Vd_n1277_ac_des) X,c(g:s)(CV_Vd_n1277_ac_des) Y,c(g:s)(CV_Vd_n1297_ac_des) X,c(g:s)(CV_Vd_n1297_ac_des) Y,c(g:s)(CV_Vd_n1317_ac_des) X,c(g:s)(CV_Vd_n1317_ac_des) Y,c(g:s)(CV_Vd_n1337_ac_des) X,c(g:s)(CV_Vd_n1337_ac_des) Y,c(g:s)(CV_Vd_n1357_ac_des) X,c(g:s)(CV_Vd_n1357_ac_des) Y,c(g:s)(CV_Vd_n1377_ac_des) X,c(g:s)(CV_Vd_n1377_ac_des) Y,c(g:s)(CV_Vd_n1397_ac_des) X,c(g:s)(CV_Vd_n1397_ac_des) Y,c(g:s)(CV_Vd_n1417_ac_des) X,c(g:s)(CV_Vd_n1417_ac_des) Y,c(g:s)(CV_Vd_n1437_ac_des) X,c(g:s)(CV_Vd_n1437_ac_des) Y,c(g:s)(CV_Vd_n1457_ac_des) X,c(g:s)(CV_Vd_n1457_ac_des) Y,c(g:s)(CV_Vd_n1477_ac_des) X,c(g:s)(CV_Vd_n1477_ac_des) Y,c(g:s)(CV_Vd_n1497_ac_des) X,c(g:s)(CV_Vd_n1497_ac_des) Y,c(g:s)(CV_Vd_n1517_ac_des) X,c(g:s)(CV_Vd_n1517_ac_des) Y,c(g:s)(CV_Vd_n1537_ac_des) X,c(g:s)(CV_Vd_n1537_ac_des) Y,c(g:s)(CV_Vd_n1557_ac_des) X,c(g:s)(CV_Vd_n1557_ac_des) Y,c(g:s)(CV_Vd_n1577_ac_des) X,c(g:s)(CV_Vd_n1577_ac_des) Y,c(g:s)(CV_Vd_n1597_ac_des) X,c(g:s)(CV_Vd_n1597_ac_des) Y,c(g:s)(CV_Vd_n1617_ac_des) X,c(g:s)(CV_Vd_n1617_ac_des) Y,c(g:s)(CV_Vd_n1637_ac_des) X,c(g:s)(CV_Vd_n1637_ac_des) Y,c(g:s)(CV_Vd_n1657_ac_des) X,c(g:s)(CV_Vd_n1657_ac_des) Y,c(g:s)(CV_Vd_n1677_ac_des) X,c(g:s)(CV_Vd_n1677_ac_des) Y,c(g:s)(CV_Vd_n1697_ac_des) X,c(g:s)(CV_Vd_n1697_ac_des) Y,c(g:s)(CV_Vd_n1717_ac_des) X,c(g:s)(CV_Vd_n1717_ac_des) Y,c(g:s)(CV_Vd_n1737_ac_des) X,c(g:s)(CV_Vd_n1737_ac_des) Y,c(g:s)(CV_Vd_n1757_ac_des) X,c(g:s)(CV_Vd_n1757_ac_des) Y,c(g:s)(CV_Vd_n1777_ac_des) X,c(g:s)(CV_Vd_n1777_ac_des) Y,c(g:s)(CV_Vd_n1797_ac_des) X,c(g:s)(CV_Vd_n1797_ac_des) Y,c(g:s)(CV_Vd_n1817_ac_des) X,c(g:s)(CV_Vd_n1817_ac_des) Y,c(g:s)(CV_Vd_n1837_ac_des) X,c(g:s)(CV_Vd_n1837_ac_des) Y,c(g:s)(CV_Vd_n1857_ac_des) X,c(g:s)(CV_Vd_n1857_ac_des) Y,c(g:s)(CV_Vd_n1877_ac_des) X,c(g:s)(CV_Vd_n1877_ac_des) Y,c(g:s)(CV_Vd_n1897_ac_des) X,c(g:s)(CV_Vd_n1897_ac_des) Y,c(g:s)(CV_Vd_n1917_ac_des) X,c(g:s)(CV_Vd_n1917_ac_des) Y,c(g:s)(CV_Vd_n1937_ac_des) X,c(g:s)(CV_Vd_n1937_ac_des) Y,c(g:s)(CV_Vd_n1957_ac_des) X,c(g:s)(CV_Vd_n1957_ac_des) Y,c(g:s)(CV_Vd_n1977_ac_des) X,c(g:s)(CV_Vd_n1977_ac_des) Y,c(g:s)(CV_Vd_n1997_ac_des) X,c(g:s)(CV_Vd_n1997_ac_des) Y,c(g:s)(CV_Vd_n2017_ac_des) X,c(g:s)(CV_Vd_n2017_ac_des) Y,c(g:s)(CV_Vd_n2037_ac_des) X,c(g:s)(CV_Vd_n2037_ac_des) Y,c(g:s)(CV_Vd_n2057_ac_des) X,c(g:s)(CV_Vd_n2057_ac_des) Y
0,-1.3958535e-17,0,-1.3958313e-17,0,-1.3958919e-17,0,-1.3958946e-17,0,-1.3957652e-17,0,-1.3958522e-17,0,-1.3958718e-17,0,-1.3958597e-17,0,-1.396016e-17,0,-1.3960397e-17,0,-1.3960773e-17,0,-1.3960891e-17,0,-1.3961137e-17,0,-1.3961293e-17,0,-1.3961429e-17,0,-1.3961653e-17,0,-1.396177e-17,0,-1.3961879e-17,0,-1.3961971e-17,0,-1.396208e-17,0,-1.3962228e-17,0,-1.396237e-17,0,-1.3962556e-17,0,-1.3962809e-17,0,-1.3962968e-17,0,-1.396306e-17,0,-1.3963286e-17,0,-1.3963437e-17,0,-1.3963631e-17,0,-1.3963912e-17,0,-1.3964037e-17,0,-1.396411e-17,0,-1.3964788e-17,0,-1.3964943e-17,0,-1.3965103e-17,0,-1.3965283e-17,0,-1.3965432e-17,0,-1.3965585e-17,0,-1.3965727e-17,0,-1.3965808e-17,0,-1.396574e-17,0,-1.3965153e-17,0,-1.3965565e-17,0,-1.3966525e-17
-0.006,-1.3992938e-17,-0.006,-1.3993149e-17,-0.006,-1.3993479e-17,-0.003,-1.3975992e-17,-0.006,-1.3994605e-17,-0.006,-1.3994248e-17,-0.006,-1.3994535e-17,-0.006,-1.3994757e-17,-0.003,-1.3977837e-17,-0.003,-1.3977781e-17,-0.003,-1.3978076e-17,-0.006,-1.3996186e-17,-0.006,-1.3995918e-17,-0.006,-1.3996839e-17,-0.006,-1.3995926e-17,-0.006,-1.3996365e-17,-0.006,-1.3996853e-17,-0.006,-1.3997289e-17,-0.006,-1.3997175e-17,-0.006,-1.399739e-17,-0.006,-1.3996734e-17,-0.0015,-1.3971133e-17,-0.006,-1.3997043e-17,-0.006,-1.3997672e-17,-0.006,-1.3997825e-17,-0.006,-1.3997789e-17,-0.003,-1.3980471e-17,-0.003,-1.3980689e-17,-0.003,-1.3980799e-17,-0.003,-1.3980983e-17,-0.006,-1.3998666e-17,-0.003,-1.3982007e-17,-0.003,-1.3982168e-17,-0.003,-1.3982311e-17,-0.003,-1.3982478e-17,-0.003,-1.3982638e-17,-0.003,-1.3982783e-17,-0.003,-1.3982938e-17,-0.003,-1.3983071e-17,-0.003,-1.3983152e-17,-0.003,-1.398329e-17,-0.003,-1.3982611e-17,-0.003,-1.3982153e-17,-0.003,-1.3984015e-17
-0.012,-1.4027589e-17,-0.012,-1.4028381e-17,-0.012,-1.4028869e-17,-0.00648,-1.3996596e-17,-0.012,-1.4029231e-17,-0.012,-1.4029471e-17,-0.012,-1.4029757e-17,-0.012,-1.4029984e-17,-0.00648,-1.3997865e-17,-0.00648,-1.3998055e-17,-0.00648,-1.3998318e-17,-0.012,-1.4031465e-17,-0.012,-1.403124e-17,-0.012,-1.4031677e-17,-0.012,-1.4031578e-17,-0.012,-1.403146e-17,-0.012,-1.4032221e-17,-0.012,-1.403223e-17,-0.012,-1.4032431e-17,-0.012,-1.4032544e-17,-0.012,-1.4032776e-17,-0.00324,-1.3980918e-17,-0.012,-1.4033227e-17,-0.012,-1.4033411e-17,-0.012,-1.4033589e-17,-0.012,-1.4032941e-17,-0.00648,-1.4000694e-17,-0.00648,-1.4000902e-17,-0.00648,-1.4001074e-17,-0.00648,-1.4001127e-17,-0.012,-1.4034616e-17,-0.00648,-1.40023e-17,-0.00648,-1.4002447e-17,-0.00648,-1.4002614e-17,-0.00648,-1.400276e-17,-0.00648,-1.4002912e-17,-0.00648,-1.4003067e-17,-0.00648,-1.4003194e-17,-0.00648,-1.4003318e-17,-0.00644,-1.4003218e-17,-0.00648,-1.4003599e-17,-0.00648,-1.4003285e-17,-0.00644,-1.4001951e-17,-0.00644,-1.4003765e-17
-0.018,-1.4064764e-17,-0.018,-1.4063987e-17,-0.018,-1.4064601e-17,-0.0106096,-1.4019762e-17,-0.018,-1.4065242e-17,-0.018,-1.4065161e-17,-0.018,-1.4064775e-17,-0.018,-1.4064978e-17,-0.0106096,-1.4022016e-17,-0.0106096,-1.4022279e-17,-0.0106096,-1.4022365e-17,-0.018,-1.4066783e-17,-0.018,-1.4066895e-17,-0.018,-1.4067183e-17,-0.018,-1.4067182e-17,-0.018,-1.4067147e-17,-0.018,-1.4067731e-17,-0.018,-1.4067948e-17,-0.018,-1.4068007e-17,-0.018,-1.4068595e-17,-0.018,-1.4068356e-17,-0.0053048,-1.3992939e-17,-0.018,-1.40689e-17,-0.018,-1.4069115e-17,-0.018,-1.4069297e-17,-0.018,-1.4069453e-17,-0.0105632,-1.4024757e-17,-0.0105632,-1.4024987e-17,-0.0105632,-1.4025091e-17,-0.0105632,-1.4025137e-17,-0.018,-1.4070345e-17,-0.0105632,-1.4026287e-17,-0.0105632,-1.4026441e-17,-0.0105632,-1.4026591e-17,-0.0105632,-1.4026746e-17,-0.0105632,-1.402689e-17,-0.0105632,-1.4027034e-17,-0.0105632,-1.4027128e-17,-0.0105632,-1.4027254e-17,-0.010476267,-1.4026896e-17,-0.0105632,-1.4027589e-17,-0.0105632,-1.4027375e-17,-0.010476267,-1.402463e-17,-0.010476267,-1.4027206e-17
-0.024,-1.4099415e-17,-0.024,-1.4099739e-17,-0.024,-1.4099871e-17,-0.013059829,-1.4035223e-17,-0.024,-1.4100451e-17,-0.024,-1.4100577e-17,-0.024,-1.4101349e-17,-0.024,-1.4099263e-17,-0.015510059,-1.405081e-17,-0.015510059,-1.4051297e-17,-0.015510059,-1.4051559e-17,-0.024,-1.4102222e-17,-0.024,-1.4103799e-17,-0.024,-1.410344e-17,-0.024,-1.4103573e-17,-0.024,-1.4103595e-17,-0.024,-1.4103808e-17,-0.024,-1.410407e-17,-0.024,-1.4103593e-17,-0.024,-1.4104517e-17,-0.024,-1.410469e-17,-0.0077550293,-1.4007051e-17,-0.024,-1.4104956e-17,-0.024,-1.4105041e-17,-0.024,-1.4105438e-17,-0.024,-1.4105514e-17,-0.015354155,-1.4053264e-17,-0.015354155,-1.4053621e-17,-0.015354155,-1.4053645e-17,-0.015354155,-1.405387e-17,-0.024,-1.4105638e-17,-0.015354155,-1.4054692e-17,-0.015354155,-1.405484e-17,-0.015354155,-1.4054983e-17,-0.015354155,-1.4055143e-17,-0.015354155,-1.405528e-17,-0.015354155,-1.4055424e-17,-0.015354155,-1.4055529e-17,-0.015354155,-1.405563e-17,-0.015212153,-1.4054904e-17,-0.015354155,-1.4055868e-17,-0.015354155,-1.4056053e-17,-0.015212153,-1.4054965e-17,-0.015212153,-1.4054956e-17
-0.03,-1.4135708e-17,-0.03,-1.4136433e-17,-0.03,-1.4136693e-17,-0.015967435,-1.4052478e-17,-0.03,-1.4137307e-17,-0.03,-1.4137386e-17,-0.03,-1.4137964e-17,-0.03,-1.413435e-17,-0.02132527,-1.4086123e-17,-0.02132527,-1.408611e-17,-0.02132527,-1.4086284e-17,-0.03,-1.4137241e-17,-0.03,-1.4139476e-17,-0.03,-1.4139693e-17,-0.03,-1.413989e-17,-0.03,-1.4138849e-17,-0.03,-1.414039e-17,-0.03,-1.4140266e-17,-0.03,-1.4140965e-17,-0.03,-1.4141051e-17,-0.03,-1.4140965e-17,-0.010662635,-1.4025147e-17,-0.03,-1.4141531e-17,-0.03,-1.4142115e-17,-0.03,-1.4142172e-17,-0.03,-1.4142187e-17,-0.020975541,-1.4087559e-17,-0.020975541,-1.4087718e-17,-0.020975541,-1.4087261e-17,-0.020975541,-1.4087727e-17,-0.03,-1.4142402e-17,-0.020975541,-1.4088381e-17,-0.020975541,-1.4088541e-17,-0.020975541,-1.4088676e-17,-0.020975541,-1.4088822e-17,-0.020975541,-1.4088944e-17,-0.020975541,-1.4089093e-17,-0.020975541,-1.4089181e-17,-0.020975541,-1.4089361e-17,-0.020768926,-1.408817e-17,-0.020975541,-1.4089565e-17,-0.020975541,-1.408978e-17,-0.020768926,-1.408866e-17,-0.020768926,-1.4088671e-17
-0.036,-1.4170959e-17,-0.036,-1.4173136e-17,-0.036,-1.4173817e-17,-0.019417793,-1.407311e-17,-0.036,-1.4173839e-17,-0.036,-1.4173922e-17,-0.036,-1.4173282e-17,-0.036,-1.4175238e-17,-0.02732527,-1.4122117e-17,-0.02732527,-1.4119453e-17,-0.02732527,-1.4122588e-17,-0.036,-1.4175966e-17,-0.036,-1.4176474e-17,-0.036,-1.417627e-17,-0.036,-1.4176684e-17,-0.036,-1.4177114e-17,-0.036,-1.4177449e-17,-0.036,-1.4177618e-17,-0.036,-1.4177039e-17,-0.036,-1.4178097e-17,-0.036,-1.4178239e-17,-0.014112993,-1.4045517e-17,-0.036,-1.4178609e-17,-0.036,-1.4178946e-17,-0.036,-1.4179154e-17,-0.036,-1.4179217e-17,-0.026975541,-1.4123887e-17,-0.026975541,-1.4124111e-17,-0.026975541,-1.4125181e-17,-0.026975541,-1.4124592e-17,-0.036,-1.4180039e-17,-0.026975541,-1.4124782e-17,-0.026975541,-1.4124952e-17,-0.026975541,-1.4125109e-17,-0.026975541,-1.4125209e-17,-0.026975541,-1.4125333e-17,-0.026975541,-1.4125532e-17,-0.026975541,-1.4125565e-17,-0.026975541,-1.4125673e-17,-0.026768926,-1.4124403e-17,-0.026975541,-1.4125923e-17,-0.026975541,-1.4126125e-17,-0.026768926,-1.41249e-17,-0.026768926,-1.4125054e-17
-0.042,-1.4210599e-17,-0.042,-1.4210479e-17,-0.042,-1.4211065e-17,-0.023512219,-1.409775e-17,-0.042,-1.4211416e-17,-0.042,-1.4212069e-17,-0.042,-1.4212431e-17,-0.042,-1.4212698e-17,-0.03332527,-1.4159434e-17,-0.03332527,-1.4154035e-17,-0.03332527,-1.4159255e-17,-0.042,-1.4213556e-17,-0.042,-1.4213137e-17,-0.042,-1.4214362e-17,-0.042,-1.4214177e-17,-0.042,-1.4214561e-17,-0.042,-1.421466e-17,-0.042,-1.4215041e-17,-0.042,-1.4215241e-17,-0.042,-1.4215855e-17,-0.042,-1.4215704e-17,-0.018207419,-1.4069954e-17,-0.042,-1.4216122e-17,-0.042,-1.4215763e-17,-0.042,-1.421648e-17,-0.042,-1.4216776e-17,-0.032975541,-1.4160701e-17,-0.032975541,-1.4160876e-17,-0.032975541,-1.4159896e-17,-0.032975541,-1.4159644e-17,-0.042,-1.4217572e-17,-0.032975541,-1.4161491e-17,-0.032975541,-1.4161646e-17,-0.032975541,-1.4161812e-17,-0.032975541,-1.4161973e-17,-0.032975541,-1.4162129e-17,-0.032975541,-1.4162268e-17,-0.032975541,-1.4162177e-17,-0.032975541,-1.4162287e-17,-0.032768926,-1.4161194e-17,-0.032975541,-1.4162586e-17,-0.032975541,-1.4162683e-17,-0.032768926,-1.4161411e-17,-0.032768926,-1.4161479e-17
-0.048,-1.4248479e-17,-0.048,-1.4248302e-17,-0.048,-1.4249127e-17,-0.028370937,-1.4128066e-17,-0.048,-1.4249739e-17,-0.048,-1.4249413e-17,-0.048,-1.4250345e-17,-0.048,-1.4250643e-17,-0.03932527,-1.4196244e-17,-0.03932527,-1.4196404e-17,-0.03932527,-1.419655e-17,-0.048,-1.4251539e-17,-0.048,-1.4251497e-17,-0.048,-1.4252103e-17,-0.048,-1.4252165e-17,-0.048,-1.4252534e-17,-0.048,-1.4252925e-17,-0.048,-1.4253278e-17,-0.048,-1.4253263e-17,-0.048,-1.425341e-17,-0.048,-1.4253682e-17,-0.023066137,-1.4099182e-17,-0.048,-1.4254076e-17,-0.048,-1.425444e-17,-0.048,-1.4254007e-17,-0.048,-1.4254655e-17,-0.038975541,-1.4197965e-17,-0.038975541,-1.4198118e-17,-0.038975541,-1.4198287e-17,-0.038975541,-1.4198437e-17,-0.048,-1.4255564e-17,-0.038975541,-1.4198767e-17,-0.038975541,-1.4198924e-17,-0.038975541,-1.4199062e-17,-0.038975541,-1.4199214e-17,-0.038975541,-1.4199358e-17,-0.038975541,-1.4199552e-17,-0.038975541,-1.4199634e-17,-0.038975541,-1.4199368e-17,-0.038768926,-1.4198283e-17,-0.038975541,-1.4199611e-17,-0.038975541,-1.4199737e-17,-0.038768926,-1.4198511e-17,-0.038768926,-1.4198371e-17
-0.054,-1.4286726e-17,-0.054,-1.4286439e-17,-0.054,-1.4287426e-17,-0.034136616,-1.4162502e-17,-0.054,-1.4288125e-17,-0.054,-1.428838e-17,-0.054,-1.4288724e-17,-0.054,-1.4289048e-17,-0.04532527,-1.4233753e-17,-0.04532527,-1.4234152e-17,-0.04532527,-1.4234364e-17,-0.054,-1.4289985e-17,-0.054,-1.4290071e-17,-0.054,-1.4290453e-17,-0.054,-1.429069e-17,-0.054,-1.4288956e-17,-0.054,-1.4291184e-17,-0.054,-1.4291478e-17,-0.054,-1.4291669e-17,-0.054,-1.4291878e-17,-0.054,-1.4292136e-17,-0.028831816,-1.4134361e-17,-0.054,-1.4292531e-17,-0.054,-1.4292755e-17,-0.054,-1.4293019e-17,-0.054,-1.4293264e-17,-0.044975541,-1.4235771e-17,-0.044975541,-1.4235853e-17,-0.044975541,-1.4235996e-17,-0.044975541,-1.4236181e-17,-0.054,-1.4293938e-17,-0.044975541,-1.4236508e-17,-0.044975541,-1.4236738e-17,-0.044975541,-1.4236859e-17,-0.044975541,-1.4236961e-17,-0.044975541,-1.423713e-17,-0.044975541,-1.4237345e-17,-0.044975541,-1.4237442e-17,-0.044975541,-1.4236887e-17,-0.044768926,-1.42357e-17,-0.044975541,-1.4237198e-17,-0.044975541,-1.4236894e-17,-0.044768926,-1.4235868e-17,-0.044768926,-1.4236124e-17
