drain_t TotalCurrent(IdVg_VdSat_n1204_des) X,drain_t TotalCurrent(IdVg_VdSat_n1204_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2004_des) X,drain_t TotalCurrent(IdVg_VdSat_n2004_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2036_des) X,drain_t TotalCurrent(IdVg_VdSat_n2036_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2068_des) X,drain_t TotalCurrent(IdVg_VdSat_n2068_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2100_des) X,drain_t TotalCurrent(IdVg_VdSat_n2100_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2132_des) X,drain_t TotalCurrent(IdVg_VdSat_n2132_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2164_des) X,drain_t TotalCurrent(IdVg_VdSat_n2164_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2196_des) X,drain_t TotalCurrent(IdVg_VdSat_n2196_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2228_des) X,drain_t TotalCurrent(IdVg_VdSat_n2228_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2260_des) X,drain_t TotalCurrent(IdVg_VdSat_n2260_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2292_des) X,drain_t TotalCurrent(IdVg_VdSat_n2292_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2324_des) X,drain_t TotalCurrent(IdVg_VdSat_n2324_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2356_des) X,drain_t TotalCurrent(IdVg_VdSat_n2356_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2388_des) X,drain_t TotalCurrent(IdVg_VdSat_n2388_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2420_des) X,drain_t TotalCurrent(IdVg_VdSat_n2420_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2452_des) X,drain_t TotalCurrent(IdVg_VdSat_n2452_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2484_des) X,drain_t TotalCurrent(IdVg_VdSat_n2484_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2516_des) X,drain_t TotalCurrent(IdVg_VdSat_n2516_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2548_des) X,drain_t TotalCurrent(IdVg_VdSat_n2548_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2580_des) X,drain_t TotalCurrent(IdVg_VdSat_n2580_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2612_des) X,drain_t TotalCurrent(IdVg_VdSat_n2612_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2644_des) X,drain_t TotalCurrent(IdVg_VdSat_n2644_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2676_des) X,drain_t TotalCurrent(IdVg_VdSat_n2676_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2708_des) X,drain_t TotalCurrent(IdVg_VdSat_n2708_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2740_des) X,drain_t TotalCurrent(IdVg_VdSat_n2740_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2772_des) X,drain_t TotalCurrent(IdVg_VdSat_n2772_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2804_des) X,drain_t TotalCurrent(IdVg_VdSat_n2804_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2836_des) X,drain_t TotalCurrent(IdVg_VdSat_n2836_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2868_des) X,drain_t TotalCurrent(IdVg_VdSat_n2868_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2900_des) X,drain_t TotalCurrent(IdVg_VdSat_n2900_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2932_des) X,drain_t TotalCurrent(IdVg_VdSat_n2932_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2964_des) X,drain_t TotalCurrent(IdVg_VdSat_n2964_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2996_des) X,drain_t TotalCurrent(IdVg_VdSat_n2996_des) Y,drain_t TotalCurrent(IdVg_VdSat_n3028_des) X,drain_t TotalCurrent(IdVg_VdSat_n3028_des) Y,drain_t TotalCurrent(IdVg_VdSat_n3060_des) X,drain_t TotalCurrent(IdVg_VdSat_n3060_des) Y,drain_t TotalCurrent(IdVg_VdSat_n3092_des) X,drain_t TotalCurrent(IdVg_VdSat_n3092_des) Y,drain_t TotalCurrent(IdVg_VdSat_n3124_des) X,drain_t TotalCurrent(IdVg_VdSat_n3124_des) Y,drain_t TotalCurrent(IdVg_VdSat_n3156_des) X,drain_t TotalCurrent(IdVg_VdSat_n3156_des) Y,drain_t TotalCurrent(IdVg_VdSat_n3188_des) X,drain_t TotalCurrent(IdVg_VdSat_n3188_des) Y
0,-3.6017617e-18,0,1.0143657e-11,0,1.2301734e-11,0,1.3969342e-11,0,1.603258e-11,0,1.6373893e-11,0,1.5676236e-11,0,1.5207646e-11,0,1.4278688e-11,0,1.3361409e-11,0,1.2532949e-11,0,1.1874537e-11,0,1.1382269e-11,0,1.1192423e-11,0,1.1030897e-11,0,1.0707576e-11,0,1.0341026e-11,0,9.9671975e-12,0,9.6179742e-12,0,9.3003049e-12,0,9.1503067e-12,0,8.8791551e-12,0,8.7602704e-12,0,8.5550657e-12,0,8.3912071e-12,0,8.269732e-12,0,8.2100353e-12,0,8.2186009e-12,0,8.2769414e-12,0,8.3383665e-12,0,8.3681228e-12,0,8.4267717e-12,0,8.4860504e-12,0,8.5171222e-12,0,8.5884271e-12,0,8.6964988e-12,0,8.7746971e-12,0,8.9419896e-12,0,9.1706e-12
0.0015,-2.6578861e-19,0.0015,1.0649451e-11,0.0015,1.2914933e-11,0.0015,1.4664928e-11,0.0015,1.6830793e-11,0.0015,1.7191123e-11,0.0015,1.646135e-11,0.0015,1.597033e-11,0.0015,1.4995619e-11,0.006,1.6260464e-11,0.0015,1.3166614e-11,0.0015,1.2478555e-11,0.00075,1.1669935e-11,0.000375,1.1333409e-11,0.000375,1.1170156e-11,0.000375,1.0842442e-11,0.000375,1.047102e-11,0.00075,1.0219511e-11,0.00075,9.8620945e-12,0.00075,9.5372456e-12,0.00075,9.3841485e-12,0.000375,8.9927887e-12,0.000375,8.8728322e-12,0.0001875,8.6102681e-12,0.0001875,8.4457447e-12,0.0001875,8.3239015e-12,0.0001875,8.2645122e-12,0.0001875,8.2735646e-12,0.0001875,8.3325791e-12,0.0001875,8.3944935e-12,0.0001875,8.4244804e-12,0.0001875,8.4835727e-12,0.0001875,8.5433033e-12,0.0001875,8.5746253e-12,0.0001875,8.6465888e-12,0.0001875,8.7559088e-12,0.0001875,8.834866e-12,0.0001875,9.0032503e-12,0.0001875,9.2332915e-12
0.003483,2.6925185e-19,0.003469,1.1351973e-11,0.003469,1.3766626e-11,0.003469,1.5631001e-11,0.003469,1.7939409e-11,0.003469,1.8326288e-11,0.003469,1.7552094e-11,0.003469,1.703e-11,0.003469,1.5991806e-11,0.01382,2.1008413e-11,0.003483,1.4054018e-11,0.003483,1.3324737e-11,0.0017275,1.2055862e-11,0.00087075,1.1522476e-11,0.00086725,1.1355595e-11,0.00086725,1.1022033e-11,0.00086725,1.0644123e-11,0.0017345,1.056051e-11,0.0017345,1.0192016e-11,0.0017345,9.8575435e-12,0.0017205,9.695738e-12,0.00086725,9.1441869e-12,0.00086725,9.022824e-12,0.000435375,8.6837983e-12,0.000433625,8.5178758e-12,0.000433625,8.3955549e-12,0.000433625,8.3365805e-12,0.000433625,8.3462801e-12,0.000433625,8.4061788e-12,0.000433625,8.4687474e-12,0.000433625,8.4990353e-12,0.000433625,8.5587153e-12,0.000433625,8.6190424e-12,0.000433625,8.6506911e-12,0.000433625,8.7235355e-12,0.000433625,8.834513e-12,0.000433625,8.914474e-12,0.000433625,9.0843031e-12,0.000435375,9.3168281e-12
0.006141542,-8.4344873e-19,0.0061087727,1.2367273e-11,0.0061087727,1.4997499e-11,0.0061087727,1.7027059e-11,0.0061087727,1.9541416e-11,0.0061087727,1.9966948e-11,0.0061087727,1.9128965e-11,0.0061087727,1.8562113e-11,0.0061087727,1.7432311e-11,0.024231027,2.9560576e-11,0.006141542,1.533879e-11,0.006141542,1.4550403e-11,0.0030380017,1.2593476e-11,0.0015400125,1.1782878e-11,0.0015317875,1.161077e-11,0.0011995187,1.1144989e-11,0.0015317875,1.0882363e-11,0.0023990375,1.0797098e-11,0.003063575,1.0655123e-11,0.0030543863,1.0304059e-11,0.0023710585,9.9104454e-12,0.0015317875,9.352686e-12,0.0015317875,9.2293532e-12,0.00077000625,8.7840719e-12,0.00076589375,8.616244e-12,0.00076589375,8.4932742e-12,0.00076589375,8.4348916e-12,0.00076589375,8.4454759e-12,0.00076589375,8.5065756e-12,0.00076589375,8.5700278e-12,0.00076589375,8.6007335e-12,0.00076589375,8.6612149e-12,0.00076589375,8.7223633e-12,0.00076589375,8.7544685e-12,0.00076589375,8.8285128e-12,0.00076589375,8.9417743e-12,0.00076589375,9.0230889e-12,0.00076589375,9.1948774e-12,0.00077000625,9.4307996e-12
0.0097057606,2.3462008e-18,0.0096478279,1.3872761e-11,0.0096478279,1.6822612e-11,0.0096478279,1.9096865e-11,0.0096478279,2.1916482e-11,0.0096478279,2.2399897e-11,0.0096478279,2.1468151e-11,0.0096478279,2.0835231e-11,0.0096478279,1.9569882e-11,0.038091574,4.6614225e-11,0.0097057606,1.724843e-11,0.0097057606,1.637334e-11,0.0047949476,1.335226e-11,0.0024435169,1.2143852e-11,0.0024289131,1.1964543e-11,0.0012555891,1.1165853e-11,0.0024289131,1.1212622e-11,0.0026233189,1.0878093e-11,0.0048454216,1.130937e-11,0.0048239139,1.0934903e-11,0.0025359751,9.9656346e-12,0.0024289131,9.6417914e-12,0.0024289131,9.5158058e-12,0.0012217584,8.9212997e-12,0.0012113554,8.7499239e-12,0.0012113554,8.626094e-12,0.0012144566,8.5694979e-12,0.0012113554,8.5803412e-12,0.0012144566,8.6440267e-12,0.0012113554,8.707721e-12,0.0012113554,8.7389889e-12,0.0012113554,8.8005609e-12,0.0012082542,8.8618391e-12,0.0012082542,8.8945583e-12,0.0012113554,8.9712432e-12,0.0012144566,9.0886697e-12,0.0012144566,9.1718293e-12,0.0012144566,9.3462776e-12,0.0012217584,9.5868727e-12
0.01448419,6.2989573e-18,0.014392521,1.6183389e-11,0.014392521,1.9623773e-11,0.014392521,2.2273082e-11,0.014392521,2.5560953e-11,0.014392521,2.6134376e-11,0.014392521,2.5060418e-11,0.014392521,2.4326742e-11,0.014392521,2.2853991e-11,0.053091574,7.6386421e-11,0.01448419,2.0188955e-11,0.01448419,1.9182734e-11,-,-,0.0036632478,1.2648724e-11,0.0036400327,1.2459236e-11,0.00126032,1.1167618e-11,0.0030344729,1.1441116e-11,0.0026990139,1.0905591e-11,0.0072342838,1.2250375e-11,0.0071962606,1.1842314e-11,-,-,0.0036316595,1.0043639e-11,0.0036400327,9.9168335e-12,0.0018231912,9.1073636e-12,0.001808571,8.932443e-12,0.001808571,8.8074694e-12,0.0018116432,8.7521031e-12,0.001808571,8.7646013e-12,0.0018116432,8.8304783e-12,0.001808571,8.8958024e-12,0.001808571,8.9278413e-12,0.001808571,8.9909031e-12,0.0017930547,9.0496558e-12,0.0017930547,9.0832062e-12,0.001808571,9.166246e-12,0.0018116432,9.2880273e-12,0.0018116432,9.3736662e-12,0.0018158298,9.5531614e-12,0.0018231912,9.7986654e-12
0.02089047,-2.0263342e-17,0.020753573,1.989797e-11,0.020753573,2.4126885e-11,0.020753573,2.7378097e-11,0.020753573,3.1418064e-11,0.020753573,3.2138627e-11,0.020753573,3.0839808e-11,0.020753573,2.9945553e-11,0.020753573,2.8140841e-11,0.068091574,1.2529729e-10,0.02089047,2.4937258e-11,0.02089047,2.3724576e-11,-,-,0.0052985003,1.3358909e-11,0.0052637404,1.3154795e-11,-,-,0.0038463268,1.1754769e-11,0.0027005885,1.0906163e-11,0.010436952,1.3636797e-11,0.010376787,1.3179436e-11,-,-,0.0052441416,1.0609109e-11,0.0052637404,1.0481428e-11,0.0026126719,9.3575681e-12,0.002614812,9.1849409e-12,0.002614812,9.0584474e-12,0.0026011239,8.9996151e-12,0.002614812,9.0196824e-12,0.0026066976,9.0849802e-12,0.002609238,9.1543562e-12,0.002609238,9.1874515e-12,0.002609238,9.2525632e-12,0.0025770773,9.3077185e-12,0.0025770773,9.3424196e-12,0.002609238,9.4343859e-12,0.0026011239,9.5583822e-12,0.0026066976,9.6492982e-12,0.0026220708,9.8377004e-12,0.0026238986,1.0087894e-11
0.029479157,8.5488447e-20,0.029281624,2.6253666e-11,0.029281624,3.1831791e-11,0.029281624,3.6110266e-11,0.029281624,4.143565e-11,0.029281624,4.241377e-11,0.029281624,4.0738703e-11,0.029281624,3.9572953e-11,0.029281624,3.7204181e-11,0.083091574,2.0571572e-10,0.029479157,3.3111664e-11,0.029479157,3.1555919e-11,-,-,0.007490829,1.4374321e-11,0.0074405911,1.414875e-11,-,-,0.0041203274,1.1862626e-11,-,-,0.014730662,1.5746644e-11,0.014640812,1.5214866e-11,-,-,0.0074059425,1.141811e-11,0.0074405911,1.1289721e-11,0.0036489969,9.696577e-12,0.0036806626,9.5298516e-12,0.0036806626,9.4013951e-12,0.0036595544,9.3426869e-12,0.0036881875,9.3710097e-12,0.0036577596,9.4327589e-12,0.0036826655,9.5128319e-12,0.0036826655,9.547394e-12,0.0036826655,9.6153499e-12,0.0036281903,9.6652809e-12,0.0036281903,9.7015951e-12,0.0036826655,9.8062984e-12,0.0036595544,9.9333658e-12,0.0036577596,1.0026171e-11,0.0037029712,1.0232465e-11,0.0036899072,1.0486221e-11
0.040913563,-1.0409799e-17,0.040635302,3.7982068e-11,0.040635302,4.605043e-11,0.040635302,5.2218255e-11,0.040635302,5.9911259e-11,0.040635302,6.1378383e-11,0.040635302,5.9030822e-11,0.040635302,5.737258e-11,0.040635302,5.3973899e-11,0.098091574,3.3803112e-10,0.040913563,4.8324064e-11,0.040913563,4.6161352e-11,-,-,0.010430011,1.5858408e-11,0.010359022,1.5600373e-11,-,-,0.004166565,1.1880925e-11,-,-,0.020487096,1.9100664e-11,0.020357449,1.8452031e-11,-,-,0.010304197,1.2601558e-11,0.010359022,1.2473203e-11,0.0050093462,1.0160493e-11,0.005109613,1.0012877e-11,0.005109613,9.8818866e-12,0.0050785569,9.8236652e-12,0.00510719,9.8568031e-12,0.0050668834,9.9200463e-12,0.0051217741,1.0015576e-11,0.0051217741,1.0052193e-11,0.0051217741,1.0124145e-11,0.0050373823,1.0166305e-11,0.0050373823,1.0204916e-11,0.0051217741,1.0328176e-11,0.0050785569,1.0459517e-11,0.0050668834,1.0554625e-11,0.0051520985,1.0786583e-11,0.0050991705,1.1037003e-11
0.055913563,2.062303e-17,0.055635302,6.1898364e-11,0.055635302,7.5048024e-11,0.055635302,8.5051101e-11,0.055635302,9.7558261e-11,0.055635302,1.0005898e-10,0.055635302,9.6400412e-11,0.055635302,9.3762271e-11,0.055635302,8.8299066e-11,0.11309157,5.5585747e-10,0.055913563,7.9427027e-11,0.055913563,7.6111344e-11,-,-,0.014370474,1.8092463e-11,0.014271666,1.7783231e-11,-,-,0.0041704663,1.1882469e-11,-,-,0.028204556,2.4755798e-11,0.028021553,2.3914188e-11,-,-,0.01418979,1.4385344e-11,0.014271666,1.4259193e-11,0.0067950314,1.0803677e-11,0.0070253592,1.0699481e-11,0.0070253592,1.0565324e-11,0.0069809662,1.0508373e-11,0.0070095993,1.0548268e-11,0.0069560487,1.0613161e-11,0.007051139,1.0731564e-11,0.007051139,1.0771108e-11,0.007051139,1.0848763e-11,0.0069266392,1.0879019e-11,0.0069266392,1.092097e-11,0.007051139,1.1072016e-11,0.0069809662,1.1209305e-11,0.0069560487,1.1307019e-11,0.007094895,1.1576667e-11,0.0069885228,1.1820991e-11
