drain_t TotalCurrent(IdVg_VdSat_n1204_des) X,drain_t TotalCurrent(IdVg_VdSat_n1204_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2004_des) X,drain_t TotalCurrent(IdVg_VdSat_n2004_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2036_des) X,drain_t TotalCurrent(IdVg_VdSat_n2036_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2068_des) X,drain_t TotalCurrent(IdVg_VdSat_n2068_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2100_des) X,drain_t TotalCurrent(IdVg_VdSat_n2100_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2132_des) X,drain_t TotalCurrent(IdVg_VdSat_n2132_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2164_des) X,drain_t TotalCurrent(IdVg_VdSat_n2164_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2196_des) X,drain_t TotalCurrent(IdVg_VdSat_n2196_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2228_des) X,drain_t TotalCurrent(IdVg_VdSat_n2228_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2260_des) X,drain_t TotalCurrent(IdVg_VdSat_n2260_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2292_des) X,drain_t TotalCurrent(IdVg_VdSat_n2292_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2324_des) X,drain_t TotalCurrent(IdVg_VdSat_n2324_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2388_des) X,drain_t TotalCurrent(IdVg_VdSat_n2388_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2420_des) X,drain_t TotalCurrent(IdVg_VdSat_n2420_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2548_des) X,drain_t TotalCurrent(IdVg_VdSat_n2548_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2580_des) X,drain_t TotalCurrent(IdVg_VdSat_n2580_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2644_des) X,drain_t TotalCurrent(IdVg_VdSat_n2644_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2676_des) X,drain_t TotalCurrent(IdVg_VdSat_n2676_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2708_des) X,drain_t TotalCurrent(IdVg_VdSat_n2708_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2740_des) X,drain_t TotalCurrent(IdVg_VdSat_n2740_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2772_des) X,drain_t TotalCurrent(IdVg_VdSat_n2772_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2804_des) X,drain_t TotalCurrent(IdVg_VdSat_n2804_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2836_des) X,drain_t TotalCurrent(IdVg_VdSat_n2836_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2868_des) X,drain_t TotalCurrent(IdVg_VdSat_n2868_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2900_des) X,drain_t TotalCurrent(IdVg_VdSat_n2900_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2932_des) X,drain_t TotalCurrent(IdVg_VdSat_n2932_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2964_des) X,drain_t TotalCurrent(IdVg_VdSat_n2964_des) Y,drain_t TotalCurrent(IdVg_VdSat_n2996_des) X,drain_t TotalCurrent(IdVg_VdSat_n2996_des) Y,drain_t TotalCurrent(IdVg_VdSat_n3028_des) X,drain_t TotalCurrent(IdVg_VdSat_n3028_des) Y,drain_t TotalCurrent(IdVg_VdSat_n3060_des) X,drain_t TotalCurrent(IdVg_VdSat_n3060_des) Y,drain_t TotalCurrent(IdVg_VdSat_n3092_des) X,drain_t TotalCurrent(IdVg_VdSat_n3092_des) Y,drain_t TotalCurrent(IdVg_VdSat_n3124_des) X,drain_t TotalCurrent(IdVg_VdSat_n3124_des) Y,drain_t TotalCurrent(IdVg_VdSat_n3156_des) X,drain_t TotalCurrent(IdVg_VdSat_n3156_des) Y,drain_t TotalCurrent(IdVg_VdSat_n3188_des) X,drain_t TotalCurrent(IdVg_VdSat_n3188_des) Y
0,-3.60E-18,0,1.01E-11,0,1.23E-11,0,1.40E-11,0,1.60E-11,0,1.64E-11,0,1.57E-11,0,1.52E-11,0,1.43E-11,0,1.34E-11,0,1.25E-11,0,1.19E-11,0,1.12E-11,0,1.10E-11,0,9.62E-12,0,9.30E-12,0,8.88E-12,0,8.76E-12,0,8.56E-12,0,8.39E-12,0,8.27E-12,0,8.21E-12,0,8.22E-12,0,8.28E-12,0,8.34E-12,0,8.37E-12,0,8.43E-12,0,8.49E-12,0,8.52E-12,0,8.59E-12,0,8.70E-12,0,8.77E-12,0,8.94E-12,0,9.17E-12
0.0015,-2.66E-19,0.0015,1.06E-11,0.0015,1.29E-11,0.0015,1.47E-11,0.0015,1.68E-11,0.0015,1.72E-11,0.0015,1.65E-11,0.0015,1.60E-11,0.0015,1.50E-11,0.006,1.63E-11,0.0015,1.32E-11,0.0015,1.25E-11,0.000375,1.13E-11,0.000375,1.12E-11,0.00075,9.86E-12,0.00075,9.54E-12,0.000375,8.99E-12,0.000375,8.87E-12,0.0001875,8.61E-12,0.0001875,8.45E-12,0.0001875,8.32E-12,0.0001875,8.26E-12,0.0001875,8.27E-12,0.0001875,8.33E-12,0.0001875,8.39E-12,0.0001875,8.42E-12,0.0001875,8.48E-12,0.0001875,8.54E-12,0.0001875,8.57E-12,0.0001875,8.65E-12,0.0001875,8.76E-12,0.0001875,8.83E-12,0.0001875,9.00E-12,0.0001875,9.23E-12
0.003483,2.69E-19,0.003469,1.14E-11,0.003469,1.38E-11,0.003469,1.56E-11,0.003469,1.79E-11,0.003469,1.83E-11,0.003469,1.76E-11,0.003469,1.70E-11,0.003469,1.60E-11,0.01382,2.10E-11,0.003483,1.41E-11,0.003483,1.33E-11,0.00087075,1.15E-11,0.00086725,1.14E-11,0.0017345,1.02E-11,0.0017345,9.86E-12,0.00086725,9.14E-12,0.00086725,9.02E-12,0.000435375,8.68E-12,0.000433625,8.52E-12,0.000433625,8.40E-12,0.000433625,8.34E-12,0.000433625,8.35E-12,0.000433625,8.41E-12,0.000433625,8.47E-12,0.000433625,8.50E-12,0.000433625,8.56E-12,0.000433625,8.62E-12,0.000433625,8.65E-12,0.000433625,8.72E-12,0.000433625,8.83E-12,0.000433625,8.91E-12,0.000433625,9.08E-12,0.000435375,9.32E-12
0.006141542,-8.43E-19,0.006108773,1.24E-11,0.006108773,1.50E-11,0.006108773,1.70E-11,0.006108773,1.95E-11,0.006108773,2.00E-11,0.006108773,1.91E-11,0.006108773,1.86E-11,0.006108773,1.74E-11,0.024231027,2.96E-11,0.006141542,1.53E-11,0.006141542,1.46E-11,0.001540013,1.18E-11,0.001531788,1.16E-11,0.003063575,1.07E-11,0.003054386,1.03E-11,0.001531788,9.35E-12,0.001531788,9.23E-12,0.000770006,8.78E-12,0.000765894,8.62E-12,0.000765894,8.49E-12,0.000765894,8.43E-12,0.000765894,8.45E-12,0.000765894,8.51E-12,0.000765894,8.57E-12,0.000765894,8.60E-12,0.000765894,8.66E-12,0.000765894,8.72E-12,0.000765894,8.75E-12,0.000765894,8.83E-12,0.000765894,8.94E-12,0.000765894,9.02E-12,0.000765894,9.19E-12,0.000770006,9.43E-12
0.009705761,2.35E-18,0.009647828,1.39E-11,0.009647828,1.68E-11,0.009647828,1.91E-11,0.009647828,2.19E-11,0.009647828,2.24E-11,0.009647828,2.15E-11,0.009647828,2.08E-11,0.009647828,1.96E-11,0.038091574,4.66E-11,0.009705761,1.72E-11,0.009705761,1.64E-11,0.002443517,1.21E-11,0.002428913,1.20E-11,0.004845422,1.13E-11,0.004823914,1.09E-11,0.002428913,9.64E-12,0.002428913,9.52E-12,0.001221758,8.92E-12,0.001211355,8.75E-12,0.001211355,8.63E-12,0.001214457,8.57E-12,0.001211355,8.58E-12,0.001214457,8.64E-12,0.001211355,8.71E-12,0.001211355,8.74E-12,0.001211355,8.80E-12,0.001208254,8.86E-12,0.001208254,8.89E-12,0.001211355,8.97E-12,0.001214457,9.09E-12,0.001214457,9.17E-12,0.001214457,9.35E-12,0.001221758,9.59E-12
0.01448419,6.30E-18,0.014392521,1.62E-11,0.014392521,1.96E-11,0.014392521,2.23E-11,0.014392521,2.56E-11,0.014392521,2.61E-11,0.014392521,2.51E-11,0.014392521,2.43E-11,0.014392521,2.29E-11,0.053091574,7.64E-11,0.01448419,2.02E-11,0.01448419,1.92E-11,0.003663248,1.26E-11,0.003640033,1.25E-11,0.007234284,1.23E-11,0.007196261,1.18E-11,0.00363166,1.00E-11,0.003640033,9.92E-12,0.001823191,9.11E-12,0.001808571,8.93E-12,0.001808571,8.81E-12,0.001811643,8.75E-12,0.001808571,8.76E-12,0.001811643,8.83E-12,0.001808571,8.90E-12,0.001808571,8.93E-12,0.001808571,8.99E-12,0.001793055,9.05E-12,0.001793055,9.08E-12,0.001808571,9.17E-12,0.001811643,9.29E-12,0.001811643,9.37E-12,0.00181583,9.55E-12,0.001823191,9.80E-12
0.02089047,-2.03E-17,0.020753573,1.99E-11,0.020753573,2.41E-11,0.020753573,2.74E-11,0.020753573,3.14E-11,0.020753573,3.21E-11,0.020753573,3.08E-11,0.020753573,2.99E-11,0.020753573,2.81E-11,0.068091574,1.25E-10,0.02089047,2.49E-11,0.02089047,2.37E-11,0.0052985,1.34E-11,0.00526374,1.32E-11,0.010436952,1.36E-11,0.010376787,1.32E-11,0.005244142,1.06E-11,0.00526374,1.05E-11,0.002612672,9.36E-12,0.002614812,9.18E-12,0.002614812,9.06E-12,0.002601124,9.00E-12,0.002614812,9.02E-12,0.002606698,9.08E-12,0.002609238,9.15E-12,0.002609238,9.19E-12,0.002609238,9.25E-12,0.002577077,9.31E-12,0.002577077,9.34E-12,0.002609238,9.43E-12,0.002601124,9.56E-12,0.002606698,9.65E-12,0.002622071,9.84E-12,0.002623899,1.01E-11
0.029479157,8.55E-20,0.029281624,2.63E-11,0.029281624,3.18E-11,0.029281624,3.61E-11,0.029281624,4.14E-11,0.029281624,4.24E-11,0.029281624,4.07E-11,0.029281624,3.96E-11,0.029281624,3.72E-11,0.083091574,2.06E-10,0.029479157,3.31E-11,0.029479157,3.16E-11,0.007490829,1.44E-11,0.007440591,1.41E-11,0.014730662,1.57E-11,0.014640812,1.52E-11,0.007405943,1.14E-11,0.007440591,1.13E-11,0.003648997,9.70E-12,0.003680663,9.53E-12,0.003680663,9.40E-12,0.003659554,9.34E-12,0.003688188,9.37E-12,0.00365776,9.43E-12,0.003682666,9.51E-12,0.003682666,9.55E-12,0.003682666,9.62E-12,0.00362819,9.67E-12,0.00362819,9.70E-12,0.003682666,9.81E-12,0.003659554,9.93E-12,0.00365776,1.00E-11,0.003702971,1.02E-11,0.003689907,1.05E-11
0.040913563,-1.04E-17,0.040635302,3.80E-11,0.040635302,4.61E-11,0.040635302,5.22E-11,0.040635302,5.99E-11,0.040635302,6.14E-11,0.040635302,5.90E-11,0.040635302,5.74E-11,0.040635302,5.40E-11,0.098091574,3.38E-10,0.040913563,4.83E-11,0.040913563,4.62E-11,0.010430011,1.59E-11,0.010359022,1.56E-11,0.020487096,1.91E-11,0.020357449,1.85E-11,0.010304197,1.26E-11,0.010359022,1.25E-11,0.005009346,1.02E-11,0.005109613,1.00E-11,0.005109613,9.88E-12,0.005078557,9.82E-12,0.00510719,9.86E-12,0.005066883,9.92E-12,0.005121774,1.00E-11,0.005121774,1.01E-11,0.005121774,1.01E-11,0.005037382,1.02E-11,0.005037382,1.02E-11,0.005121774,1.03E-11,0.005078557,1.05E-11,0.005066883,1.06E-11,0.005152099,1.08E-11,0.005099171,1.10E-11
0.055913563,2.06E-17,0.055635302,6.19E-11,0.055635302,7.50E-11,0.055635302,8.51E-11,0.055635302,9.76E-11,0.055635302,1.00E-10,0.055635302,9.64E-11,0.055635302,9.38E-11,0.055635302,8.83E-11,0.11309157,5.56E-10,0.055913563,7.94E-11,0.055913563,7.61E-11,0.014370474,1.81E-11,0.014271666,1.78E-11,0.028204556,2.48E-11,0.028021553,2.39E-11,0.01418979,1.44E-11,0.014271666,1.43E-11,0.006795031,1.08E-11,0.007025359,1.07E-11,0.007025359,1.06E-11,0.006980966,1.05E-11,0.007009599,1.05E-11,0.006956049,1.06E-11,0.007051139,1.07E-11,0.007051139,1.08E-11,0.007051139,1.08E-11,0.006926639,1.09E-11,0.006926639,1.09E-11,0.007051139,1.11E-11,0.006980966,1.12E-11,0.006956049,1.13E-11,0.007094895,1.16E-11,0.006988523,1.18E-11
