drain_t TotalCurrent(IdVg_VdSat_n1109_des) X,drain_t TotalCurrent(IdVg_VdSat_n1109_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1045_des) X,drain_t TotalCurrent(IdVg_VdSat_n1045_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1125_des) X,drain_t TotalCurrent(IdVg_VdSat_n1125_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1061_des) X,drain_t TotalCurrent(IdVg_VdSat_n1061_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1141_des) X,drain_t TotalCurrent(IdVg_VdSat_n1141_des) Y,drain_t TotalCurrent(IdVg_VdSat_n865_des) X,drain_t TotalCurrent(IdVg_VdSat_n865_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1157_des) X,drain_t TotalCurrent(IdVg_VdSat_n1157_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1077_des) X,drain_t TotalCurrent(IdVg_VdSat_n1077_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1173_des) X,drain_t TotalCurrent(IdVg_VdSat_n1173_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1093_des) X,drain_t TotalCurrent(IdVg_VdSat_n1093_des) Y,drain_t TotalCurrent(IdVg_VdSat_n1189_des) X,drain_t TotalCurrent(IdVg_VdSat_n1189_des) Y,drain_t TotalCurrent(IdVg_VdSat_n622_des) X,drain_t TotalCurrent(IdVg_VdSat_n622_des) Y
0,8.52E-12,0,8.03E-12,0,6.80E-12,0,5.92E-12,0,5.46E-12,0,4.98E-12,0,4.55E-12,0,4.24E-12,0,4.09E-12,0,4.13E-12,0,4.19E-12,0,4.29E-12
0.006,1.03E-11,0.006,9.76E-12,0.006,8.27E-12,0.006,7.23E-12,0.006,6.67E-12,0.006,6.08E-12,0.006,5.57E-12,0.006,5.22E-12,0.006,5.05E-12,0.006,5.12E-12,0.006,5.20E-12,0.006,5.33E-12
0.013932,1.34E-11,0.01382,1.26E-11,0.013876,1.07E-11,0.013932,9.40E-12,0.013932,8.69E-12,0.013932,7.92E-12,0.013932,7.28E-12,0.013932,6.86E-12,0.013932,6.69E-12,0.013932,6.80E-12,0.013876,6.90E-12,0.013876,7.10E-12
0.024492136,1.88E-11,0.024231027,1.77E-11,0.024214563,1.50E-11,0.024492136,1.34E-11,0.024492136,1.24E-11,0.024492136,1.13E-11,0.024492136,1.04E-11,0.024492136,9.88E-12,0.024492136,9.74E-12,0.024492136,9.92E-12,0.024361581,1.01E-11,0.024361581,1.04E-11
0.038551197,2.97E-11,0.038091574,2.78E-11,0.037882143,2.35E-11,0.038551197,2.14E-11,0.038551197,1.97E-11,0.038551197,1.81E-11,0.038551197,1.68E-11,0.038551197,1.61E-11,0.038551197,1.61E-11,0.038551197,1.64E-11,0.038321385,1.66E-11,0.038321385,1.73E-11
0.053551197,4.83E-11,0.053091574,4.54E-11,0.052882143,3.86E-11,0.053551197,3.53E-11,0.053551197,3.26E-11,0.053551197,2.99E-11,0.053551197,2.81E-11,0.053551197,2.72E-11,0.053551197,2.75E-11,0.053551197,2.81E-11,0.053321385,2.85E-11,0.053321385,2.99E-11
0.068551197,7.86E-11,0.068091574,7.42E-11,0.067882143,6.33E-11,0.068551197,5.83E-11,0.068551197,5.38E-11,0.068551197,4.97E-11,0.068551197,4.72E-11,0.068551197,4.60E-11,0.068551197,4.71E-11,0.068551197,4.81E-11,0.068321385,4.91E-11,0.068321385,5.15E-11
0.083551197,1.28E-10,0.083091574,1.21E-10,0.082882143,1.04E-10,0.083551197,9.64E-11,0.083551197,8.89E-11,0.083551197,8.27E-11,0.083551197,7.93E-11,0.083551197,7.83E-11,0.083551197,8.05E-11,0.083551197,8.23E-11,0.083321385,8.48E-11,0.083321385,8.87E-11
0.098551197,2.09E-10,0.098091574,1.98E-10,0.097882143,1.71E-10,0.098551197,1.60E-10,0.098551197,1.47E-10,0.098551197,1.38E-10,0.098551197,1.34E-10,0.098551197,1.34E-10,0.098551197,1.38E-10,0.098551197,1.41E-10,0.098321385,1.46E-10,0.098321385,1.53E-10
0.1135512,3.40E-10,0.11309157,3.25E-10,0.11288214,2.81E-10,0.1135512,2.64E-10,0.1135512,2.43E-10,0.1135512,2.31E-10,0.1135512,2.25E-10,0.1135512,2.29E-10,0.1135512,2.35E-10,0.1135512,2.42E-10,0.11332139,2.52E-10,0.11332139,2.63E-10
